character,gender,role,genre,status,word_count
1H4_Archbishop,m,other,history,1,258
1H4_Bardolph,m,other,history,5,201
1H4_Bedford,m,other,history,1,64
1H4_Blunt,m,other,history,2,299
1H4_Chamberlain,m,other,history,6,149
1H4_DRAWERS.Francis,m,other,history,6,83
1H4_Douglas,m,other,history,1,341
1H4_Falstaff,m,fool,history,2,5510
1H4_Gadshill,m,other,history,6,343
1H4_Glendower,m,other,history,0,608
1H4_HenryIV,m,other,history,0,2555
1H4_HenryV,m,protag,history,1,4368
1H4_Hotspur,m,antag,history,1,4326
1H4_LadyPercy,f,other,history,1,419
1H4_MESSENGERS.1,m,other,history,6,7
1H4_MESSENGERS.2,m,other,history,6,8
1H4_MESSENGERS.X,m,other,history,6,49
1H4_MistressQuickly,f,other,history,4,411
1H4_Mortimer,m,other,history,1,444
1H4_Northumberland,m,other,history,1,170
1H4_Ostler,m,other,history,6,2
1H4_Peto,m,other,history,6,93
1H4_Poins,m,other,history,2,546
1H4_SERVANTS.HOTSPUR.1,m,other,history,6,19
1H4_Sheriff,m,other,history,4,59
1H4_SirMichael,m,other,history,2,53
1H4_TRAVELERS.CARRIERS,m,other,history,3,3
1H4_TRAVELERS.CARRIERS.1,m,other,history,6,175
1H4_TRAVELERS.CARRIERS.2,m,other,history,6,140
1H4_TRAVELERS.CARRIERS.X,m,other,history,6,4
1H4_TRAVELERS.GENTLEMEN,m,other,history,3,12
1H4_TRAVELERS.GENTLEMEN.0.1,m,other,history,4,31
1H4_Vernon,m,other,history,1,460
1H4_Vintner,m,other,history,6,33
1H4_Westmoreland,m,other,history,1,297
1H4_Worcester,m,other,history,1,1421
1H6_Alanson,m,other,history,1,359
1H6_Basset,m,other,history,2,191
1H6_Bastard,m,other,history,1,222
1H6_Bedford,m,other,history,1,595
1H6_Boy,m,other,history,6,32
1H6_Burgundy,m,other,history,1,334
1H6_CardinalBeaufort,m,other,history,1,727
1H6_Charles,m,antag,history,0,1019
1H6_Countess,f,other,history,1,350
1H6_Exeter,m,other,history,1,444
1H6_Fastolf,m,other,history,2,55
1H6_Gargrave,m,other,history,2,18
1H6_General,m,other,history,2,202
1H6_Glansdale,m,other,history,2,9
1H6_Gloucester,m,other,history,1,1401
1H6_HenryVI,m,protag,history,0,1330
1H6_JAILERS.0.1,m,other,history,6,30
1H6_JohnTalbot,m,other,history,2,400
1H6_Lawyer,m,other,history,3,29
1H6_Legate,m,other,history,2,7
1H6_Lucy,m,other,history,2,586
1H6_MESSENGERS.ENGLISH.1,m,other,history,6,126
1H6_MESSENGERS.ENGLISH.2,m,other,history,6,54
1H6_MESSENGERS.ENGLISH.3,m,other,history,6,338
1H6_MESSENGERS.ENGLISH.X.1,m,other,history,6,33
1H6_MESSENGERS.ENGLISH.X.2,m,other,history,6,49
1H6_MESSENGERS.FRENCH.1,m,other,history,6,102
1H6_MasterGunner,m,other,history,6,138
1H6_Mayor,m,other,history,3,151
1H6_Mortimer,m,other,history,1,651
1H6_OFFICERS.0.1,m,other,history,4,49
1H6_Porter,m,other,history,6,3
1H6_Pucelle,f,other,history,p,1957
1H6_QueenMargaret,f,other,history,1,254
1H6_Reignier,m,other,history,1,444
1H6_SERVANTS.1,m,other,history,6,5
1H6_SERVANTS.2,m,other,history,6,4
1H6_SERVANTS.3,m,other,history,6,9
1H6_SERVANTS.GLOUCESTER,m,other,history,6,18
1H6_SERVANTS.GLOUCESTER.0.1,m,other,history,6,40
1H6_SERVANTS.GLOUCESTER.0.2,m,other,history,6,83
1H6_SERVANTS.TALBOT.1,m,other,history,6,10
1H6_SERVANTS.WINCHESTER.0.1,m,other,history,6,29
1H6_SOLDIERS.ENGLISH.0.1,m,other,history,4,7
1H6_SOLDIERS.ENGLISH.1,m,other,history,6,34
1H6_SOLDIERS.ENGLISH.Captain,m,other,history,4,22
1H6_SOLDIERS.ENGLISH.SOMERSET.0.1,m,other,history,4,16
1H6_SOLDIERS.FRENCH.PUCELLE.0.1,m,other,history,6,21
1H6_SOLDIERS.FRENCH.Scout,m,other,history,6,31
1H6_SOLDIERS.FRENCH.Sergeant,m,other,history,3,31
1H6_Salisbury,m,other,history,1,113
1H6_Shepherd,m,other,history,5,201
1H6_Somerset,m,other,history,1,513
1H6_Suffolk,m,other,history,1,1304
1H6_Talbot,m,other,history,2,3109
1H6_Vernon,m,other,history,2,237
1H6_WARDERS.1,m,other,history,6,22
1H6_WARDERS.2,m,other,history,6,9
1H6_WATCHMEN.1,m,other,history,6,29
1H6_Warwick,m,other,history,1,542
1H6_Watchman,m,other,history,6,10
1H6_Woodville,m,other,history,2,38
1H6_York,m,other,history,1,1385
2H4_Archbishop,m,other,history,1,1094
2H4_BEADLES.0.1,m,other,history,5,72
2H4_Bardolph,m,other,history,5,310
2H4_Bedford,m,other,history,1,812
2H4_Bullcalf,m,other,history,6,109
2H4_ChiefJustice,m,antag,history,1,1137
2H4_Chorus,m,other,history,p,297
2H4_Clarence,m,other,history,1,170
2H4_Colevile,m,other,history,2,64
2H4_DRAWERS.1,m,other,history,6,68
2H4_DRAWERS.Francis,m,other,history,6,60
2H4_DRAWERS.Will,m,other,history,6,33
2H4_DRAWERS.X,m,other,history,6,9
2H4_Davy,m,other,history,6,276
2H4_DollTearsheet,f,other,history,6,638
2H4_Epilogue,m,other,history,p,331
2H4_Falstaff,m,fool,history,2,5477
2H4_Feeble,m,other,history,6,95
2H4_GROOMS.1,m,other,history,6,16
2H4_GROOMS.2,m,other,history,6,5
2H4_Gloucester,m,other,history,1,122
2H4_Harcourt,m,other,history,6,64
2H4_Hastings,m,other,history,1,415
2H4_HenryIV,m,other,history,0,2281
2H4_HenryV,m,protag,history,1,2445
2H4_LadyNorthumberland,f,other,history,1,38
2H4_LadyPercy,f,other,history,1,372
2H4_LordBardolph,m,other,history,1,643
2H4_MESSENGERS.1,m,other,history,6,33
2H4_MESSENGERS.Gower,m,other,history,6,56
2H4_MistressQuickly,f,other,history,4,1425
2H4_Morton,m,other,history,2,633
2H4_Mouldy,m,other,history,6,95
2H4_Mowbray,m,other,history,1,434
2H4_Northumberland,m,other,history,1,819
2H4_OFFICERS.Fang,m,other,history,5,53
2H4_OFFICERS.Snare,m,other,history,6,19
2H4_Peto,m,other,history,6,44
2H4_Pistol,m,other,history,6,553
2H4_Poins,m,other,history,2,474
2H4_Porter,m,other,history,6,28
2H4_SERVANTS.CHIEFJUSTICE.1,m,other,history,6,85
2H4_SERVANTS.FALSTAFF.1,m,other,history,6,214
2H4_Shadow,m,other,history,6,6
2H4_Shallow,m,other,history,2,1570
2H4_Silence,m,other,history,2,257
2H4_Travers,m,other,history,6,112
2H4_Wart,m,other,history,6,4
2H4_Warwick,m,other,history,1,573
2H4_Westmoreland,m,other,history,1,851
2H6_Beadle,m,other,history,5,12
2H6_Bevis,m,other,history,6,168
2H6_Bolingbroke,m,other,history,6,181
2H6_Buckingham,m,other,history,1,562
2H6_CITIZENS,m,other,history,6,20
2H6_CITIZENS.LONDON.0.1,m,other,history,6,38
2H6_CITIZENS.STALBANS.0.1,m,other,history,6,29
2H6_Cade,m,other,history,4,2142
2H6_CardinalBeaufort,m,other,history,1,816
2H6_Clerk,m,other,history,3,18
2H6_Clifford,m,other,history,1,468
2H6_Dick,m,other,history,4,327
2H6_DuchessOfGloucester,f,other,history,1,963
2H6_EdwardIV,m,other,history,1,8
2H6_FOLLOWERS.CADE,m,other,history,6,66
2H6_FOLLOWERS.CADE.0,m,other,history,6,70
2H6_GENTLEMEN.1,m,other,history,2,56
2H6_GENTLEMEN.2,m,other,history,2,10
2H6_George,m,other,history,6,34
2H6_Gloucester,m,other,history,1,2346
2H6_HERALDS.X.1,m,other,history,3,17
2H6_HenryVI,m,other,history,0,2480
2H6_Holland,m,other,history,6,189
2H6_Horner,m,other,history,4,171
2H6_Hume,m,other,history,3,244
2H6_Iden,m,other,history,3,432
2H6_Jourdain,f,other,history,6,27
2H6_Lieutenant,m,other,history,6,480
2H6_MESSENGERS.1,m,other,history,6,75
2H6_MESSENGERS.2,m,other,history,6,35
2H6_MESSENGERS.Post,m,other,history,6,45
2H6_MESSENGERS.X.1,m,other,history,6,24
2H6_MESSENGERS.X.2,m,other,history,6,32
2H6_MESSENGERS.X.3,m,other,history,6,59
2H6_MURDERERS.0.1,m,other,history,6,31
2H6_MURDERERS.0.2,m,other,history,6,17
2H6_Master,m,other,history,6,9
2H6_Mate,m,other,history,6,10
2H6_MayorOfStAlbans,m,other,history,3,15
2H6_Michael,m,other,history,6,62
2H6_NEIGHBORS.1,m,other,history,6,21
2H6_NEIGHBORS.2,m,other,history,6,8
2H6_NEIGHBORS.3,m,other,history,6,15
2H6_PETITIONERS,m,other,history,6,4
