orig,eos
1H4_Bedford,1H4_Lancaster
1H4_DRAWERS.Francis,1H4_Francis
1H4_HenryIV,1H4_King
1H4_HenryV,1H4_Prince
1H4_LadyPercy,1H4_Lady Percy
1H4_MESSENGERS.1,1H4_Messenger
1H4_MESSENGERS.2,1H4_Messenger
1H4_MESSENGERS.X,1H4_Messenger
1H4_MistressQuickly,1H4_Hostess
1H4_SERVANTS.HOTSPUR.1,1H4_Servant
1H4_SirMichael,1H4_Sir Michael
1H4_TRAVELERS.CARRIERS,1H4_Carrier
1H4_TRAVELERS.CARRIERS.1,1H4_Carrier
1H4_TRAVELERS.CARRIERS.2,1H4_Carrier
1H4_TRAVELERS.CARRIERS.X,1H4_Carrier
1H4_Westmoreland,1H4_Westmorland
1H6_Alanson,1H6_Alencon
1H6_CardinalBeaufort,1H6_Winchester
1H6_Fastolf,1H6_Falstaff
1H6_HenryVI,1H6_King
1H6_JohnTalbot,1H6_John
1H6_MESSENGERS.ENGLISH.1,1H6_3 Messenger
1H6_MESSENGERS.ENGLISH.2,1H6_3 Messenger
1H6_MESSENGERS.ENGLISH.3,1H6_3 Messenger
1H6_MESSENGERS.ENGLISH.X.1,1H6_3 Messenger
1H6_MESSENGERS.ENGLISH.X.2,1H6_3 Messenger
1H6_MESSENGERS.FRENCH.1,1H6_1 Messenger
1H6_MasterGunner,1H6_Gunner
1H6_QueenMargaret,1H6_Margaret
1H6_SERVANTS.1,1H6_3 Servingman
1H6_SERVANTS.2,1H6_3 Servingman
1H6_SERVANTS.3,1H6_3 Servingman
1H6_SERVANTS.GLOUCESTER,1H6_Servingman
1H6_SERVANTS.GLOUCESTER.0.1,1H6_2 Servingman
1H6_SERVANTS.GLOUCESTER.0.2,1H6_2 Servingman
1H6_SERVANTS.TALBOT.1,1H6_Servant
1H6_SERVANTS.WINCHESTER.0.1,1H6_1 Servingman
1H6_SOLDIERS.ENGLISH.0.1,1H6_Soldier
1H6_SOLDIERS.ENGLISH.1,1H6_Soldier
1H6_SOLDIERS.ENGLISH.Captain,1H6_Captain
1H6_SOLDIERS.ENGLISH.SOMERSET.0.1,1H6_Soldier
1H6_SOLDIERS.FRENCH.PUCELLE.0.1,1H6_Soldier
1H6_SOLDIERS.FRENCH.Scout,1H6_Scout
1H6_SOLDIERS.FRENCH.Sergeant,1H6_Sergeant
1H6_WARDERS.1,1H6_1 Warder
1H6_WARDERS.2,1H6_1 Warder
1H6_WATCHMEN.1,1H6_Watch
1H6_Watchman,1H6_Watch
1H6_York,1H6_Plantagenet
2H4_BEADLES.0.1,2H4_Beadle
2H4_Bedford,2H4_Lancaster
2H4_ChiefJustice,2H4_Justice
2H4_Colevile,2H4_Coleville
2H4_DRAWERS.1,2H4_Drawer
2H4_DRAWERS.Francis,2H4_Francis
2H4_DRAWERS.Will,2H4_Drawer
2H4_DRAWERS.X,2H4_Drawer
2H4_DollTearsheet,2H4_Doll
2H4_Epilogue,2H4_Epilogue Speaker
2H4_GROOMS.1,2H4_Groom 1
2H4_GROOMS.2,2H4_Groom 2
2H4_HenryIV,2H4_King Henry
2H4_HenryV,2H4_Prince Henry
2H4_LadyNorthumberland,2H4_Lady Northumberland
2H4_LadyPercy,2H4_Lady Percy
2H4_LordBardolph,2H4_Lord Bardolph
2H4_MESSENGERS.1,2H4_Messenger
2H4_MESSENGERS.Gower,2H4_Gower
2H4_MistressQuickly,2H4_Hostess
2H4_Mouldy,2H4_Moldy
2H4_OFFICERS.Fang,2H4_Fang
2H4_OFFICERS.Snare,2H4_Snare
2H4_SERVANTS.CHIEFJUSTICE.1,2H4_Servant
2H4_SERVANTS.FALSTAFF.1,2H4_Servant
2H4_Westmoreland,2H4_Westmorland
2H6_CITIZENS,2H6_1 Citizen
2H6_CITIZENS.LONDON.0.1,2H6_1 Citizen
2H6_CITIZENS.STALBANS.0.1,2H6_1 Citizen
2H6_CardinalBeaufort,2H6_Cardinal
2H6_Clifford,2H6_Lord Clifford
2H6_DuchessOfGloucester,2H6_Duchess
2H6_EdwardIV,2H6_Edward
2H6_FOLLOWERS.CADE,2H6_2 Murderer
2H6_FOLLOWERS.CADE.0,2H6_2 Murderer
2H6_GENTLEMEN.1,2H6_2 Gentleman
2H6_GENTLEMEN.2,2H6_2 Gentleman
2H6_George,2H6_Bevis
2H6_HERALDS.X.1,2H6_Herald
2H6_HenryVI,2H6_King
2H6_Jourdain,2H6_Witch
2H6_MESSENGERS.1,2H6_2 Messenger
2H6_MESSENGERS.2,2H6_2 Messenger
2H6_MESSENGERS.Post,2H6_Post
2H6_MESSENGERS.X.1,2H6_Messenger
2H6_MESSENGERS.X.2,2H6_Messenger
2H6_MESSENGERS.X.3,2H6_Messenger
2H6_MURDERERS.0.1,2H6_2 Murderer
2H6_MURDERERS.0.2,2H6_2 Murderer
2H6_MayorOfStAlbans,2H6_Mayor
2H6_NEIGHBORS.1,2H6_3 Neighbor
2H6_NEIGHBORS.2,2H6_3 Neighbor
2H6_NEIGHBORS.3,2H6_3 Neighbor
2H6_PETITIONERS,2H6_1 Petitioner
2H6_PETITIONERS.0.1,2H6_2 Petitioner
2H6_PETITIONERS.0.2,2H6_2 Petitioner
2H6_PRENTICES.1,2H6_2 Prentice
2H6_PRENTICES.2,2H6_2 Prentice
2H6_QueenMargaret,2H6_Queen
2H6_RichardIII,2H6_Richard
2H6_SERVANTS.GLOUCESTER.0.1,2H6_Servant
2H6_SOLDIERS.1,2H6_Soldier
2H6_Sawyer,2H6_1 Petitioner
2H6_SimpcoxWife,2H6_Wife
2H6_Thump,2H6_Peter
2H6_WilliamStafford,2H6_Brother
2H6_YoungClifford,2H6_Young Clifford
