plurality,character,gender,status,play
s,1 Lord,m,1,AW
m,1 Lord; 2 Lord,m,1,AW
s,1 Soldier,m,6,AW
s,2 Lord,m,1,AW
s,2 Gentleman,m,2,AW
s,4 Lord,m,1,AW
m,All,m,6,AW
m,All the Lords,m,1,AW
s,Austringer,m,2,AW
s,Bertram,m,1,AW
s,Clown,m,p,AW
s,Countess,f,1,AW
s,Diana,f,4,AW
s,Duke,m,1,AW
s,Gentleman,m,2,AW
s,Helen,f,p,AW
s,King,m,0,AW
s,Lafeu,m,1,AW
s,Mariana,f,4,AW
m,Mariana; Diana,f,4,AW
s,Messenger,m,6,AW
s,Page,m,6,AW
s,Paroles,m,4,AW
s,Steward,m,4,AW
s,1 Gentleman,m,2,AW
s,Widow,f,4,AW
s,1 Guard,m,6,AC
s,1 Messenger,m,6,AC
s,1 Servant,m,6,AC
s,1 Soldier,m,6,AC
s,1 Watch,m,6,AC
s,2 Guard,m,6,AC
s,2 Messenger,m,6,AC
s,2 Servant,m,6,AC
s,2 Soldier,m,6,AC
s,2 Watch,m,6,AC
s,3 Guard,m,6,AC
s,3 Messenger,m,6,AC
s,3 Soldier,m,6,AC
s,4 Messenger,m,6,AC
s,4 Soldier,m,6,AC
s,Agrippa,m,2,AC
s,Alexas,m,2,AC
m,All,m,6,AC
s,Ambassador,m,2,AC
s,Antony,m,0,AC
s,Boy,m,6,AC
s,Caesar,m,0,AC
m,Caesar; Antony; Lepidus,m,0,AC
s,Camidius,m,2,AC
s,Charmian,f,2,AC
s,Cleopatra,f,0,AC
s,Clown,m,p,AC
s,Demetrius,m,2,AC
s,Dercetus,m,6,AC
s,Diomedes,m,2,AC
s,Dolabella,m,1,AC
s,Egyptian,m,6,AC
s,Enobarbus,m,1,AC
s,Eros,m,6,AC
s,Guardsman,m,6,AC
s,Iras,f,2,AC
s,Lepidus,m,0,AC
s,Maecenas,m,2,AC
m,Maecenas; Agrippa,m,2,AC
s,Mardian,m,2,AC
s,Menas,m,4,AC
s,Menecrates,m,4,AC
s,Messenger,m,6,AC
s,Octavia,f,1,AC
s,Philo,m,2,AC
s,Pompey,m,0,AC
s,Proculeius,m,2,AC
s,Scarus,m,3,AC
s,Seleucus,m,2,AC
s,Sentry,m,6,AC
s,Servant,m,6,AC
s,Silius,m,3,AC
s,Soldier,m,6,AC
s,Soothsayer,m,p,AC
s,Taurus,m,2,AC
s,Thidias,m,2,AC
s,Varrius,m,3,AC
s,Ventidius,m,2,AC
s,Adam,m,6,AYL
m,All,m,1,AYL
s,Amiens,m,1,AYL
s,Audrey,f,6,AYL
s,Celia,f,1,AYL
s,Celia (as Aliena),f,a5,AYL
s,Charles,m,5,AYL
s,Corin,m,5,AYL
s,Dennis,m,6,AYL
s,Duke Frederick,m,0,AYL
s,Duke Senior,m,0,AYL
s,First Lord,m,1,AYL
s,First Page,m,6,AYL
s,Hymen,m,7,AYL
s,Jaques,m,1,AYL
s,Jaques de Boys,m,2,AYL
s,Le Beau,m,2,AYL
s,Lords,m,1,AYL
s,Oliver,m,2,AYL
s,Orlando,m,2,AYL
s,Pages,m,6,AYL
s,Phoebe,f,5,AYL
s,Rosalind,f,1,AYL
s,Rosalind (as Ganymede),m,a5,AYL
s,Second Lord,m,1,AYL
s,Second Page,m,6,AYL
s,Silvius,m,5,AYL
s,Sir Oliver,m,4,AYL
s,Touchstone,m,p,AYL
s,William,m,6,AYL
s,Abbess,f,3,CE
s,Adriana,f,2,CE
s,Angelo,m,3,CE
s,Antipholus of Ephesus,m,2,CE
s,Antipholus of Syracuse,m,2,CE
s,Balthazar,m,3,CE
s,Courtesan,f,4,CE
s,Dromio of Ephesus,m,6,CE
s,Dromio of Syracuse,m,6,CE
s,Duke,m,0,CE
s,Egeon,m,2,CE
s,1st Merchant,m,3,CE
s,Jailor,m,6,CE
s,Luce,f,6,CE
s,Luciana,f,2,CE
s,Messenger,m,6,CE
s,Officer,m,5,CE
s,Pinch,m,3,CE
s,Second Merchant,m,3,CE
s,1 Citizen,m,5,Cor
s,1 Conspirator,m,5,Cor
s,1 Lord,m,1,Cor
s,1 Officer,m,4,Cor
s,1 Roman,m,6,Cor
s,1 Senator,m,2,Cor
s,1 Servant,m,6,Cor
s,1 Servingman,m,6,Cor
s,1 Soldier,m,6,Cor
s,1 Watch,m,6,Cor
s,2 Citizen,m,5,Cor
s,2 Conspirator,m,5,Cor
s,2 Lord,m,1,Cor
s,2 Officer,m,4,Cor
s,2 Roman,m,6,Cor
s,2 Senator,m,2,Cor
s,2 Servant,m,6,Cor
s,2 Servingman,m,6,Cor
s,2 Soldier,m,6,Cor
s,2 Watch,m,6,Cor
s,3 Citizen,m,5,Cor
s,3 Conspirator,m,5,Cor
s,3 Lord,m,1,Cor
s,3 Roman,m,6,Cor
s,3 Servingman,m,6,Cor
s,Aedile,m,4,Cor
s,Aediles,m,4,Cor
m,All,m,5,Cor
s,Aufidius,m,1,Cor
m,Both,m,6,Cor
m,Both Citizens,m,5,Cor
s,Both Tribunes,m,4,Cor
s,Brutus,m,4,Cor
s,Citizen,m,4,Cor
s,Citizens,m,5,Cor
s,Cominius,m,1,Cor
m,Conspirators,m,5,Cor
s,Coriolanus,m,1,Cor
s,Gentlewoman,f,2,Cor
s,Herald,m,3,Cor
s,Lartius,m,2,Cor
s,Lieutenant,m,3,Cor
s,Lords,m,1,Cor
s,Menenius,m,1,Cor
s,Messenger,m,6,Cor
s,Officer,m,4,Cor
s,Patrician,m,1,Cor
m,Patricians,m,1,Cor
m,People,m,5,Cor
s,Plebeians,m,5,Cor
s,Roman,m,6,Cor
m,Senator,m,2,Cor
s,Sicinius,m,4,Cor
s,Soldier,m,6,Cor
s,Valeria,f,1,Cor
m,Valeria; Virgilia,f,1,Cor
s,Virgilia,f,1,Cor
s,Volsce,m,6,Cor
s,Volumnia,f,1,Cor
s,Young Marcius,m,1,Cor
s,Arviragus,m,1,Cym
s,Belarius,m,1,Cym
s,Belarius (as Morgan),m,a6,Cym
s,Captain,m,4,Cym
s,Clotten,m,1,Cym
s,Cornelius,m,3,Cym
s,Cymbeline,m,0,Cym
s,First Brother,m,7,Cym
m,First Brother Second Brother,m,7,Cym
s,First Captain,m,4,Cym
s,First Gentleman,m,1,Cym
s,First Lord,m,1,Cym
s,First Senator,m,2,Cym
s,Frenchman,m,5,Cym
s,Gaoler,m,6,Cym
s,Guiderius,m,1,Cym
m,Guiderius; Arviragus,m,1,Cym
s,Iachimo,m,2,Cym
s,Imogen,f,1,Cym
,Imogen (as Fidele),m,a3,Cym
s,Jupiter,m,7,Cym
s,Lady,f,1,Cym
s,Lord,m,1,Cym
s,Lucius,m,2,Cym
s,Messenger,m,6,Cym
s,Mother,f,7,Cym
s,Philario,m,2,Cym
s,Pisanio,m,2,Cym
s,Posthumus,m,2,Cym
s,Queen,f,0,Cym
s,Second Brother,m,7,Cym
s,Second Captain,m,4,Cym
s,Second Gaoler,m,6,Cym
s,Second Gentleman,m,2,Cym
s,Second Lord,m,1,Cym
s,Second Senator,m,2,Cym
s,Sicilius Leonatus,m,2,Cym
m,Sicilius Leonatus; Mother; First Brother; Second Brother,m,7,Cym
s,Singer,m,p,Cym
s,Soothsayer,m,p,Cym
s,Tribune,m,3,Cym
s,1 Player,m,p,Ham
s,2 Clown,m,5,Ham
s,2 Player,m,p,Ham
m,All,m,2,Ham
s,Ambassador,m,2,Ham
s,Barnardo,m,4,Ham
m,Both,m,p,Ham
s,Captain,m,4,Ham
s,Claudius,m,0,Ham
s,Clown,m,5,Ham
s,Fortinbras,m,0,Ham
s,Francisco,m,6,Ham
s,Gentleman,m,2,Ham
s,Gertrude,f,0,Ham
s,Ghost,m,7,Ham
s,Guildenstern,m,2,Ham
s,Hamlet,m,1,Ham
s,Horatio,m,2,Ham
m,Horatio; Marcellus,m,2,Ham
s,Laertes,m,1,Ham
s,Lucianus,m,p,Ham
s,Marcellus,m,4,Ham
m,Marcellus; Bernardo,m,4,Ham
s,Messenger,m,6,Ham
s,Ophelia,f,1,Ham
s,Osrick,m,2,Ham
s,Player,m,p,Ham
s,Polonius,m,1,Ham
s,Priest,m,3,Ham
s,Reynaldo,m,2,Ham
s,Rosencrantz,m,2,Ham
m,Rosencrantz; Guildenstern,m,2,Ham
s,Sailor,m,6,Ham
s,Servant,m,6,Ham
s,Voltimand,m,2,Ham
s,Archbishop,m,1,1H4
s,Bardolph,m,5,1H4
s,Blunt,m,2,1H4
s,Carrier,m,6,1H4
s,Chamberlain,m,6,1H4
s,Douglas,m,1,1H4
s,Falstaff,m,2,1H4
s,First Carrier,m,6,1H4
s,First Traveler,m,4,1H4
s,Francis,m,6,1H4
s,Gadshill,m,6,1H4
s,Glendower,m,0,1H4
s,Hostess,f,4,1H4
s,Hotspur,m,1,1H4
s,King,m,0,1H4
s,Lady Percy,f,1,1H4
s,Lancaster,m,1,1H4
s,Messenger,m,6,1H4
s,Mortimer,m,1,1H4
s,Northumberland,m,1,1H4
s,Ostler,m,6,1H4
s,Peto,m,6,1H4
s,Poins,m,2,1H4
s,Prince,m,1,1H4
s,Second Carrier,m,6,1H4
s,Servant,m,6,1H4
s,Sheriff,m,4,1H4
s,Sir Michael,m,2,1H4
m,Thieves,m,6,1H4
m,Travelers,m,3,1H4
s,Vernon,m,1,1H4
s,Vintner,m,6,1H4
s,Westmorland,m,1,1H4
s,Worcester,m,1,1H4
s,Archbishop,m,1,2H4
s,Bardolph,m,5,2H4
s,Beadle,m,5,2H4
s,Bullcalf,m,6,2H4
s,Clarence,m,1,2H4
s,Coleville,m,2,2H4
s,Davy,m,6,2H4
s,Doll,f,6,2H4
s,Drawer,m,6,2H4
s,Epilogue Speaker,m,p,2H4
s,Falstaff,m,2,2H4
s,Fang,m,5,2H4
s,Feeble,m,6,2H4
s,Francis,m,6,2H4
s,Gloucester,m,1,2H4
m,Gloucester and Clarence,m,1,2H4
s,Gower,m,6,2H4
s,Groom 1,m,6,2H4
s,Groom 2,m,6,2H4
s,Groom 3,m,6,2H4
s,Harcourt,m,6,2H4
s,Hastings,m,1,2H4
s,Hostess,f,4,2H4
s,Justice,m,1,2H4
s,King Henry,m,0,2H4
s,Lady Northumberland,f,1,2H4
s,Lady Percy,f,1,2H4
s,Lancaster,m,1,2H4
s,Lord Bardolph,m,1,2H4
s,Messenger,m,6,2H4
s,Moldy,m,6,2H4
s,Morton,m,2,2H4
s,Mowbray,m,1,2H4
s,Northumberland,m,1,2H4
s,Page,m,6,2H4
s,Peto,m,6,2H4
s,Pistol,m,6,2H4
s,Poins,m,2,2H4
s,Porter,m,6,2H4
s,Prince Henry,m,1,2H4
m,Prince Henry; Poins,m,1,2H4
m,Princes,m,1,2H4
s,Rumor,m,p,2H4
s,Servant,m,6,2H4
s,Shadow,m,6,2H4
s,Shallow,m,2,2H4
s,Silence,m,2,2H4
s,Snare,m,6,2H4
s,Travers,m,6,2H4
s,Wart,m,6,2H4
s,Warwick,m,1,2H4
s,Westmorland,m,1,2H4
s,Alice,f,2,H5
m,All,m,1,H5
s,Ambassador,m,2,H5
s,Bardolph,m,5,H5
s,Bates,m,6,H5
s,Bedford,m,1,H5
s,Bourbon,m,1,H5
s,Boy,m,6,H5
s,Brittany,m,1,H5
s,Burgundy,m,1,H5
s,Cambridge,m,1,H5
s,Canterbury,m,1,H5
s,Chorus,m,p,H5
s,Constable,m,2,H5
s,Court,m,6,H5
