character,actual,predicted
1H4_Archbishop,other,protag
1H4_Blunt,other,antag
1H4_Douglas,other,protag
1H4_Falstaff,fool,protag
1H4_Gadshill,other,fool
1H4_Glendower,other,other
1H4_HenryIV,other,other
1H4_HenryV,protag,protag
1H4_Hotspur,antag,other
1H4_LadyPercy,other,protag
1H4_MistressQuickly,other,other
1H4_Mortimer,other,antag
1H4_Poins,other,other
1H4_Vernon,other,other
1H4_Westmoreland,other,antag
1H4_Worcester,other,antag
1H6_Alanson,other,other
1H6_Bedford,other,other
1H6_Burgundy,other,protag
1H6_CardinalBeaufort,other,antag
1H6_Charles,antag,protag
1H6_Countess,other,protag
1H6_Exeter,other,other
1H6_Gloucester,other,antag
1H6_HenryVI,protag,antag
1H6_JohnTalbot,other,fool
1H6_Lucy,other,other
1H6_MESSENGERS.ENGLISH.3,other,other
1H6_Mortimer,other,protag
1H6_Pucelle,other,protag
1H6_QueenMargaret,other,fool
1H6_Reignier,other,other
1H6_Somerset,other,protag
1H6_Suffolk,other,other
1H6_Talbot,other,protag
1H6_Warwick,other,antag
1H6_York,other,other
2H4_Archbishop,other,other
2H4_Bardolph,other,other
2H4_Bedford,other,other
2H4_ChiefJustice,antag,other
2H4_Chorus,other,other
2H4_Davy,other,antag
2H4_DollTearsheet,other,protag
2H4_Epilogue,other,antag
2H4_Falstaff,fool,other
2H4_Hastings,other,other
2H4_HenryIV,other,protag
2H4_HenryV,protag,protag
2H4_LadyPercy,other,other
2H4_LordBardolph,other,other
2H4_MistressQuickly,other,fool
2H4_Morton,other,other
2H4_Mowbray,other,protag
2H4_Northumberland,other,protag
2H4_Pistol,other,other
2H4_Poins,other,fool
2H4_Shallow,other,other
2H4_Silence,other,other
2H4_Warwick,other,other
2H4_Westmoreland,other,antag
2H6_Buckingham,other,other
2H6_Cade,other,protag
2H6_CardinalBeaufort,other,other
2H6_Clifford,other,other
2H6_Dick,other,other
2H6_DuchessOfGloucester,other,protag
2H6_Gloucester,other,other
2H6_HenryVI,other,other
2H6_Iden,other,protag
2H6_Lieutenant,other,other
2H6_QueenMargaret,other,other
2H6_Salisbury,other,other
2H6_Saye,other,other
2H6_Suffolk,other,other
2H6_Warwick,other,protag
2H6_York,other,other
2H6_YoungClifford,other,protag
3H6_Clarence,other,antag
3H6_Clifford,other,protag
3H6_EdwardIV,other,protag
3H6_HenryVI,other,protag
3H6_KingLewis,other,antag
3H6_Oxford,other,other
3H6_PrinceEdward,other,other
3H6_QueenElizabeth,other,protag
3H6_QueenMargaret,other,protag
3H6_RichardIII,other,other
3H6_Somerset,other,other
3H6_Warwick,other,other
3H6_York,other,protag
AWW_Bertram,antag,fool
AWW_Countess,other,antag
AWW_Diana,other,other
AWW_Fool,fool,fool
AWW_Helen,protag,antag
AWW_King,other,protag
AWW_LORDS.DUMAINE.1,other,other
AWW_LORDS.DUMAINE.2,other,fool
AWW_Lafew,other,fool
AWW_Parolles,other,antag
AWW_SOLDIERS.Interpreter,other,antag
AWW_Steward,other,fool
AWW_Widow,other,other
