character,actual,predicted
1H4_Archbishop,other,antag
1H4_Bardolph,other,protag
1H4_Blunt,other,antag
1H4_Chamberlain,other,fool
1H4_Douglas,other,antag
1H4_Falstaff,fool,protag
1H4_Gadshill,other,fool
1H4_Glendower,other,other
1H4_HenryIV,other,antag
1H4_HenryV,protag,protag
1H4_Hotspur,antag,other
1H4_LadyPercy,other,protag
1H4_MistressQuickly,other,protag
1H4_Mortimer,other,antag
1H4_Northumberland,other,antag
1H4_Poins,other,protag
1H4_TRAVELERS.CARRIERS.1,other,fool
1H4_TRAVELERS.CARRIERS.2,other,other
1H4_Vernon,other,antag
1H4_Westmoreland,other,other
1H4_Worcester,other,antag
1H6_Alanson,other,other
1H6_Basset,other,antag
1H6_Bastard,other,other
1H6_Bedford,other,other
1H6_Burgundy,other,other
1H6_CardinalBeaufort,other,antag
1H6_Charles,antag,protag
1H6_Countess,other,protag
1H6_Exeter,other,antag
1H6_General,other,protag
1H6_Gloucester,other,protag
1H6_HenryVI,protag,antag
1H6_JohnTalbot,other,fool
1H6_Lucy,other,other
1H6_MESSENGERS.ENGLISH.1,other,other
1H6_MESSENGERS.ENGLISH.3,other,antag
1H6_MESSENGERS.FRENCH.1,other,fool
1H6_MasterGunner,other,protag
1H6_Mayor,other,other
1H6_Mortimer,other,protag
1H6_Pucelle,other,protag
1H6_QueenMargaret,other,fool
1H6_Reignier,other,protag
1H6_Salisbury,other,protag
1H6_Shepherd,other,protag
1H6_Somerset,other,protag
1H6_Suffolk,other,other
1H6_Talbot,other,protag
1H6_Vernon,other,fool
1H6_Warwick,other,antag
1H6_York,other,protag
2H4_Archbishop,other,other
2H4_Bardolph,other,fool
2H4_Bedford,other,antag
2H4_Bullcalf,other,fool
2H4_ChiefJustice,antag,other
2H4_Chorus,other,antag
2H4_Clarence,other,other
2H4_Davy,other,fool
2H4_DollTearsheet,other,protag
2H4_Epilogue,other,protag
2H4_Falstaff,fool,antag
2H4_Gloucester,other,other
2H4_Hastings,other,antag
2H4_HenryIV,other,protag
2H4_HenryV,protag,antag
2H4_LadyPercy,other,other
2H4_LordBardolph,other,other
2H4_MistressQuickly,other,fool
2H4_Morton,other,antag
2H4_Mowbray,other,antag
2H4_Northumberland,other,protag
2H4_Pistol,other,protag
2H4_Poins,other,fool
2H4_SERVANTS.FALSTAFF.1,other,fool
2H4_Shallow,other,fool
2H4_Silence,other,protag
2H4_Travers,other,other
2H4_Warwick,other,other
2H4_Westmoreland,other,other
2H6_Bevis,other,other
2H6_Bolingbroke,other,other
2H6_Buckingham,other,other
2H6_Cade,other,protag
2H6_CardinalBeaufort,other,other
2H6_Clifford,other,protag
2H6_Dick,other,other
2H6_DuchessOfGloucester,other,protag
2H6_Gloucester,other,protag
2H6_HenryVI,other,other
2H6_Holland,other,other
2H6_Horner,other,fool
2H6_Hume,other,other
2H6_Iden,other,protag
2H6_Lieutenant,other,antag
2H6_QueenMargaret,other,other
2H6_RichardIII,other,antag
2H6_Salisbury,other,antag
2H6_Saye,other,other
2H6_Simpcox,other,fool
2H6_Smith,other,other
2H6_Somerset,other,other
2H6_Stafford,other,antag
2H6_Suffolk,other,protag
2H6_Thump,other,fool
2H6_Warwick,other,antag
2H6_Whitmore,other,protag
2H6_York,other,antag
2H6_YoungClifford,other,protag
3H6_Clarence,other,antag
3H6_Clifford,other,protag
3H6_EdwardIV,other,protag
3H6_Exeter,other,other
3H6_Father,other,protag
3H6_GAMEKEEPERS.1,other,other
3H6_GAMEKEEPERS.2,other,antag
3H6_Hastings,other,antag
3H6_HenryVI,other,protag
3H6_KingLewis,other,antag
3H6_MESSENGERS.Post,other,other
3H6_MESSENGERS.X.2,other,other
3H6_Montague,other,protag
3H6_Montgomery,other,protag
3H6_Northumberland,other,antag
3H6_Oxford,other,antag
3H6_PrinceEdward,other,protag
3H6_QueenElizabeth,other,fool
3H6_QueenMargaret,other,protag
3H6_RichardIII,other,protag
3H6_Rutland,other,protag
3H6_Somerset,other,antag
3H6_Son,other,fool
3H6_Warwick,other,antag
3H6_York,other,protag
AWW_Bertram,antag,fool
AWW_Countess,other,fool
AWW_Diana,other,fool
AWW_Duke,other,other
AWW_Fool,fool,fool
AWW_GENTLEMEN.3,other,fool
AWW_Helen,protag,antag
AWW_King,other,protag
AWW_LORDS.DUMAINE.1,other,other
AWW_LORDS.DUMAINE.2,other,antag
AWW_Lafew,other,fool
AWW_Mariana,other,fool
AWW_Parolles,other,antag
AWW_SOLDIERS.Interpreter,other,fool
AWW_Steward,other,fool
AWW_Widow,other,fool
AYL_Adam,other,fool
AYL_Audrey,other,other
AYL_Celia,other,other
AYL_Charles,other,fool
AYL_Corin,other,fool
AYL_DukeFrederick,antag,protag
AYL_DukeSenior,other,antag
AYL_Hymen,other,antag
AYL_Jaques,other,antag
AYL_LORDS.FREDERICK.LeBeau,other,antag
AYL_LORDS.SENIOR.0.1,other,other
AYL_LORDS.SENIOR.Amiens,other,other
AYL_Oliver,other,antag
AYL_Orlando,other,protag
AYL_Phoebe,other,protag
AYL_Rosalind,protag,fool
AYL_SERVANTS.1,other,antag
AYL_SERVANTS.2,other,other
AYL_SecondBrother,other,antag
AYL_Silvius,other,protag
AYL_Touchstone,other,antag
Ado_Balthasar,other,other
Ado_Beatrice,protag,fool
Ado_Benedick,other,fool
Ado_Borachio,other,other
Ado_Claudio,other,other
Ado_Conrade,other,fool
Ado_Dogberry,fool,fool
Ado_DonJohn,antag,fool
Ado_DonPedro,other,other
Ado_FriarFrancis,other,other
Ado_Hero,other,protag
Ado_Leonato,other,fool
Ado_LeonatosBrother,other,other
Ado_MESSENGERS.LEONATO.1,other,other
Ado_Margaret,other,protag
Ado_Sexton,other,antag
Ado_Ursula,other,antag
Ado_Verges,other,fool
Ado_WATCHMEN.1,other,antag
Ado_WATCHMEN.Seacoal,other,other
Ant_Agrippa,other,other
Ant_Alexas,other,other
Ant_Ambassador,other,protag
Ant_Antony,protag,protag
Ant_Canidius,other,other
Ant_Charmian,other,other
Ant_Cleopatra,other,protag
Ant_Countryman,other,other
Ant_Diomedes,other,antag
Ant_Dolabella,other,fool
Ant_Enobarbus,other,other
Ant_Eros,other,fool
Ant_GUARDS.Dercetus,other,fool
Ant_Iras,other,other
Ant_Lepidus,other,other
Ant_MESSENGERS.X.2,other,fool
Ant_Maecenas,other,other
Ant_Mardian,other,antag
Ant_Menas,other,protag
Ant_Octavia,other,other
Ant_Octavius,antag,other
Ant_Philo,other,other
Ant_Pompey,other,fool
Ant_Proculeius,other,fool
Ant_Scarus,other,antag
Ant_Soothsayer,other,fool
Ant_Thidias,other,fool
Ant_Ventidius,other,antag
Cor_Adrian,other,other
Cor_Aufidius,other,protag
Cor_CITIZENS.ROMAN,other,other
Cor_CITIZENS.ROMAN.0.1,other,other
Cor_CITIZENS.ROMAN.0.2,other,other
Cor_CITIZENS.ROMAN.0.3,other,other
Cor_CITIZENS.ROMAN.2,other,other
Cor_CITIZENS.ROMAN.3,other,antag
Cor_Cominius,other,other
Cor_Coriolanus,protag,protag
Cor_LORDS.VOLSCIAN.0.1,other,other
Cor_Lartius,other,other
Cor_MESSENGERS.TRIBUNES.1,other,antag
Cor_MESSENGERS.TRIBUNES.2,other,fool
Cor_Menenius,other,other
Cor_Nicanor,other,other
Cor_OFFICERS.1,other,other
Cor_OFFICERS.2,other,other
Cor_SENATORS.ROMAN.0.1,other,other
Cor_SENATORS.VOLSCIAN.0.1,other,antag
Cor_SERVANTS.1,other,fool
Cor_SERVANTS.2,other,fool
Cor_SERVANTS.3,other,other
Cor_TRIBUNES.Brutus,antag,other
Cor_TRIBUNES.Sicinius,other,other
Cor_Valeria,other,other
Cor_Virgilia,other,fool
Cor_Volumnia,other,protag
Cor_WATCHMEN.1,other,fool
Cym_ATTENDANTS.0.2,other,other
Cym_ATTENDANTS.1,other,antag
Cym_ATTENDANTS.CLOTEN.1,other,fool
Cym_ATTENDANTS.CLOTEN.2,other,antag
Cym_Arviragus,other,fool
Cym_Belarius,other,other
Cym_Cloten,fool,antag
Cym_Cornelius,other,antag
Cym_Cymbeline,other,antag
Cym_Frenchman,other,protag
Cym_GHOSTS.Father,other,other
Cym_Guiderius,other,other
Cym_Iachimo,antag,antag
Cym_Imogen,protag,fool
Cym_JAILERS.1,other,fool
Cym_Jupiter,other,other
Cym_Lucius,other,other
Cym_Philario,other,antag
Cym_Pisanio,other,fool
Cym_Posthumus,other,fool
Cym_Queen,other,antag
Cym_SENATORS.1,other,antag
Cym_Soothsayer,other,antag
Err_Abbess,other,antag
Err_Adriana,other,other
Err_Angelo,other,fool
Err_AntipholusOfEphesus,antag,protag
Err_AntipholusOfSyracuse,protag,protag
Err_Balthasar,other,other
Err_Courtesan,other,protag
Err_DromioOfEphesus,fool,fool
Err_DromioOfSyracuse,fool,fool
Err_Duke,other,other
Err_Egeon,other,protag
Err_Luciana,other,other
Err_Merchant1,other,protag
Err_Merchant2,other,protag
Err_Messenger,other,fool
Err_Pinch,other,other
H5_AMBASSADORS.0.1,other,antag
H5_Alice,other,other
H5_Bardolph,other,other
H5_BishopOfCanterbury,other,antag
H5_BishopOfEly,other,antag
H5_Boy,other,other
H5_Burgundy,other,antag
H5_Cambridge,other,other
H5_Chorus,other,antag
H5_Constable,other,antag
H5_Dauphin,antag,other
H5_Exeter,other,other
H5_Fluellen,other,antag
H5_Gower,other,antag
H5_Grandpre,other,protag
