character,actual,predicted
1H4_Falstaff,fool,protag
1H4_Glendower,other,other
1H4_HenryIV,other,other
1H4_HenryV,protag,protag
1H4_Hotspur,antag,other
1H4_Poins,other,fool
1H4_Worcester,other,other
1H6_Bedford,other,other
1H6_CardinalBeaufort,other,other
1H6_Charles,antag,protag
1H6_Gloucester,other,other
1H6_HenryVI,protag,other
1H6_Lucy,other,other
1H6_Mortimer,other,other
1H6_Pucelle,other,other
1H6_Somerset,other,other
1H6_Suffolk,other,other
1H6_Talbot,other,protag
1H6_Warwick,other,other
1H6_York,other,other
2H4_Archbishop,other,other
2H4_Bedford,other,other
2H4_ChiefJustice,antag,other
2H4_DollTearsheet,other,other
2H4_Falstaff,fool,antag
2H4_HenryIV,other,protag
2H4_HenryV,protag,other
2H4_LordBardolph,other,other
2H4_MistressQuickly,other,fool
2H4_Morton,other,other
2H4_Northumberland,other,other
2H4_Pistol,other,other
2H4_Shallow,other,fool
2H4_Warwick,other,other
2H4_Westmoreland,other,other
2H6_Buckingham,other,other
2H6_Cade,other,protag
2H6_CardinalBeaufort,other,other
2H6_DuchessOfGloucester,other,protag
2H6_Gloucester,other,other
2H6_HenryVI,other,other
2H6_QueenMargaret,other,other
2H6_Salisbury,other,other
2H6_Suffolk,other,other
2H6_Warwick,other,other
2H6_York,other,other
3H6_Clarence,other,other
3H6_Clifford,other,other
3H6_EdwardIV,other,protag
3H6_HenryVI,other,protag
3H6_KingLewis,other,other
3H6_QueenElizabeth,other,other
3H6_QueenMargaret,other,protag
3H6_RichardIII,other,other
3H6_Warwick,other,protag
3H6_York,other,protag
AWW_Bertram,antag,other
AWW_Countess,other,other
AWW_Diana,other,other
AWW_Fool,fool,fool
AWW_Helen,protag,other
AWW_King,other,protag
AWW_LORDS.DUMAINE.1,other,other
AWW_LORDS.DUMAINE.2,other,other
AWW_Lafew,other,fool
AWW_Parolles,other,antag
AWW_SOLDIERS.Interpreter,other,other
AYL_Adam,other,other
AYL_Celia,other,other
AYL_Corin,other,fool
AYL_DukeFrederick,antag,other
AYL_DukeSenior,other,other
AYL_Jaques,other,other
AYL_Oliver,other,other
AYL_Orlando,other,other
AYL_Phoebe,other,protag
AYL_Rosalind,protag,fool
AYL_Silvius,other,other
AYL_Touchstone,other,other
Ado_Beatrice,protag,antag
Ado_Benedick,other,fool
Ado_Borachio,other,other
Ado_Claudio,other,other
Ado_Dogberry,fool,fool
Ado_DonJohn,antag,other
Ado_DonPedro,other,other
Ado_FriarFrancis,other,other
Ado_Hero,other,other
Ado_Leonato,other,other
Ado_Margaret,other,other
Ant_Antony,protag,protag
Ant_Charmian,other,other
Ant_Cleopatra,other,protag
Ant_Enobarbus,other,other
Ant_Octavius,antag,other
Ant_Pompey,other,fool
Cor_Aufidius,other,other
Cor_Cominius,other,other
Cor_Coriolanus,protag,protag
Cor_Menenius,other,antag
Cor_TRIBUNES.Brutus,antag,other
Cor_TRIBUNES.Sicinius,other,antag
Cor_Volumnia,other,protag
Cym_ATTENDANTS.1,other,other
Cym_Arviragus,other,fool
Cym_Belarius,other,other
Cym_Cloten,fool,other
Cym_Cornelius,other,other
Cym_Cymbeline,other,other
Cym_Guiderius,other,other
Cym_Iachimo,antag,other
Cym_Imogen,protag,fool
Cym_Lucius,other,other
Cym_Pisanio,other,other
Cym_Posthumus,other,other
Cym_Queen,other,other
Err_Abbess,other,other
