character,actual,predicted
1H4_Falstaff,m,m
1H4_HenryIV,m,m
1H4_HenryV,m,m
1H4_Hotspur,m,m
1H4_Worcester,m,m
1H6_Charles,m,m
1H6_Gloucester,m,m
1H6_HenryVI,m,m
1H6_Pucelle,f,m
1H6_Suffolk,m,m
1H6_Talbot,m,m
1H6_York,m,m
2H4_Archbishop,m,m
2H4_ChiefJustice,m,m
2H4_Falstaff,m,m
2H4_HenryIV,m,m
2H4_HenryV,m,m
2H4_MistressQuickly,f,f
2H4_Shallow,m,f
2H6_Cade,m,m
2H6_Gloucester,m,m
2H6_HenryVI,m,m
2H6_QueenMargaret,f,m
2H6_Suffolk,m,m
2H6_Warwick,m,m
2H6_York,m,m
3H6_Clifford,m,m
3H6_EdwardIV,m,m
3H6_HenryVI,m,m
3H6_QueenMargaret,f,m
3H6_RichardIII,m,m
3H6_Warwick,m,m
3H6_York,m,m
AWW_Bertram,m,f
AWW_Countess,f,f
AWW_Diana,f,f
AWW_Fool,m,f
AWW_Helen,f,m
AWW_King,m,m
AWW_LORDS.DUMAINE.1,m,m
AWW_Lafew,m,f
AWW_Parolles,m,m
AYL_Celia,f,m
AYL_Jaques,m,m
AYL_Oliver,m,m
AYL_Orlando,m,f
AYL_Rosalind,f,f
AYL_Touchstone,m,m
Ado_Beatrice,f,f
Ado_Benedick,m,f
Ado_Claudio,m,f
Ado_Dogberry,m,m
Ado_DonPedro,m,f
Ado_Leonato,m,f
Ant_Antony,m,f
Ant_Cleopatra,f,m
Ant_Enobarbus,m,m
Ant_Octavius,m,m
Cor_Aufidius,m,m
Cor_Cominius,m,m
Cor_Coriolanus,m,m
Cor_Menenius,m,f
Cor_TRIBUNES.Brutus,m,m
Cor_TRIBUNES.Sicinius,m,m
Cor_Volumnia,f,m
Cym_Belarius,m,m
Cym_Cloten,m,m
Cym_Cymbeline,m,m
Cym_Guiderius,m,f
Cym_Iachimo,m,m
Cym_Imogen,f,f
Cym_Pisanio,m,f
Cym_Posthumus,m,f
Cym_Queen,f,m
