character,actual,predicted
1H4_Archbishop,m,m
1H4_Bardolph,m,m
1H4_Bedford,m,m
1H4_Blunt,m,m
1H4_Chamberlain,m,f
1H4_DRAWERS.Francis,m,f
1H4_Douglas,m,f
1H4_Falstaff,m,f
1H4_Gadshill,m,m
1H4_Glendower,m,m
1H4_HenryIV,m,m
1H4_HenryV,m,f
1H4_Hotspur,m,m
1H4_LadyPercy,f,f
1H4_MESSENGERS.1,m,f
1H4_MESSENGERS.2,m,m
1H4_MESSENGERS.X,m,f
1H4_MistressQuickly,f,f
1H4_Mortimer,m,m
1H4_Northumberland,m,m
1H4_Ostler,m,m
1H4_Peto,m,f
1H4_Poins,m,m
1H4_SERVANTS.HOTSPUR.1,m,f
1H4_Sheriff,m,f
1H4_SirMichael,m,m
1H4_TRAVELERS.CARRIERS,m,f
1H4_TRAVELERS.CARRIERS.1,m,f
1H4_TRAVELERS.CARRIERS.2,m,m
1H4_TRAVELERS.CARRIERS.X,m,f
1H4_TRAVELERS.GENTLEMEN,m,f
1H4_TRAVELERS.GENTLEMEN.0.1,m,f
1H4_Vernon,m,m
1H4_Vintner,m,f
1H4_Westmoreland,m,m
1H4_Worcester,m,m
1H6_Alanson,m,m
1H6_Basset,m,m
1H6_Bastard,m,m
1H6_Bedford,m,m
1H6_Boy,m,f
1H6_Burgundy,m,m
1H6_CardinalBeaufort,m,m
1H6_Charles,m,m
1H6_Countess,f,m
1H6_Exeter,m,m
1H6_Fastolf,m,m
1H6_Gargrave,m,m
1H6_General,m,m
1H6_Glansdale,m,f
1H6_Gloucester,m,m
1H6_HenryVI,m,m
1H6_JAILERS.0.1,m,m
1H6_JohnTalbot,m,f
1H6_Lawyer,m,f
1H6_Legate,m,m
1H6_Lucy,m,m
1H6_MESSENGERS.ENGLISH.1,m,m
1H6_MESSENGERS.ENGLISH.2,m,f
1H6_MESSENGERS.ENGLISH.3,m,m
1H6_MESSENGERS.ENGLISH.X.1,m,f
1H6_MESSENGERS.ENGLISH.X.2,m,m
1H6_MESSENGERS.FRENCH.1,m,m
1H6_MasterGunner,m,f
1H6_Mayor,m,m
1H6_Mortimer,m,m
1H6_OFFICERS.0.1,m,m
1H6_Porter,m,f
1H6_Pucelle,f,m
1H6_QueenMargaret,f,f
1H6_Reignier,m,f
1H6_SERVANTS.1,m,m
1H6_SERVANTS.2,m,f
