character,actual,predicted
1H4_Falstaff,m,f
1H4_Glendower,m,m
1H4_HenryIV,m,m
1H4_HenryV,m,m
1H4_Hotspur,m,m
1H4_Poins,m,m
1H4_Worcester,m,m
1H6_Bedford,m,m
1H6_CardinalBeaufort,m,m
1H6_Charles,m,m
1H6_Gloucester,m,m
1H6_HenryVI,m,m
1H6_Lucy,m,m
1H6_Mortimer,m,m
1H6_Pucelle,f,m
1H6_Somerset,m,m
1H6_Suffolk,m,m
1H6_Talbot,m,m
1H6_Warwick,m,m
1H6_York,m,m
2H4_Archbishop,m,m
2H4_Bedford,m,m
2H4_ChiefJustice,m,m
2H4_DollTearsheet,f,m
2H4_Falstaff,m,m
2H4_HenryIV,m,m
2H4_HenryV,m,m
2H4_LordBardolph,m,m
2H4_MistressQuickly,f,f
2H4_Morton,m,m
2H4_Northumberland,m,m
2H4_Pistol,m,m
2H4_Shallow,m,f
2H4_Warwick,m,m
2H4_Westmoreland,m,m
2H6_Buckingham,m,m
2H6_Cade,m,m
2H6_CardinalBeaufort,m,m
2H6_DuchessOfGloucester,f,f
2H6_Gloucester,m,m
2H6_HenryVI,m,m
2H6_QueenMargaret,f,m
2H6_Salisbury,m,m
2H6_Suffolk,m,m
2H6_Warwick,m,m
2H6_York,m,m
3H6_Clarence,m,m
3H6_Clifford,m,m
3H6_EdwardIV,m,m
3H6_HenryVI,m,m
3H6_KingLewis,m,m
3H6_QueenElizabeth,f,f
3H6_QueenMargaret,f,m
3H6_RichardIII,m,m
3H6_Warwick,m,m
3H6_York,m,m
AWW_Bertram,m,f
AWW_Countess,f,m
AWW_Diana,f,f
AWW_Fool,m,f
AWW_Helen,f,m
AWW_King,m,m
AWW_LORDS.DUMAINE.1,m,m
AWW_LORDS.DUMAINE.2,m,m
AWW_Lafew,m,f
AWW_Parolles,m,m
AWW_SOLDIERS.Interpreter,m,m
AYL_Adam,m,f
AYL_Celia,f,m
AYL_Corin,m,m
AYL_DukeFrederick,m,m
AYL_DukeSenior,m,m
AYL_Jaques,m,m
AYL_Oliver,m,m
AYL_Orlando,m,f
AYL_Phoebe,f,f
AYL_Rosalind,f,f
AYL_Silvius,m,m
AYL_Touchstone,m,m
Ado_Beatrice,f,f
Ado_Benedick,m,f
Ado_Borachio,m,m
Ado_Claudio,m,f
Ado_Dogberry,m,m
Ado_DonJohn,m,f
Ado_DonPedro,m,m
Ado_FriarFrancis,m,m
Ado_Hero,f,m
Ado_Leonato,m,f
Ado_Margaret,f,m
Ant_Antony,m,f
Ant_Charmian,f,m
Ant_Cleopatra,f,m
Ant_Enobarbus,m,m
Ant_Octavius,m,m
