name,overall,average,f1,mcc
Emphasis-Min-2500-Counts,0.8048780487804879,0.76890756302521,0.7152777777777778,0.45673523971258717
Emphasis-Min-500-Counts,0.7506361323155216,0.7236477987421384,0.6713822525597269,0.37741261453588676
Emphasis-Min-2500-Percentages,0.7682926829268293,0.7184873949579832,0.6684400936369441,0.36600324223594427
Emphasis-Min-250-Counts,0.7567567567567568,0.6986717550741941,0.6618740099914707,0.3442545605907428
Emphasis-Min-1000-Percentages,0.732824427480916,0.7103479853479854,0.6588541666666667,0.35527423376411316
Emphasis-Min-500-Percentages,0.732824427480916,0.7126415094339622,0.6557032364646692,0.3538465898661651
Emphasis-Min-100-Counts,0.7920193470374849,0.6866165465631929,0.6534015594541911,0.32119108527629714
Emphasis-All-Counts,0.8649015614392397,0.6588161021984551,0.6521263907432132,0.3048578012172926
Emphasis-Vowels-Only-Min-2500-Percentages,0.7804878048780488,0.6691176470588236,0.6505681818181819,0.3074759542115459
Min-500-Counts,0.7353689567430025,0.6938364779874214,0.6489383632240775,0.32853017091149894
Vowels-Only-Min-2500-Counts,0.7560975609756098,0.6827731092436975,0.6440972222222222,0.3104372332421491
Emphasis-Vowels-Only-Min-2500-Counts,0.7926829268292683,0.648109243697479,0.643933588761175,0.28830196553047377
Emphasis-Min-1000-Counts,0.7175572519083969,0.6935897435897436,0.6425779809748543,0.3251907482167457
All-Counts,0.86693822131704,0.6368389780154486,0.6384316357916462,0.2769079164809788
Min-2500-Percentages,0.7439024390243902,0.6754201680672269,0.6335390508618854,0.29385837237212836
Min-100-Counts,0.7823458282950423,0.6574510347376201,0.6316148957652788,0.2743289099540082
Emphasis-Min-250-Percentages,0.7099099099099099,0.6883421456592188,0.6299402387963273,0.308638081145956
Min-500-Percentages,0.7048346055979644,0.6902515723270439,0.6297270955165692,0.31174006046236674
Vowels-Only-Min-2500-Percentages,0.7195121951219512,0.6890756302521008,0.6260162601626016,0.3027755486321566
Emphasis-Vowels-Only-All-Counts,0.8750848608282417,0.6124925727866904,0.6248795881082876,0.25384215762723805
Emphasis-Vowels-Only-Min-250-Counts,0.7495495495495496,0.638751492410029,0.6248267477203647,0.2550081280464579
Emphasis-Vowels-Only-Min-500-Counts,0.727735368956743,0.6534591194968553,0.6245882174390472,0.2671804752877702
Min-250-Counts,0.7261261261261261,0.6576304792768208,0.6242383209207854,0.2705959858806649
Min-2500-Counts,0.7317073170731707,0.6680672268907563,0.6232247284878863,0.2779789348595233
Emphasis-Vowels-Only-Min-500-Percentages,0.6946564885496184,0.6839622641509433,0.6212656601349181,0.29963537982218696
Min-1000-Counts,0.6946564885496184,0.6720695970695971,0.6202072914401682,0.2861718353984585
Emphasis-Vowels-Only-Min-100-Counts,0.7980652962515115,0.6264262287509239,0.6201340583596692,0.24129977118400242
Emphasis-Vowels-Only-Min-1000-Counts,0.7099236641221374,0.6454212454212453,0.615182436611008,0.25187698556954
Emphasis-Vowels-Only-Min-1000-Percentages,0.6946564885496184,0.6576007326007326,0.6135978172701129,0.2647366498018067
Vowels-Only-Min-500-Counts,0.7251908396946565,0.6315094339622642,0.6108910891089109,0.2335824462782769
Emphasis-Vowels-Only-Min-250-Percentages,0.6864864864864865,0.6591335493774518,0.6042472624745918,0.259256696358564
Min-250-Percentages,0.6882882882882883,0.6528441071123998,0.6023581447935691,0.25046710479232037
Min-1000-Percentages,0.6717557251908397,0.6577838827838828,0.6015138653084324,0.2590874917940003
No-Others-Counts,0.75,0.7130801687763713,0.5990057995028998,0.2863304587454586
Emphasis-No-Others-Counts,0.75,0.7130801687763713,0.5990057995028998,0.2863304587454586
Vowels-Only-All-Counts,0.8703326544467074,0.5867275698158051,0.5985316466533959,0.20302132156534858
Emphasis-Vowels-Only-No-Others-Counts,0.7727272727272727,0.6765119549929677,0.5981735159817352,0.2509526998736906
Vowels-Only-Min-1000-Counts,0.6946564885496184,0.6214285714285714,0.5949288806431663,0.21032045520479226
Vowels-Only-Min-100-Counts,0.7980652962515115,0.5928780949741316,0.5944328449812499,0.1889809634294234
Vowels-Only-Min-500-Percentages,0.6615776081424937,0.6584276729559748,0.5923013923013923,0.25448884949518086
Emphasis-Min-100-Percentages,0.6880290205562273,0.6657947616407982,0.5843735390369331,0.2470647554198605
Vowels-Only-Min-250-Counts,0.7297297297297297,0.5895659218829951,0.583299963961078,0.16879278274901446
Vowels-Only-No-Others-Percentages,0.7045454545454546,0.7369901547116737,0.5794117647058823,0.300660811805147
Emphasis-Vowels-Only-Min-100-Percentages,0.6686819830713422,0.6510763118994827,0.568161028189843,0.2228332959372453
Vowels-Only-Min-1000-Percentages,0.6412213740458015,0.6097985347985349,0.5644453876627051,0.18029361733082205
Emphasis-No-Others-Percentages,0.7272727272727273,0.6511954992967651,0.5625517812758907,0.20317177765766864
Emphasis-Vowels-Only-No-Others-Percentages,0.7272727272727273,0.6511954992967651,0.5625517812758907,0.20317177765766864
No-Others-Percentages,0.6931818181818182,0.6814345991561181,0.5553060078607523,0.23195849455887843
Vowels-Only-No-Others-Counts,0.7386363636363636,0.6082981715893108,0.54972191323693,0.1515662872410472
Vowels-Only-Min-250-Percentages,0.6270270270270271,0.6040529592358861,0.5496913277804998,0.16588992161428393
Min-100-Percentages,0.6553808948004837,0.6097156781226902,0.5445199192215899,0.16287126016116835
Vowels-Only-Min-100-Percentages,0.6275695284159613,0.60679970436068,0.5298708010335917,0.15544617963383328
All-Percentages,0.6109979633401222,0.6356060606060605,0.4991856112188062,0.1674540425778429
Emphasis-All-Percentages,0.5974202308214528,0.6540329768270945,0.49705976341070895,0.1889456785655573
Emphasis-Vowels-Only-All-Percentages,0.5824847250509165,0.6456996434937612,0.48681278901991976,0.17826029189322093
Vowels-Only-All-Percentages,0.5940257976917854,0.6001336898395722,0.48032457663916633,0.12347304858673155
