                               Overall Accuracy:                                

                                          Option Combination  Overall    Average  
                             Emphasis-Vowels-Only-All-Counts   87.51%     61.25%  
                     Emphasis-Vowels-Only-All-Counts-Twofold   87.51%     61.25%  
                                      Vowels-Only-All-Counts   87.03%     58.67%  
                              Vowels-Only-All-Counts-Twofold   87.03%     58.67%  
                                                  All-Counts   86.69%     63.68%  
                                          All-Counts-Twofold   86.69%     63.68%  
                                         Emphasis-All-Counts   86.49%     65.88%  
                                 Emphasis-All-Counts-Twofold   86.49%     65.88%  
                                    Emphasis-Min-2500-Counts   80.49%     76.89%  
                            Emphasis-Min-2500-Counts-Twofold   80.49%     76.89%  
                          Vowels-Only-Min-100-Counts-Twofold   79.81%     59.29%  
                                  Vowels-Only-Min-100-Counts   79.81%     59.29%  
                 Emphasis-Vowels-Only-Min-100-Counts-Twofold   79.81%     62.64%  
                         Emphasis-Vowels-Only-Min-100-Counts   79.81%     62.64%  
                        Emphasis-Vowels-Only-Min-2500-Counts   79.27%     64.81%  
                Emphasis-Vowels-Only-Min-2500-Counts-Twofold   79.27%     64.81%  
                                     Emphasis-Min-100-Counts   79.20%     68.66%  
                             Emphasis-Min-100-Counts-Twofold   79.20%     68.66%  
                                              Min-100-Counts   78.23%     65.75%  
                                      Min-100-Counts-Twofold   78.23%     65.75%  
                   Emphasis-Vowels-Only-Min-2500-Percentages   78.05%     66.91%  
           Emphasis-Vowels-Only-Min-2500-Percentages-Twofold   78.05%     66.91%  
                       Emphasis-Vowels-Only-No-Others-Counts   77.27%     67.65%  
               Emphasis-Vowels-Only-No-Others-Counts-Twofold   77.27%     67.65%  
                               Emphasis-Min-2500-Percentages   76.83%     71.85%  
                       Emphasis-Min-2500-Percentages-Twofold   76.83%     71.85%  
                                     Emphasis-Min-250-Counts   75.68%     69.87%  
                             Emphasis-Min-250-Counts-Twofold   75.68%     69.87%  
                                 Vowels-Only-Min-2500-Counts   75.61%     68.28%  
                         Vowels-Only-Min-2500-Counts-Twofold   75.61%     68.28%  
                                     Emphasis-Min-500-Counts   75.06%     72.36%  
                             Emphasis-Min-500-Counts-Twofold   75.06%     72.36%  
                                            No-Others-Counts   75.00%     71.31%  
                                    No-Others-Counts-Twofold   75.00%     71.31%  
                                   Emphasis-No-Others-Counts   75.00%     71.31%  
                           Emphasis-No-Others-Counts-Twofold   75.00%     71.31%  
                         Emphasis-Vowels-Only-Min-250-Counts   74.95%     63.88%  
                 Emphasis-Vowels-Only-Min-250-Counts-Twofold   74.95%     63.88%  
                                        Min-2500-Percentages   74.39%     67.54%  
                                Min-2500-Percentages-Twofold   74.39%     67.54%  
                                Vowels-Only-No-Others-Counts   73.86%     60.83%  
                        Vowels-Only-No-Others-Counts-Twofold   73.86%     60.83%  
                                      Min-500-Counts-Twofold   73.54%     69.38%  
                                              Min-500-Counts   73.54%     69.38%  
                                Emphasis-Min-500-Percentages   73.28%     71.26%  
                        Emphasis-Min-500-Percentages-Twofold   73.28%     71.26%  
                               Emphasis-Min-1000-Percentages   73.28%     71.03%  
                       Emphasis-Min-1000-Percentages-Twofold   73.28%     71.03%  
                                             Min-2500-Counts   73.17%     66.81%  
                                     Min-2500-Counts-Twofold   73.17%     66.81%  
                                  Vowels-Only-Min-250-Counts   72.97%     58.96%  
                          Vowels-Only-Min-250-Counts-Twofold   72.97%     58.96%  
                         Emphasis-Vowels-Only-Min-500-Counts   72.77%     65.35%  
                 Emphasis-Vowels-Only-Min-500-Counts-Twofold   72.77%     65.35%  
                              Emphasis-No-Others-Percentages   72.73%     65.12%  
                      Emphasis-No-Others-Percentages-Twofold   72.73%     65.12%  
                  Emphasis-Vowels-Only-No-Others-Percentages   72.73%     65.12%  
          Emphasis-Vowels-Only-No-Others-Percentages-Twofold   72.73%     65.12%  
                                              Min-250-Counts   72.61%     65.76%  
                                      Min-250-Counts-Twofold   72.61%     65.76%  
