character,actual,predicted
1H4_Falstaff,history,tragedy
1H4_HenryIV,history,history
1H4_HenryV,history,history
1H4_Hotspur,history,history
1H4_Worcester,history,history
1H6_Charles,history,history
1H6_Gloucester,history,history
1H6_HenryVI,history,history
1H6_Pucelle,history,history
1H6_Suffolk,history,history
1H6_Talbot,history,history
1H6_York,history,history
2H4_Archbishop,history,history
2H4_ChiefJustice,history,history
2H4_Falstaff,history,comedy
2H4_HenryIV,history,history
2H4_HenryV,history,tragedy
2H4_MistressQuickly,history,tragedy
2H4_Shallow,history,comedy
2H6_Cade,history,history
2H6_Gloucester,history,history
2H6_HenryVI,history,history
2H6_QueenMargaret,history,history
2H6_Suffolk,history,history
2H6_Warwick,history,history
2H6_York,history,history
3H6_Clifford,history,history
3H6_EdwardIV,history,history
3H6_HenryVI,history,history
3H6_QueenMargaret,history,history
3H6_RichardIII,history,history
3H6_Warwick,history,history
3H6_York,history,history
AWW_Bertram,comedy,comedy
AWW_Countess,comedy,comedy
AWW_Diana,comedy,comedy
AWW_Fool,comedy,comedy
AWW_Helen,comedy,comedy
AWW_King,comedy,tragedy
AWW_LORDS.DUMAINE.1,comedy,tragedy
AWW_Lafew,comedy,comedy
AWW_Parolles,comedy,comedy
AYL_Celia,comedy,comedy
AYL_Jaques,comedy,comedy
AYL_Oliver,comedy,tragedy
AYL_Orlando,comedy,comedy
AYL_Rosalind,comedy,comedy
AYL_Touchstone,comedy,history
Ado_Beatrice,comedy,comedy
Ado_Benedick,comedy,comedy
Ado_Claudio,comedy,comedy
Ado_Dogberry,comedy,comedy
Ado_DonPedro,comedy,tragedy
Ado_Leonato,comedy,comedy
Ant_Antony,tragedy,tragedy
Ant_Cleopatra,tragedy,tragedy
Ant_Enobarbus,tragedy,comedy
Ant_Octavius,tragedy,tragedy
Cor_Aufidius,tragedy,tragedy
Cor_Cominius,tragedy,tragedy
Cor_Coriolanus,tragedy,tragedy
Cor_Menenius,tragedy,comedy
Cor_TRIBUNES.Brutus,tragedy,tragedy
Cor_TRIBUNES.Sicinius,tragedy,tragedy
Cor_Volumnia,tragedy,tragedy
Cym_Belarius,tragedy,tragedy
Cym_Cloten,tragedy,comedy
Cym_Cymbeline,tragedy,history
Cym_Guiderius,tragedy,comedy
Cym_Iachimo,tragedy,history
Cym_Imogen,tragedy,comedy
Cym_Pisanio,tragedy,comedy
Cym_Posthumus,tragedy,comedy
Cym_Queen,tragedy,comedy
Err_Adriana,comedy,tragedy
Err_AntipholusOfEphesus,comedy,tragedy
Err_AntipholusOfSyracuse,comedy,comedy
Err_DromioOfEphesus,comedy,comedy
Err_DromioOfSyracuse,comedy,comedy
Err_Egeon,comedy,history
H5_BishopOfCanterbury,history,history
H5_Chorus,history,history
H5_Fluellen,history,comedy
H5_HenryV,history,history
H5_Pistol,history,history
H8_Buckingham,history,tragedy
H8_Chamberlain,history,tragedy
H8_Cranmer,history,history
H8_HenryVIII,history,comedy
H8_Katherine,history,comedy
H8_Norfolk,history,history
H8_Wolsey,history,history
Ham_Claudius,tragedy,tragedy
Ham_Gertrude,tragedy,tragedy
Ham_Hamlet,tragedy,tragedy
Ham_Horatio,tragedy,history
Ham_Laertes,tragedy,history
Ham_Ophelia,tragedy,tragedy
Ham_Polonius,tragedy,comedy
JC_Antony,tragedy,tragedy
JC_Brutus,tragedy,tragedy
JC_Caesar,tragedy,tragedy
JC_Casca,tragedy,tragedy
JC_Cassius,tragedy,tragedy
Jn_Bastard,history,history
Jn_Constance,history,tragedy
Jn_Dauphin,history,history
Jn_Hubert,history,comedy
Jn_KingJohn,history,history
Jn_KingPhilip,history,history
Jn_Pandulph,history,history
Jn_Salisbury,history,history
LLL_Armado,comedy,history
LLL_Berowne,comedy,comedy
LLL_Boy,comedy,comedy
LLL_Boyet,comedy,tragedy
LLL_Costard,comedy,comedy
LLL_Holofernes,comedy,history
LLL_King,comedy,history
LLL_Princess,comedy,tragedy
LLL_Rosaline,comedy,comedy
Lr_Albany,tragedy,tragedy
Lr_Edgar,tragedy,comedy
Lr_Edmund,tragedy,history
Lr_Fool,tragedy,tragedy
Lr_Gloucester,tragedy,tragedy
Lr_Goneril,tragedy,comedy
Lr_Kent,tragedy,comedy
Lr_Lear,tragedy,tragedy
Lr_Regan,tragedy,comedy
MM_Angelo,comedy,tragedy
MM_Duke,comedy,comedy
MM_Escalus,comedy,comedy
MM_Isabella,comedy,tragedy
MM_Lucio,comedy,comedy
MM_Pompey,comedy,comedy
MM_Provost,comedy,tragedy
MND_Bottom,comedy,comedy
MND_Demetrius,comedy,comedy
MND_Helena,comedy,comedy
MND_Hermia,comedy,comedy
MND_Lysander,comedy,comedy
MND_Oberon,comedy,history
MND_RobinGoodfellow,comedy,history
MND_Theseus,comedy,history
MND_Titania,comedy,history
MV_Antonio,comedy,comedy
MV_Bassanio,comedy,comedy
MV_Gratiano,comedy,comedy
MV_LanceletGobbo,comedy,comedy
MV_Lorenzo,comedy,history
MV_Portia,comedy,comedy
MV_Shylock,comedy,comedy
Mac_LadyMacbeth,tragedy,tragedy
Mac_Macbeth,tragedy,tragedy
Mac_Macduff,tragedy,tragedy
Mac_Malcolm,tragedy,history
Oth_Brabantio,tragedy,tragedy
