character,actual,predicted
1H4_Archbishop,history,history
1H4_Bardolph,history,tragedy
1H4_Bedford,history,comedy
1H4_Blunt,history,history
1H4_Chamberlain,history,history
1H4_DRAWERS.Francis,history,comedy
1H4_Douglas,history,history
1H4_Falstaff,history,tragedy
1H4_Gadshill,history,comedy
1H4_Glendower,history,history
1H4_HenryIV,history,history
1H4_HenryV,history,history
1H4_Hotspur,history,history
1H4_LadyPercy,history,comedy
1H4_MESSENGERS.1,history,tragedy
1H4_MESSENGERS.2,history,history
1H4_MESSENGERS.X,history,history
1H4_MistressQuickly,history,tragedy
1H4_Mortimer,history,history
1H4_Northumberland,history,history
1H4_Ostler,history,tragedy
1H4_Peto,history,comedy
1H4_Poins,history,tragedy
1H4_SERVANTS.HOTSPUR.1,history,history
1H4_Sheriff,history,history
1H4_SirMichael,history,history
1H4_TRAVELERS.CARRIERS,history,tragedy
1H4_TRAVELERS.CARRIERS.1,history,tragedy
1H4_TRAVELERS.CARRIERS.2,history,history
1H4_TRAVELERS.CARRIERS.X,history,tragedy
1H4_TRAVELERS.GENTLEMEN,history,tragedy
1H4_TRAVELERS.GENTLEMEN.0.1,history,tragedy
1H4_Vernon,history,history
1H4_Vintner,history,history
1H4_Westmoreland,history,history
1H4_Worcester,history,history
1H6_Alanson,history,history
1H6_Basset,history,history
1H6_Bastard,history,tragedy
1H6_Bedford,history,history
1H6_Boy,history,tragedy
1H6_Burgundy,history,history
1H6_CardinalBeaufort,history,history
1H6_Charles,history,history
1H6_Countess,history,history
1H6_Exeter,history,history
1H6_Fastolf,history,comedy
1H6_Gargrave,history,tragedy
1H6_General,history,history
1H6_Glansdale,history,tragedy
1H6_Gloucester,history,history
1H6_HenryVI,history,history
1H6_JAILERS.0.1,history,history
1H6_JohnTalbot,history,comedy
1H6_Lawyer,history,history
1H6_Legate,history,history
1H6_Lucy,history,history
1H6_MESSENGERS.ENGLISH.1,history,history
1H6_MESSENGERS.ENGLISH.2,history,history
1H6_MESSENGERS.ENGLISH.3,history,history
1H6_MESSENGERS.ENGLISH.X.1,history,history
1H6_MESSENGERS.ENGLISH.X.2,history,history
1H6_MESSENGERS.FRENCH.1,history,history
1H6_MasterGunner,history,history
1H6_Mayor,history,history
1H6_Mortimer,history,history
1H6_OFFICERS.0.1,history,history
1H6_Porter,history,tragedy
1H6_Pucelle,history,history
1H6_QueenMargaret,history,comedy
1H6_Reignier,history,history
1H6_SERVANTS.1,history,tragedy
1H6_SERVANTS.2,history,tragedy
1H6_SERVANTS.3,history,history
1H6_SERVANTS.GLOUCESTER,history,history
1H6_SERVANTS.GLOUCESTER.0.1,history,tragedy
1H6_SERVANTS.GLOUCESTER.0.2,history,history
1H6_SERVANTS.TALBOT.1,history,tragedy
1H6_SERVANTS.WINCHESTER.0.1,history,tragedy
1H6_SOLDIERS.ENGLISH.0.1,history,history
