                               Overall Accuracy:                                

                                          Option Combination  Overall    Average  
                               Emphasis-Min-2500-Percentages   71.95%     72.27%  
                                    Emphasis-Min-2500-Counts   70.73%     71.23%  
                                    Emphasis-Min-1000-Counts   69.85%     70.20%  
                                        Min-2500-Percentages   69.51%     70.18%  
                                            No-Others-Counts   69.32%     68.73%  
                                             Min-1000-Counts   69.08%     69.20%  
                                             Min-2500-Counts   68.29%     68.95%  
                        Emphasis-Vowels-Only-Min-2500-Counts   68.29%     69.36%  
                   Emphasis-Vowels-Only-Min-2500-Percentages   68.29%     69.36%  
                                       No-Others-Percentages   68.18%     69.62%  
                                   Emphasis-No-Others-Counts   68.18%     67.62%  
                               Emphasis-Min-1000-Percentages   67.94%     68.26%  
                                     Emphasis-Min-500-Counts   67.18%     66.64%  
                                        Min-1000-Percentages   66.79%     67.06%  
                                Emphasis-Min-500-Percentages   66.67%     66.29%  
                                              Min-500-Counts   66.41%     65.92%  
                       Emphasis-Vowels-Only-No-Others-Counts   65.91%     66.55%  
                            Vowels-Only-Min-2500-Percentages   65.85%     66.46%  
                                         Min-500-Percentages   64.89%     64.74%  
                        Emphasis-Vowels-Only-Min-1000-Counts   64.89%     65.29%  
                                     Emphasis-Min-250-Counts   64.86%     64.49%  
                  Emphasis-Vowels-Only-No-Others-Percentages   64.77%     66.58%  
                                 Vowels-Only-Min-2500-Counts   64.63%     65.22%  
                         Emphasis-Vowels-Only-Min-500-Counts   64.12%     62.89%  
                              Emphasis-No-Others-Percentages   63.64%     65.47%  
                                Vowels-Only-No-Others-Counts   63.64%     61.48%  
                                              Min-250-Counts   62.70%     62.08%  
                                         Min-250-Percentages   62.70%     62.35%  
                    Emphasis-Vowels-Only-Min-500-Percentages   62.60%     61.71%  
                            Vowels-Only-Min-1000-Percentages   62.60%     61.70%  
                                Emphasis-Min-250-Percentages   62.34%     61.90%  
                                 Vowels-Only-Min-1000-Counts   62.21%     61.29%  
                   Emphasis-Vowels-Only-Min-1000-Percentages   62.21%     62.64%  
                                  Vowels-Only-Min-500-Counts   61.58%     59.54%  
                           Vowels-Only-No-Others-Percentages   61.36%     62.40%  
                             Vowels-Only-Min-500-Percentages   60.31%     59.04%  
                                     Emphasis-Min-100-Counts   59.73%     59.82%  
                                Emphasis-Min-100-Percentages   59.37%     59.47%  
                                         Min-100-Percentages   58.89%     59.01%  
                         Emphasis-Vowels-Only-Min-250-Counts   58.74%     57.60%  
                                              Min-100-Counts   58.65%     58.75%  
                    Emphasis-Vowels-Only-Min-250-Percentages   58.20%     57.18%  
                             Vowels-Only-Min-250-Percentages   56.76%     55.90%  
                                  Vowels-Only-Min-250-Counts   55.14%     53.73%  
                         Emphasis-Vowels-Only-Min-100-Counts   54.90%     54.87%  
                                                  All-Counts   54.45%     54.13%  
                                         Emphasis-All-Counts   54.18%     53.99%  
                                             All-Percentages   52.95%     52.97%  
                                    Emphasis-All-Percentages   52.82%     52.59%  
                    Emphasis-Vowels-Only-Min-100-Percentages   52.00%     52.05%  
                             Vowels-Only-Min-100-Percentages   51.87%     51.90%  
                                  Vowels-Only-Min-100-Counts   51.87%     51.85%  
                             Emphasis-Vowels-Only-All-Counts   50.85%     50.54%  
                                      Vowels-Only-All-Counts   48.34%     47.93%  
                                 Vowels-Only-All-Percentages   45.96%     45.96%  
                        Emphasis-Vowels-Only-All-Percentages   44.06%     43.46%  

                               Average Accuracy:                                

                                          Option Combination  Overall    Average  
                               Emphasis-Min-2500-Percentages   71.95%     72.27%  
                                    Emphasis-Min-2500-Counts   70.73%     71.23%  
                                    Emphasis-Min-1000-Counts   69.85%     70.20%  
                                        Min-2500-Percentages   69.51%     70.18%  
                                       No-Others-Percentages   68.18%     69.62%  
