character,actual,predicted
1H4_Falstaff,fool,protag
1H4_Glendower,other,antag
1H4_HenryIV,other,antag
1H4_HenryV,protag,protag
1H4_Hotspur,antag,other
1H4_Poins,other,protag
1H4_Worcester,other,antag
1H6_Bedford,other,other
1H6_CardinalBeaufort,other,antag
1H6_Charles,antag,protag
1H6_Gloucester,other,protag
1H6_HenryVI,protag,antag
1H6_Lucy,other,other
1H6_Mortimer,other,protag
1H6_Pucelle,other,other
1H6_Somerset,other,antag
1H6_Suffolk,other,other
1H6_Talbot,other,other
1H6_Warwick,other,antag
1H6_York,other,other
2H4_Archbishop,other,protag
2H4_Bedford,other,antag
2H4_ChiefJustice,antag,other
2H4_DollTearsheet,other,fool
2H4_Falstaff,fool,antag
2H4_HenryIV,other,protag
2H4_HenryV,protag,antag
2H4_LordBardolph,other,antag
2H4_MistressQuickly,other,fool
2H4_Morton,other,other
2H4_Northumberland,other,protag
2H4_Pistol,other,other
2H4_Shallow,other,fool
2H4_Warwick,other,other
2H4_Westmoreland,other,antag
2H6_Buckingham,other,other
2H6_Cade,other,protag
2H6_CardinalBeaufort,other,other
2H6_DuchessOfGloucester,other,protag
2H6_Gloucester,other,other
2H6_HenryVI,other,other
2H6_QueenMargaret,other,other
2H6_Salisbury,other,other
2H6_Suffolk,other,other
2H6_Warwick,other,other
2H6_York,other,other
3H6_Clarence,other,antag
3H6_Clifford,other,other
3H6_EdwardIV,other,protag
3H6_HenryVI,other,protag
3H6_KingLewis,other,protag
3H6_QueenElizabeth,other,protag
3H6_QueenMargaret,other,other
3H6_RichardIII,other,other
3H6_Warwick,other,other
3H6_York,other,protag
AWW_Bertram,antag,other
AWW_Countess,other,other
AWW_Diana,other,other
AWW_Fool,fool,fool
AWW_Helen,protag,other
AWW_King,other,protag
AWW_LORDS.DUMAINE.1,other,antag
AWW_LORDS.DUMAINE.2,other,antag
AWW_Lafew,other,fool
AWW_Parolles,other,antag
AWW_SOLDIERS.Interpreter,other,antag
AYL_Adam,other,other
AYL_Celia,other,antag
AYL_Corin,other,antag
AYL_DukeFrederick,antag,protag
AYL_DukeSenior,other,antag
AYL_Jaques,other,other
AYL_Oliver,other,antag
AYL_Orlando,other,protag
AYL_Phoebe,other,protag
AYL_Rosalind,protag,antag
AYL_Silvius,other,protag
AYL_Touchstone,other,protag
Ado_Beatrice,protag,other
Ado_Benedick,other,other
Ado_Borachio,other,other
Ado_Claudio,other,other
Ado_Dogberry,fool,fool
Ado_DonJohn,antag,protag
Ado_DonPedro,other,other
Ado_FriarFrancis,other,antag
Ado_Hero,other,protag
Ado_Leonato,other,other
Ado_Margaret,other,other
Ant_Antony,protag,protag
Ant_Charmian,other,other
Ant_Cleopatra,other,other
Ant_Enobarbus,other,antag
Ant_Octavius,antag,other
Ant_Pompey,other,antag
Cor_Aufidius,other,protag
Cor_Cominius,other,other
Cor_Coriolanus,protag,protag
Cor_Menenius,other,antag
Cor_TRIBUNES.Brutus,antag,other
Cor_TRIBUNES.Sicinius,other,antag
Cor_Volumnia,other,protag
Cym_ATTENDANTS.1,other,other
Cym_Arviragus,other,protag
Cym_Belarius,other,other
Cym_Cloten,fool,antag
Cym_Cornelius,other,antag
Cym_Cymbeline,other,protag
Cym_Guiderius,other,fool
Cym_Iachimo,antag,other
Cym_Imogen,protag,fool
Cym_Lucius,other,other
Cym_Pisanio,other,other
Cym_Posthumus,other,other
Cym_Queen,other,antag
Err_Abbess,other,other
Err_Adriana,other,other
Err_Angelo,other,antag
Err_AntipholusOfEphesus,antag,protag
Err_AntipholusOfSyracuse,protag,protag
Err_DromioOfEphesus,fool,fool
Err_DromioOfSyracuse,fool,fool
Err_Duke,other,protag
Err_Egeon,other,protag
Err_Luciana,other,other
H5_BishopOfCanterbury,other,antag
H5_Boy,other,other
H5_Burgundy,other,other
H5_Chorus,other,other
H5_Constable,other,antag
H5_Dauphin,antag,other
H5_Exeter,other,other
H5_Fluellen,other,antag
H5_Gower,other,antag
H5_HenryV,protag,antag
H5_KingOfFrance,other,antag
H5_Pistol,other,protag
H5_SOLDIERS.ENGLISH.Williams,other,fool
H8_Buckingham,other,other
H8_Chamberlain,other,other
H8_Cranmer,other,antag
H8_GENTLEMEN.1,other,other
H8_GENTLEMEN.2,other,other
H8_Gardiner,other,antag
H8_HenryVIII,protag,antag
H8_Katherine,other,antag
H8_Norfolk,other,antag
H8_Suffolk,other,other
H8_Surrey,other,antag
H8_Wolsey,antag,other
Ham_Claudius,antag,other
Ham_Gertrude,other,other
Ham_Ghost,other,antag
Ham_Gravedigger,fool,other
Ham_Hamlet,protag,antag
Ham_Horatio,other,other
Ham_Laertes,other,other
Ham_Ophelia,other,other
Ham_Polonius,other,antag
Ham_Rosencrantz,other,antag
JC_Antony,antag,antag
JC_Brutus,protag,protag
JC_Caesar,other,protag
JC_Casca,other,other
JC_Cassius,other,antag
JC_Portia,other,antag
Jn_Arthur,other,fool
Jn_Bastard,other,other
Jn_CITIZENS.0.1,other,protag
Jn_Constance,other,protag
Jn_Dauphin,other,protag
Jn_Hubert,other,protag
Jn_KingJohn,protag,protag
Jn_KingPhilip,antag,other
Jn_Pandulph,other,antag
Jn_Pembroke,other,other
Jn_Salisbury,other,antag
LLL_Armado,other,protag
LLL_Berowne,other,protag
LLL_Boy,other,antag
LLL_Boyet,other,antag
LLL_Costard,fool,fool
LLL_Dumaine,other,other
LLL_Holofernes,other,antag
LLL_King,protag,antag
LLL_Longaville,other,protag
LLL_Nathaniel,other,protag
LLL_Princess,antag,other
LLL_Rosaline,other,fool
Lr_Albany,other,antag
Lr_Cordelia,other,other
Lr_Cornwall,other,antag
Lr_Edgar,other,other
Lr_Edmund,other,antag
Lr_Fool,fool,fool
Lr_Gloucester,other,other
Lr_Goneril,antag,other
Lr_Kent,other,antag
Lr_Lear,protag,protag
Lr_Regan,other,antag
MM_Angelo,antag,protag
MM_Claudio,other,antag
MM_Duke,protag,antag
MM_Elbow,other,fool
MM_Escalus,other,antag
MM_Isabella,other,antag
MM_Lucio,other,other
MM_Pompey,fool,fool
MM_Provost,other,other
MND_Bottom,fool,fool
MND_Demetrius,other,protag
MND_Helena,other,protag
MND_Hermia,other,protag
MND_Lysander,other,protag
MND_Oberon,other,protag
MND_Quince,other,antag
MND_RobinGoodfellow,other,protag
MND_Theseus,other,antag
MND_Titania,other,protag
MV_Antonio,other,other
MV_Bassanio,other,protag
MV_Duke,other,antag
MV_Gratiano,other,other
MV_Jessica,other,protag
MV_LanceletGobbo,fool,fool
MV_Lorenzo,other,antag
MV_Morocco,other,other
MV_Nerissa,other,other
MV_Portia,protag,other
MV_Salarino,other,antag
MV_Shylock,antag,other
MV_Solanio,other,antag
Mac_Banquo,other,protag
Mac_LadyMacbeth,other,protag
Mac_Lennox,other,other
Mac_Macbeth,protag,protag
Mac_Macduff,other,other
Mac_Malcolm,other,other
Mac_Ross,other,other
Oth_Brabantio,other,antag
Oth_Cassio,other,antag
Oth_Desdemona,other,other
Oth_Emilia,other,other
Oth_Iago,antag,other
Oth_Lodovico,other,antag
Oth_Othello,protag,protag
Oth_Roderigo,other,antag
Per_Bawd,other,antag
Per_Bolt,other,fool
Per_Cerimon,other,antag
Per_Cleon,other,antag
Per_Dionyza,other,other
Per_Gower,other,other
Per_Helicanus,other,other
Per_Lysimachus,other,other
Per_Marina,other,fool
Per_Pericles,protag,protag
Per_Simonides,other,other
Per_Thaisa,other,protag
R2_Aumerle,other,protag
R2_DuchessOfYork,other,protag
R2_Gaunt,other,protag
R2_HenryIV,antag,other
R2_Mowbray,other,protag
R2_Northumberland,other,other
R2_Queen,other,other
R2_RichardII,protag,protag
R2_York,other,other
R3_Buckingham,other,other
R3_Clarence,other,other
R3_DuchessOfYork,other,protag
R3_EdwardIV,other,other
R3_Hastings,other,protag
R3_HenryVII,other,other
R3_LadyAnne,other,protag
R3_QueenElizabeth,other,other
R3_QueenMargaret,other,protag
R3_RichardIII,protag,other
R3_Stanley,other,other
Rom_Benvolio,other,other
Rom_Capulet,other,other
Rom_FriarLawrence,other,protag
Rom_Juliet,other,protag
Rom_LadyCapulet,other,protag
Rom_Mercutio,other,other
Rom_Nurse,other,other
Rom_Paris,other,protag
Rom_PrinceEscalus,other,antag
Rom_Romeo,protag,protag
Shr_Baptista,other,protag
Shr_Bianca,other,protag
Shr_Biondello,other,fool
Shr_Gremio,other,fool
Shr_Grumio,fool,fool
Shr_Hortensio,other,antag
Shr_Katherine,other,protag
Shr_Lord,other,other
Shr_Lucentio,other,protag
Shr_Petruchio,protag,other
Shr_Sly,other,fool
Shr_Tranio,other,antag
TGV_Duke,other,protag
TGV_Julia,other,antag
TGV_Lance,fool,fool
TGV_Lucetta,other,fool
TGV_Proteus,antag,protag
TGV_Speed,fool,fool
TGV_Sylvia,other,fool
TGV_Valentine,protag,protag
TNK_Arcite,other,protag
TNK_Daughter,other,other
TNK_Doctor,other,antag
TNK_Emilia,other,protag
TNK_Hippolyta,other,antag
TNK_Jailer,other,other
TNK_Palamon,other,protag
TNK_Pirithous,other,fool
TNK_QUEENS.1,other,other
TNK_Schoolmaster,other,other
TNK_Theseus,protag,antag
TNK_Wooer,other,protag
TN_AndrewAguecheek,other,fool
TN_Antonio,other,antag
TN_Fabian,other,other
TN_Feste,fool,fool
TN_Malvolio,antag,protag
TN_Maria,other,fool
TN_Olivia,other,protag
TN_Orsino,other,protag
TN_Sebastian,other,protag
TN_TobyBelch,other,other
TN_Viola,protag,fool
Tim_Alcibiades,other,protag
Tim_Apemantus,other,protag
Tim_Flavius,other,other
Tim_Poet,other,antag
Tim_Timon,protag,protag
Tit_Aaron,antag,protag
Tit_Demetrius,other,other
Tit_Lucius,other,other
Tit_Marcus,other,other
Tit_Saturninus,other,other
Tit_Tamora,other,other
Tit_Titus,protag,protag
Tmp_Alonso,other,protag
Tmp_Antonio,antag,protag
Tmp_Ariel,other,protag
Tmp_Caliban,other,protag
Tmp_Ferdinand,other,protag
Tmp_Gonzalo,other,antag
Tmp_Miranda,other,fool
Tmp_Prospero,protag,protag
Tmp_Sebastian,other,antag
Tmp_Stephano,other,fool
Tmp_Trinculo,other,antag
Tro_Achilles,other,protag
Tro_Aeneas,other,other
Tro_Agamemnon,other,other
Tro_Ajax,other,fool
Tro_Cressida,other,protag
Tro_Diomedes,other,other
Tro_Hector,other,protag
Tro_Nestor,other,other
Tro_Pandarus,other,fool
Tro_Paris,other,antag
Tro_Thersites,fool,other
Tro_Troilus,protag,protag
Tro_Ulysses,other,other
WT_ATTENDANTS.3,other,antag
WT_Antigonus,other,protag
WT_Autolycus,fool,fool
WT_Camillo,other,antag
WT_Florizell,other,protag
WT_Hermione,other,antag
WT_Leontes,protag,antag
WT_Paulina,other,other
WT_Perdita,other,protag
WT_Polixenes,antag,antag
WT_Shepherd,other,other
WT_ShepherdsSon,other,protag
Wiv_DoctorCaius,other,fool
Wiv_Falstaff,antag,protag
Wiv_Fenton,other,protag
Wiv_Host,other,other
Wiv_HughEvans,other,antag
