character,actual,predicted
1H4_Falstaff,fool,protag
1H4_HenryIV,other,other
1H4_HenryV,protag,protag
1H4_Hotspur,antag,other
1H4_Worcester,other,antag
1H6_Charles,antag,protag
1H6_Gloucester,other,protag
1H6_HenryVI,protag,antag
1H6_Pucelle,other,protag
1H6_Suffolk,other,other
1H6_Talbot,other,other
1H6_York,other,other
2H4_Archbishop,other,other
2H4_ChiefJustice,antag,antag
2H4_Falstaff,fool,antag
2H4_HenryIV,other,protag
2H4_HenryV,protag,protag
2H4_MistressQuickly,other,fool
2H4_Shallow,other,antag
2H6_Cade,other,protag
2H6_Gloucester,other,other
2H6_HenryVI,other,other
2H6_QueenMargaret,other,other
2H6_Suffolk,other,other
2H6_Warwick,other,other
2H6_York,other,other
3H6_Clifford,other,other
3H6_EdwardIV,other,protag
3H6_HenryVI,other,protag
3H6_QueenMargaret,other,other
3H6_RichardIII,other,other
3H6_Warwick,other,other
3H6_York,other,protag
AWW_Bertram,antag,antag
AWW_Countess,other,antag
AWW_Diana,other,other
AWW_Fool,fool,fool
AWW_Helen,protag,antag
AWW_King,other,protag
AWW_LORDS.DUMAINE.1,other,antag
AWW_Lafew,other,fool
AWW_Parolles,other,antag
AYL_Celia,other,other
AYL_Jaques,other,other
AYL_Oliver,other,other
AYL_Orlando,other,other
AYL_Rosalind,protag,fool
AYL_Touchstone,other,other
Ado_Beatrice,protag,other
Ado_Benedick,other,fool
Ado_Claudio,other,other
Ado_Dogberry,fool,antag
Ado_DonPedro,other,other
Ado_Leonato,other,other
Ant_Antony,protag,protag
Ant_Cleopatra,other,other
Ant_Enobarbus,other,other
Ant_Octavius,antag,antag
Cor_Aufidius,other,other
Cor_Cominius,other,other
Cor_Coriolanus,protag,protag
Cor_Menenius,other,antag
Cor_TRIBUNES.Brutus,antag,other
Cor_TRIBUNES.Sicinius,other,antag
Cor_Volumnia,other,protag
Cym_Belarius,other,other
Cym_Cloten,fool,fool
Cym_Cymbeline,other,other
Cym_Guiderius,other,other
Cym_Iachimo,antag,antag
Cym_Imogen,protag,fool
Cym_Pisanio,other,antag
Cym_Posthumus,other,other
Cym_Queen,other,antag
Err_Adriana,other,other
Err_AntipholusOfEphesus,antag,protag
Err_AntipholusOfSyracuse,protag,protag
Err_DromioOfEphesus,fool,fool
Err_DromioOfSyracuse,fool,fool
Err_Egeon,other,protag
H5_BishopOfCanterbury,other,antag
H5_Chorus,other,other
H5_Fluellen,other,antag
H5_HenryV,protag,protag
H5_Pistol,other,protag
H8_Buckingham,other,other
H8_Chamberlain,other,other
H8_Cranmer,other,antag
H8_HenryVIII,protag,antag
H8_Katherine,other,antag
H8_Norfolk,other,other
H8_Wolsey,antag,antag
Ham_Claudius,antag,other
Ham_Gertrude,other,other
Ham_Hamlet,protag,antag
Ham_Horatio,other,other
Ham_Laertes,other,other
Ham_Ophelia,other,other
Ham_Polonius,other,antag
JC_Antony,antag,other
JC_Brutus,protag,protag
JC_Caesar,other,other
