                               Overall Accuracy:                                

                                Option Combination  Overall    Average    F1 Score     MCC    
                    Vowels-Only-All-Counts-Twofold   93.75%     33.64%     34.89%     18.40%  
           Emphasis-Vowels-Only-All-Counts-Twofold   93.21%     34.56%     34.96%     18.40%  
                            Vowels-Only-All-Counts   92.33%     45.29%     41.85%     26.90%  
                                All-Counts-Twofold   91.92%     47.02%     44.43%     29.76%  
                   Emphasis-Vowels-Only-All-Counts   91.85%     46.28%     41.88%     26.73%  
                       Emphasis-All-Counts-Twofold   91.51%     45.45%     41.77%     27.34%  
                                        All-Counts   90.29%     51.21%     44.92%     31.44%  
                               Emphasis-All-Counts   88.80%     49.94%     41.79%     27.70%  
                Vowels-Only-Min-100-Counts-Twofold   87.42%     35.07%     34.92%     17.00%  
       Emphasis-Vowels-Only-Min-100-Counts-Twofold   86.70%     35.24%     34.78%     16.70%  
                        Vowels-Only-Min-100-Counts   84.52%     43.98%     39.28%     22.90%  
                            Min-100-Counts-Twofold   84.28%     45.04%     41.93%     25.49%  
                   Emphasis-Min-100-Counts-Twofold   83.56%     44.08%     39.98%     23.79%  
               Emphasis-Vowels-Only-Min-100-Counts   83.07%     45.37%     39.26%     22.54%  
                Vowels-Only-Min-250-Counts-Twofold   81.08%     34.75%     33.95%     15.25%  
                                    Min-100-Counts   80.53%     51.45%     43.33%     28.99%  
       Emphasis-Vowels-Only-Min-250-Counts-Twofold   79.28%     37.15%     35.34%     16.30%  
                           Emphasis-Min-100-Counts   78.36%     47.90%     39.59%     24.26%  
                            Min-250-Counts-Twofold   77.30%     45.23%     41.97%     24.78%  
                        Vowels-Only-Min-250-Counts   76.40%     45.05%     38.38%     21.63%  
                   Emphasis-Min-250-Counts-Twofold   75.86%     45.43%     39.75%     23.06%  
               Emphasis-Vowels-Only-Min-250-Counts   74.77%     45.65%     38.62%     21.00%  
                Vowels-Only-Min-500-Counts-Twofold   72.26%     34.04%     32.87%     12.64%  
       Emphasis-Vowels-Only-Min-500-Counts-Twofold   71.76%     38.82%     36.42%     16.83%  
                                    Min-250-Counts   69.55%     51.49%     41.85%     27.08%  
                            Min-500-Counts-Twofold   69.47%     44.41%     41.55%     23.48%  
                   Emphasis-Min-500-Counts-Twofold   68.96%     45.42%     41.10%     23.65%  
                           Emphasis-Min-250-Counts   68.11%     50.10%     39.88%     24.63%  
                        Vowels-Only-Min-500-Counts   65.65%     42.54%     36.33%     18.32%  
               Emphasis-Vowels-Only-Min-500-Counts   65.14%     44.22%     37.97%     19.37%  
                                    Min-500-Counts   60.56%     50.24%     41.66%     26.10%  
                           Emphasis-Min-500-Counts   60.56%     49.30%     40.65%     24.81%  
              Emphasis-Min-100-Percentages-Twofold   60.34%     44.98%     30.24%     14.48%  
                       Min-100-Percentages-Twofold   60.22%     43.36%     29.63%     13.79%  
                       Min-250-Percentages-Twofold   60.00%     42.53%     32.58%     15.22%  
               Vowels-Only-Min-1000-Counts-Twofold   59.54%     32.55%     30.74%     8.63%   
              Emphasis-Min-250-Percentages-Twofold   58.02%     41.13%     31.91%     13.99%  
                           Min-1000-Counts-Twofold   58.02%     41.54%     40.14%     20.07%  
              Emphasis-Min-500-Percentages-Twofold   57.25%     44.63%     36.49%     18.41%  
                  Emphasis-Min-1000-Counts-Twofold   57.25%     44.26%     41.55%     22.52%  
      Emphasis-Vowels-Only-Min-1000-Counts-Twofold   57.25%     34.84%     32.45%     10.16%  
           Vowels-Only-Min-100-Percentages-Twofold   56.95%     43.36%     27.32%     12.46%  
  Emphasis-Vowels-Only-Min-100-Percentages-Twofold   56.23%     42.63%     27.76%     11.81%  
                       Min-500-Percentages-Twofold   55.98%     39.92%     32.56%     14.13%  
                      Min-1000-Percentages-Twofold   55.34%     43.76%     39.00%     20.91%  
                    Emphasis-No-Others-Percentages   55.17%     55.64%     55.87%     32.86%  
                         Emphasis-No-Others-Counts   55.17%     55.53%     56.21%     33.04%  
            Emphasis-No-Others-Percentages-Twofold   55.17%     55.64%     55.87%     32.86%  
                 Emphasis-No-Others-Counts-Twofold   55.17%     55.53%     56.21%     33.04%  
  Emphasis-Vowels-Only-Min-250-Percentages-Twofold   54.23%     42.68%     30.76%     13.12%  
                                  No-Others-Counts   54.02%     53.48%     54.06%     30.49%  
                          No-Others-Counts-Twofold   54.02%     53.48%     54.06%     30.49%  
        Emphasis-Vowels-Only-No-Others-Percentages   54.02%     54.58%     56.34%     32.57%  
Emphasis-Vowels-Only-No-Others-Percentages-Twofold   54.02%     54.58%     56.34%     32.57%  
  Emphasis-Vowels-Only-Min-500-Percentages-Twofold   53.44%     40.68%     32.15%     11.92%  
             Emphasis-Min-1000-Percentages-Twofold   53.44%     44.36%     39.37%     20.31%  
