                               Overall Accuracy:                                

                                          Option Combination  Overall    Average  
                              Vowels-Only-All-Counts-Twofold   93.69%     33.59%  
                     Emphasis-Vowels-Only-All-Counts-Twofold   93.08%     34.45%  
                                      Vowels-Only-All-Counts   92.06%     44.83%  
                                          All-Counts-Twofold   91.85%     46.61%  
                             Emphasis-Vowels-Only-All-Counts   91.85%     45.76%  
                                 Emphasis-All-Counts-Twofold   91.51%     46.04%  
                                                  All-Counts   90.09%     50.76%  
                                         Emphasis-All-Counts   88.80%     50.44%  
                          Vowels-Only-Min-100-Counts-Twofold   87.42%     35.07%  
                 Emphasis-Vowels-Only-Min-100-Counts-Twofold   86.70%     35.24%  
                                  Vowels-Only-Min-100-Counts   84.52%     43.98%  
                                      Min-100-Counts-Twofold   84.28%     45.04%  
                             Emphasis-Min-100-Counts-Twofold   83.56%     44.08%  
                         Emphasis-Vowels-Only-Min-100-Counts   83.07%     45.37%  
                          Vowels-Only-Min-250-Counts-Twofold   81.08%     34.75%  
                                              Min-100-Counts   80.53%     51.45%  
                 Emphasis-Vowels-Only-Min-250-Counts-Twofold   79.28%     37.15%  
                                     Emphasis-Min-100-Counts   78.36%     47.90%  
                                      Min-250-Counts-Twofold   77.30%     45.23%  
                                  Vowels-Only-Min-250-Counts   76.40%     45.05%  
                             Emphasis-Min-250-Counts-Twofold   75.86%     45.43%  
                         Emphasis-Vowels-Only-Min-250-Counts   74.77%     45.65%  
                          Vowels-Only-Min-500-Counts-Twofold   72.26%     34.04%  
                 Emphasis-Vowels-Only-Min-500-Counts-Twofold   71.76%     38.82%  
                                              Min-250-Counts   69.55%     51.49%  
                                      Min-500-Counts-Twofold   69.47%     44.41%  
                             Emphasis-Min-500-Counts-Twofold   68.96%     45.42%  
                                     Emphasis-Min-250-Counts   68.11%     50.10%  
                                  Vowels-Only-Min-500-Counts   65.65%     42.54%  
                         Emphasis-Vowels-Only-Min-500-Counts   65.14%     44.22%  
                                              Min-500-Counts   60.56%     50.24%  
                                     Emphasis-Min-500-Counts   60.56%     49.30%  
                        Emphasis-Min-100-Percentages-Twofold   60.34%     44.98%  
                                 Min-100-Percentages-Twofold   60.22%     43.36%  
                                 Min-250-Percentages-Twofold   60.00%     42.53%  
                         Vowels-Only-Min-1000-Counts-Twofold   59.54%     32.55%  
                        Emphasis-Min-250-Percentages-Twofold   58.02%     41.13%  
                                     Min-1000-Counts-Twofold   58.02%     41.54%  
                        Emphasis-Min-500-Percentages-Twofold   57.25%     44.63%  
                            Emphasis-Min-1000-Counts-Twofold   57.25%     44.26%  
                Emphasis-Vowels-Only-Min-1000-Counts-Twofold   57.25%     34.84%  
                     Vowels-Only-Min-100-Percentages-Twofold   56.95%     43.36%  
            Emphasis-Vowels-Only-Min-100-Percentages-Twofold   56.23%     42.63%  
                                 Min-500-Percentages-Twofold   55.98%     39.92%  
                              Emphasis-No-Others-Percentages   55.68%     56.06%  
                      Emphasis-No-Others-Percentages-Twofold   55.68%     56.06%  
                                   Emphasis-No-Others-Counts   55.68%     56.02%  
                           Emphasis-No-Others-Counts-Twofold   55.68%     56.02%  
                                Min-1000-Percentages-Twofold   55.34%     43.76%  
                  Emphasis-Vowels-Only-No-Others-Percentages   54.55%     55.06%  
          Emphasis-Vowels-Only-No-Others-Percentages-Twofold   54.55%     55.06%  
            Emphasis-Vowels-Only-Min-250-Percentages-Twofold   54.23%     42.68%  
            Emphasis-Vowels-Only-Min-500-Percentages-Twofold   53.44%     40.68%  
                       Emphasis-Min-1000-Percentages-Twofold   53.44%     44.36%  
                                            No-Others-Counts   53.41%     52.76%  
                                    No-Others-Counts-Twofold   53.41%     52.76%  
                     Vowels-Only-Min-250-Percentages-Twofold   52.79%     35.58%  
                        Emphasis-Vowels-Only-Min-1000-Counts   52.67%     42.67%  
                                             Min-1000-Counts   52.29%     50.92%  
