character,actual,predicted
1H4_Falstaff,fool,protag
1H4_HenryIV,other,antag
1H4_HenryV,protag,protag
1H4_Hotspur,antag,other
1H4_Worcester,other,antag
1H6_Charles,antag,protag
1H6_Gloucester,other,protag
1H6_HenryVI,protag,antag
1H6_Pucelle,other,protag
1H6_Suffolk,other,other
1H6_Talbot,other,other
1H6_York,other,antag
2H4_Archbishop,other,other
2H4_ChiefJustice,antag,antag
2H4_Falstaff,fool,other
2H4_HenryIV,other,protag
2H4_HenryV,protag,other
2H4_MistressQuickly,other,fool
2H4_Shallow,other,fool
2H6_Cade,other,protag
2H6_Gloucester,other,other
2H6_HenryVI,other,other
2H6_QueenMargaret,other,other
2H6_Suffolk,other,other
2H6_Warwick,other,other
2H6_York,other,other
3H6_Clifford,other,other
3H6_EdwardIV,other,protag
3H6_HenryVI,other,protag
3H6_QueenMargaret,other,other
3H6_RichardIII,other,other
3H6_Warwick,other,other
3H6_York,other,protag
AWW_Bertram,antag,antag
AWW_Countess,other,antag
AWW_Diana,other,other
AWW_Fool,fool,fool
AWW_Helen,protag,other
AWW_King,other,protag
AWW_LORDS.DUMAINE.1,other,antag
AWW_Lafew,other,fool
AWW_Parolles,other,antag
AYL_Celia,other,protag
AYL_Jaques,other,other
AYL_Oliver,other,other
AYL_Orlando,other,protag
AYL_Rosalind,protag,antag
AYL_Touchstone,other,other
Ado_Beatrice,protag,other
Ado_Benedick,other,other
Ado_Claudio,other,other
Ado_Dogberry,fool,fool
Ado_DonPedro,other,other
Ado_Leonato,other,other
Ant_Antony,protag,protag
Ant_Cleopatra,other,other
Ant_Enobarbus,other,antag
Ant_Octavius,antag,antag
Cor_Aufidius,other,other
Cor_Cominius,other,other
Cor_Coriolanus,protag,protag
Cor_Menenius,other,antag
Cor_TRIBUNES.Brutus,antag,other
Cor_TRIBUNES.Sicinius,other,antag
Cor_Volumnia,other,protag
Cym_Belarius,other,other
Cym_Cloten,fool,protag
Cym_Cymbeline,other,protag
Cym_Guiderius,other,fool
Cym_Iachimo,antag,antag
Cym_Imogen,protag,fool
Cym_Pisanio,other,other
Cym_Posthumus,other,other
Cym_Queen,other,antag
Err_Adriana,other,other
Err_AntipholusOfEphesus,antag,protag
Err_AntipholusOfSyracuse,protag,protag
Err_DromioOfEphesus,fool,fool
Err_DromioOfSyracuse,fool,fool
Err_Egeon,other,protag
H5_BishopOfCanterbury,other,antag
H5_Chorus,other,other
H5_Fluellen,other,antag
H5_HenryV,protag,protag
H5_Pistol,other,other
H8_Buckingham,other,other
H8_Chamberlain,other,other
H8_Cranmer,other,antag
H8_HenryVIII,protag,antag
H8_Katherine,other,antag
H8_Norfolk,other,antag
H8_Wolsey,antag,other
Ham_Claudius,antag,other
Ham_Gertrude,other,other
Ham_Hamlet,protag,antag
Ham_Horatio,other,other
Ham_Laertes,other,other
Ham_Ophelia,other,other
Ham_Polonius,other,antag
JC_Antony,antag,other
JC_Brutus,protag,protag
JC_Caesar,other,protag
JC_Casca,other,other
JC_Cassius,other,protag
Jn_Bastard,other,other
Jn_Constance,other,other
Jn_Dauphin,other,protag
Jn_Hubert,other,protag
Jn_KingJohn,protag,other
Jn_KingPhilip,antag,other
Jn_Pandulph,other,antag
Jn_Salisbury,other,antag
LLL_Armado,other,antag
LLL_Berowne,other,protag
LLL_Boy,other,antag
LLL_Boyet,other,other
LLL_Costard,fool,fool
LLL_Holofernes,other,antag
LLL_King,protag,antag
LLL_Princess,antag,protag
LLL_Rosaline,other,fool
Lr_Albany,other,antag
Lr_Edgar,other,other
Lr_Edmund,other,protag
Lr_Fool,fool,protag
Lr_Gloucester,other,other
Lr_Goneril,antag,antag
Lr_Kent,other,antag
Lr_Lear,protag,protag
Lr_Regan,other,antag
MM_Angelo,antag,protag
MM_Duke,protag,antag
MM_Escalus,other,antag
MM_Isabella,other,other
MM_Lucio,other,other
MM_Pompey,fool,fool
MM_Provost,other,other
MND_Bottom,fool,fool
MND_Demetrius,other,protag
MND_Helena,other,antag
MND_Hermia,other,protag
MND_Lysander,other,other
MND_Oberon,other,protag
MND_RobinGoodfellow,other,other
MND_Theseus,other,antag
MND_Titania,other,protag
MV_Antonio,other,other
MV_Bassanio,other,protag
MV_Gratiano,other,other
MV_LanceletGobbo,fool,fool
MV_Lorenzo,other,antag
MV_Portia,protag,protag
MV_Shylock,antag,protag
Mac_LadyMacbeth,other,protag
Mac_Macbeth,protag,other
Mac_Macduff,other,other
Mac_Malcolm,other,other
Oth_Brabantio,other,antag
Oth_Cassio,other,antag
Oth_Desdemona,other,other
Oth_Emilia,other,other
Oth_Iago,antag,antag
Oth_Othello,protag,protag
Per_Gower,other,other
Per_Marina,other,fool
Per_Pericles,protag,protag
Per_Simonides,other,antag
R2_Gaunt,other,protag
R2_HenryIV,antag,other
R2_Mowbray,other,other
R2_Northumberland,other,other
R2_RichardII,protag,protag
R2_York,other,other
R3_Buckingham,other,antag
R3_Clarence,other,other
R3_DuchessOfYork,other,other
R3_Hastings,other,other
R3_HenryVII,other,other
R3_LadyAnne,other,other
R3_QueenElizabeth,other,other
R3_QueenMargaret,other,protag
R3_RichardIII,protag,other
Rom_Benvolio,other,other
Rom_Capulet,other,other
Rom_FriarLawrence,other,protag
Rom_Juliet,other,protag
Rom_Mercutio,other,other
Rom_Nurse,other,other
Rom_Romeo,protag,protag
Shr_Baptista,other,protag
Shr_Gremio,other,fool
Shr_Grumio,fool,fool
Shr_Hortensio,other,antag
Shr_Katherine,other,protag
Shr_Lord,other,other
Shr_Lucentio,other,protag
Shr_Petruchio,protag,other
Shr_Tranio,other,antag
TGV_Duke,other,protag
TGV_Julia,other,antag
TGV_Lance,fool,fool
TGV_Proteus,antag,protag
TGV_Speed,fool,fool
TGV_Sylvia,other,fool
TGV_Valentine,protag,protag
TNK_Arcite,other,protag
TNK_Daughter,other,other
TNK_Emilia,other,protag
TNK_Palamon,other,protag
TNK_Theseus,protag,antag
TN_AndrewAguecheek,other,fool
TN_Feste,fool,fool
TN_Malvolio,antag,fool
TN_Maria,other,fool
TN_Olivia,other,protag
TN_Orsino,other,protag
TN_Sebastian,other,protag
TN_TobyBelch,other,other
TN_Viola,protag,fool
Tim_Alcibiades,other,other
Tim_Apemantus,other,protag
Tim_Flavius,other,other
Tim_Timon,protag,protag
Tit_Aaron,antag,protag
Tit_Lucius,other,other
Tit_Marcus,other,other
Tit_Saturninus,other,other
Tit_Tamora,other,other
Tit_Titus,protag,other
Tmp_Ariel,other,protag
Tmp_Caliban,other,other
Tmp_Gonzalo,other,antag
Tmp_Miranda,other,fool
Tmp_Prospero,protag,protag
Tmp_Stephano,other,protag
Tro_Achilles,other,protag
Tro_Aeneas,other,other
Tro_Agamemnon,other,antag
Tro_Cressida,other,protag
Tro_Hector,other,protag
Tro_Nestor,other,other
Tro_Pandarus,other,fool
Tro_Thersites,fool,other
Tro_Troilus,protag,protag
Tro_Ulysses,other,antag
WT_Autolycus,fool,fool
WT_Camillo,other,antag
WT_Florizell,other,protag
WT_Hermione,other,antag
WT_Leontes,protag,other
WT_Paulina,other,antag
WT_Polixenes,antag,protag
WT_Shepherd,other,other
WT_ShepherdsSon,other,protag
Wiv_Falstaff,antag,protag
Wiv_HughEvans,other,antag
Wiv_MasterFord,other,fool
Wiv_MasterPage,other,fool
Wiv_MistressFord,other,other
Wiv_MistressPage,protag,other
Wiv_MistressQuickly,other,fool
Wiv_Slender,other,fool
