character,actual,predicted
1H4_Falstaff,fool,protag
1H4_HenryV,protag,protag
1H4_Hotspur,antag,antag
1H6_Charles,antag,antag
1H6_HenryVI,protag,antag
2H4_ChiefJustice,antag,antag
2H4_Falstaff,fool,antag
2H4_HenryV,protag,antag
AWW_Bertram,antag,protag
AWW_Fool,fool,fool
AWW_Helen,protag,protag
AYL_DukeFrederick,antag,protag
AYL_Rosalind,protag,antag
Ado_Beatrice,protag,antag
Ado_Dogberry,fool,fool
Ado_DonJohn,antag,protag
Ant_Antony,protag,protag
Ant_Octavius,antag,protag
Cor_Coriolanus,protag,protag
Cor_TRIBUNES.Brutus,antag,antag
Cym_Cloten,fool,antag
Cym_Iachimo,antag,antag
Cym_Imogen,protag,fool
Err_AntipholusOfEphesus,antag,protag
Err_AntipholusOfSyracuse,protag,protag
Err_DromioOfEphesus,fool,fool
Err_DromioOfSyracuse,fool,fool
H5_Dauphin,antag,antag
H5_HenryV,protag,antag
H8_HenryVIII,protag,antag
H8_Wolsey,antag,protag
Ham_Claudius,antag,antag
Ham_Gravedigger,fool,antag
Ham_Hamlet,protag,antag
JC_Antony,antag,antag
JC_Brutus,protag,protag
Jn_KingJohn,protag,antag
Jn_KingPhilip,antag,antag
LLL_Costard,fool,fool
LLL_King,protag,antag
LLL_Princess,antag,protag
Lr_Fool,fool,protag
Lr_Goneril,antag,antag
Lr_Lear,protag,protag
MM_Angelo,antag,protag
MM_Duke,protag,antag
MM_Pompey,fool,fool
MND_Bottom,fool,fool
MV_LanceletGobbo,fool,fool
MV_Portia,protag,antag
MV_Shylock,antag,protag
Mac_Macbeth,protag,protag
Mac_Porter,fool,antag
Oth_Clown,fool,fool
Oth_Iago,antag,protag
Oth_Othello,protag,protag
Per_Antiochus,antag,antag
Per_Pericles,protag,protag
R2_HenryIV,antag,protag
R2_RichardII,protag,protag
R3_RichardIII,protag,protag
Rom_Romeo,protag,protag
Rom_Tybalt,antag,protag
Shr_Grumio,fool,fool
Shr_Petruchio,protag,protag
TGV_Lance,fool,fool
TGV_Proteus,antag,protag
TGV_Speed,fool,fool
TGV_Valentine,protag,protag
TNK_Theseus,protag,antag
TN_Feste,fool,fool
TN_Malvolio,antag,protag
TN_Viola,protag,fool
Tim_Fool,fool,protag
Tim_Timon,protag,protag
Tit_Aaron,antag,protag
Tit_CountryFellow,fool,fool
Tit_Titus,protag,protag
Tmp_Antonio,antag,protag
Tmp_Prospero,protag,protag
Tro_Thersites,fool,antag
Tro_Troilus,protag,protag
WT_Autolycus,fool,fool
WT_Leontes,protag,protag
WT_Polixenes,antag,antag
Wiv_Falstaff,antag,protag
Wiv_MistressPage,protag,antag
