character,actual,predicted
1H4_Falstaff,fool,protag
1H4_HenryIV,other,other
1H4_HenryV,protag,protag
1H4_Hotspur,antag,other
1H4_Worcester,other,other
1H6_Charles,antag,protag
1H6_Gloucester,other,other
1H6_HenryVI,protag,other
1H6_Pucelle,other,other
1H6_Suffolk,other,other
1H6_Talbot,other,other
1H6_York,other,other
2H4_Archbishop,other,other
2H4_ChiefJustice,antag,other
2H4_Falstaff,fool,antag
2H4_HenryIV,other,other
2H4_HenryV,protag,protag
2H4_MistressQuickly,other,other
2H4_Shallow,other,other
2H6_Cade,other,protag
2H6_Gloucester,other,other
2H6_HenryVI,other,other
2H6_QueenMargaret,other,other
2H6_Suffolk,other,other
2H6_Warwick,other,other
2H6_York,other,other
3H6_Clifford,other,other
3H6_EdwardIV,other,other
3H6_HenryVI,other,other
3H6_QueenMargaret,other,other
3H6_RichardIII,other,other
3H6_Warwick,other,other
3H6_York,other,protag
AWW_Bertram,antag,other
AWW_Countess,other,antag
AWW_Diana,other,other
AWW_Fool,fool,other
AWW_Helen,protag,other
AWW_King,other,protag
AWW_LORDS.DUMAINE.1,other,other
AWW_Lafew,other,fool
AWW_Parolles,other,other
AYL_Celia,other,protag
AYL_Jaques,other,other
AYL_Oliver,other,other
AYL_Orlando,other,protag
AYL_Rosalind,protag,fool
AYL_Touchstone,other,protag
Ado_Beatrice,protag,other
Ado_Benedick,other,fool
Ado_Claudio,other,other
Ado_Dogberry,fool,antag
Ado_DonPedro,other,other
Ado_Leonato,other,other
Ant_Antony,protag,other
Ant_Cleopatra,other,other
Ant_Enobarbus,other,other
Ant_Octavius,antag,other
Cor_Aufidius,other,other
Cor_Cominius,other,other
Cor_Coriolanus,protag,protag
Cor_Menenius,other,antag
Cor_TRIBUNES.Brutus,antag,other
Cor_TRIBUNES.Sicinius,other,other
Cor_Volumnia,other,protag
Cym_Belarius,other,other
Cym_Cloten,fool,fool
Cym_Cymbeline,other,other
Cym_Guiderius,other,other
Cym_Iachimo,antag,other
Cym_Imogen,protag,other
Cym_Pisanio,other,other
Cym_Posthumus,other,protag
Cym_Queen,other,antag
Err_Adriana,other,other
Err_AntipholusOfEphesus,antag,protag
Err_AntipholusOfSyracuse,protag,protag
Err_DromioOfEphesus,fool,fool
Err_DromioOfSyracuse,fool,fool
Err_Egeon,other,other
H5_BishopOfCanterbury,other,other
H5_Chorus,other,other
H5_Fluellen,other,antag
H5_HenryV,protag,other
H5_Pistol,other,other
H8_Buckingham,other,other
H8_Chamberlain,other,other
H8_Cranmer,other,antag
H8_HenryVIII,protag,antag
H8_Katherine,other,other
H8_Norfolk,other,other
H8_Wolsey,antag,other
Ham_Claudius,antag,other
Ham_Gertrude,other,other
Ham_Hamlet,protag,antag
Ham_Horatio,other,other
Ham_Laertes,other,other
Ham_Ophelia,other,other
Ham_Polonius,other,other
JC_Antony,antag,other
JC_Brutus,protag,protag
JC_Caesar,other,other
JC_Casca,other,other
JC_Cassius,other,antag
