name,overall,average,f1,mcc
Emphasis-Min-1000-Percentages,0.40076335877862596,0.3438977634884067,0.29246715969217496,0.2220521353454509
Emphasis-Min-500-Counts,0.3842239185750636,0.33962931771223764,0.29678543204858987,0.2222900479954937
Emphasis-Min-500-Percentages,0.3486005089058524,0.33811051469298836,0.2808705731472498,0.20576997986206932
Emphasis-Min-250-Counts,0.3567567567567568,0.3277723562080667,0.28596923322648016,0.20841866233967396
Min-1000-Percentages,0.31297709923664124,0.3123813321181742,0.22727366270924498,0.1649864484607401
Emphasis-Min-1000-Counts,0.3816793893129771,0.30391600493939674,0.27235309593933005,0.1971333664815746
Emphasis-Vowels-Only-No-Others-Percentages,0.4827586206896552,0.30032698782698786,0.2919353307511202,0.2173779551239863
Emphasis-Vowels-Only-Min-500-Percentages,0.30025445292620867,0.29954032129170594,0.2455225798996601,0.16762934241168545
Min-1000-Counts,0.3244274809160305,0.29213289958903993,0.21337406871227532,0.14302154848426973
Min-500-Counts,0.34096692111959287,0.27533894991700064,0.22139741343355587,0.14945371432529173
Vowels-Only-No-Others-Counts,0.39080459770114945,0.2721930846930847,0.2453411172161172,0.1560368033308666
Emphasis-Vowels-Only-Min-1000-Percentages,0.3015267175572519,0.26804982433637403,0.23598774659806063,0.1565547873535712
Min-250-Counts,0.3063063063063063,0.2647815961845113,0.21738502605300183,0.13981306504780008
Emphasis-No-Others-Counts,0.41379310344827586,0.25762027324527326,0.25969339188177004,0.17682787383855103
Emphasis-Min-250-Percentages,0.2828828828828829,0.25255445778610797,0.22277232458689067,0.14037952856377348
Min-500-Percentages,0.26717557251908397,0.25194350780847097,0.1970163535460954,0.12352743912774078
Vowels-Only-No-Others-Percentages,0.3448275862068966,0.2486888111888112,0.23830698287220026,0.1469481604534033
Emphasis-Min-100-Counts,0.309552599758162,0.24866626835715216,0.22204814718504767,0.1458828119282994
Emphasis-Vowels-Only-Min-500-Counts,0.3155216284987277,0.24768227370367957,0.21378767358156558,0.12789063355478356
Emphasis-No-Others-Percentages,0.3793103448275862,0.24661276223776227,0.23910256410256414,0.14904266748863781
Emphasis-Vowels-Only-No-Others-Counts,0.41379310344827586,0.24371519684019685,0.23531277974331793,0.14695722585815923
Emphasis-Vowels-Only-Min-1000-Counts,0.33587786259541985,0.24340874633272294,0.21929065940846043,0.1344013088814625
Emphasis-All-Counts,0.3319755600814664,0.2368753932480671,0.22562177105946427,0.14874534716353205
Min-250-Percentages,0.23423423423423423,0.23364978577107673,0.19287876312249091,0.11624428777410098
Vowels-Only-Min-2500-Counts,0.35365853658536583,0.23224728487886384,0.23098933586738465,0.10210675271320886
