R:A::C:P,0,1,2,3,4,5,6,7,a2,p
0,0.28378378378378377,0.2702702702702703,0.08108108108108109,0.06756756756756757,0.06756756756756757,0.04054054054054054,0.013513513513513514,0.12162162162162163,0.0,0.05405405405405406
1,0.07086614173228346,0.29658792650918636,0.09973753280839895,0.04461942257217848,0.05249343832020997,0.03412073490813648,0.29133858267716534,0.08398950131233596,0.0,0.026246719160104987
2,0.04363636363636364,0.29454545454545455,0.12727272727272726,0.05818181818181818,0.05818181818181818,0.04,0.3236363636363636,0.02909090909090909,0.0036363636363636364,0.02181818181818182
3,0.0,0.27450980392156865,0.08823529411764706,0.11764705882352941,0.029411764705882353,0.029411764705882353,0.43137254901960786,0.029411764705882353,0.0,0.0
4,0.0,0.3013698630136986,0.0547945205479452,0.0821917808219178,0.0958904109589041,0.0273972602739726,0.3835616438356164,0.0410958904109589,0.0,0.0136986301369863
5,0.03125,0.21875,0.08333333333333333,0.09375,0.052083333333333336,0.17708333333333334,0.3125,0.020833333333333332,0.0,0.010416666666666666
6,0.0025575447570332483,0.27365728900255754,0.03580562659846547,0.04859335038363171,0.02557544757033248,0.023017902813299233,0.5396419437340153,0.043478260869565216,0.005115089514066497,0.0025575447570332483
7,0.0,0.36666666666666664,0.03333333333333333,0.0,0.03333333333333333,0.0,0.3,0.23333333333333334,0.0,0.03333333333333333
a2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
p,0.06,0.2,0.16,0.08,0.0,0.08,0.22,0.18,0.0,0.02
