R:A::C:P,0,1,2,3,4,5,6,7,a2,p
0,0.31343283582089554,0.048426150121065374,0.04878048780487805,0.056818181818181816,0.07462686567164178,0.04838709677419355,0.001869158878504673,0.1,0.0,0.16
1,0.40298507462686567,0.2736077481840194,0.3089430894308943,0.19318181818181818,0.29850746268656714,0.20967741935483872,0.20747663551401868,0.35555555555555557,0.0,0.4
2,0.1791044776119403,0.19612590799031476,0.2845528455284553,0.18181818181818182,0.23880597014925373,0.1774193548387097,0.16635514018691588,0.08888888888888889,0.3333333333333333,0.24
3,0.0,0.06779661016949153,0.07317073170731707,0.13636363636363635,0.04477611940298507,0.04838709677419355,0.08224299065420561,0.03333333333333333,0.0,0.0
4,0.0,0.053268765133171914,0.032520325203252036,0.06818181818181818,0.1044776119402985,0.03225806451612903,0.052336448598130844,0.03333333333333333,0.0,0.04
5,0.04477611940298507,0.05084745762711865,0.06504065040650407,0.10227272727272728,0.07462686567164178,0.27419354838709675,0.056074766355140186,0.022222222222222223,0.0,0.04
6,0.014925373134328358,0.25907990314769974,0.11382113821138211,0.2159090909090909,0.14925373134328357,0.14516129032258066,0.394392523364486,0.18888888888888888,0.6666666666666666,0.04
7,0.0,0.026634382566585957,0.008130081300813009,0.0,0.014925373134328358,0.0,0.016822429906542057,0.07777777777777778,0.0,0.04
a2,0.0,0.0,0.0,0.0,0.0,0.0,0.001869158878504673,0.0,0.0,0.0
p,0.04477611940298507,0.024213075060532687,0.06504065040650407,0.045454545454545456,0.0,0.06451612903225806,0.020560747663551402,0.1,0.0,0.04
