R:A::C:P,0,1,2,3,4,5,6,7,a2,p
0,0.014256619144602852,0.013577732518669382,0.004073319755600814,0.0033944331296673455,0.0033944331296673455,0.002036659877800407,0.0006788866259334691,0.006109979633401222,0.0,0.0027155465037338763
1,0.018329938900203666,0.07671418873048201,0.025797691785471828,0.011541072640868975,0.013577732518669382,0.008825526137135099,0.07535641547861507,0.02172437202987101,0.0,0.006788866259334691
2,0.008146639511201629,0.054989816700611,0.02376103190767142,0.010862186014935505,0.010862186014935505,0.00746775288526816,0.06042090970807875,0.005431093007467753,0.0006788866259334691,0.004073319755600814
3,0.0,0.019008825526137134,0.006109979633401222,0.008146639511201629,0.002036659877800407,0.002036659877800407,0.02987101154107264,0.002036659877800407,0.0,0.0
4,0.0,0.01493550577053632,0.0027155465037338763,0.004073319755600814,0.0047522063815342835,0.0013577732518669382,0.019008825526137134,0.002036659877800407,0.0,0.0006788866259334691
5,0.002036659877800407,0.014256619144602852,0.005431093007467753,0.006109979633401222,0.0033944331296673455,0.011541072640868975,0.020366598778004074,0.0013577732518669382,0.0,0.0006788866259334691
6,0.0006788866259334691,0.0726408689748812,0.009504412763068567,0.012898845892735914,0.006788866259334691,0.006109979633401222,0.143245078071962,0.011541072640868975,0.0013577732518669382,0.0006788866259334691
7,0.0,0.00746775288526816,0.0006788866259334691,0.0,0.0006788866259334691,0.0,0.006109979633401222,0.0047522063815342835,0.0,0.0006788866259334691
a2,0.0,0.0,0.0,0.0,0.0,0.0,0.0006788866259334691,0.0,0.0,0.0
p,0.002036659877800407,0.006788866259334691,0.005431093007467753,0.0027155465037338763,0.0,0.0027155465037338763,0.00746775288526816,0.006109979633401222,0.0,0.0006788866259334691
