R:A::C:P,0,1,2,3,4,5,6,7,a2,p
0,0.6621621621621622,0.17567567567567569,0.05405405405405406,0.02702702702702703,0.02702702702702703,0.0,0.0,0.0,0.0,0.05405405405405406
1,0.31496062992125984,0.28083989501312334,0.08398950131233596,0.07874015748031496,0.07086614173228346,0.031496062992125984,0.05249343832020997,0.028871391076115485,0.02099737532808399,0.03674540682414698
2,0.26181818181818184,0.18181818181818182,0.12363636363636364,0.07636363636363637,0.08,0.03272727272727273,0.06545454545454546,0.05818181818181818,0.03272727272727273,0.08727272727272728
3,0.18627450980392157,0.18627450980392157,0.11764705882352941,0.17647058823529413,0.0784313725490196,0.0784313725490196,0.058823529411764705,0.029411764705882353,0.0196078431372549,0.06862745098039216
4,0.2054794520547945,0.1232876712328767,0.1780821917808219,0.0821917808219178,0.136986301369863,0.0273972602739726,0.0273972602739726,0.0273972602739726,0.0547945205479452,0.136986301369863
5,0.25,0.11458333333333333,0.11458333333333333,0.10416666666666667,0.07291666666666667,0.14583333333333334,0.09375,0.03125,0.0,0.07291666666666667
6,0.1329923273657289,0.09718670076726342,0.06649616368286446,0.12020460358056266,0.08951406649616368,0.11764705882352941,0.1278772378516624,0.08695652173913043,0.07161125319693094,0.08951406649616368
7,0.2,0.1,0.06666666666666667,0.1,0.06666666666666667,0.0,0.0,0.36666666666666664,0.0,0.1
a2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
p,0.38,0.06,0.08,0.04,0.16,0.06,0.02,0.08,0.0,0.12
