R:A::C:P,0,1,2,3,4,5,6,7,a2,p
0,0.13031914893617022,0.05138339920948617,0.028985507246376812,0.014388489208633094,0.01652892561983471,0.0,0.0,0.0,0.0,0.03636363636363636
1,0.3191489361702128,0.42292490118577075,0.2318840579710145,0.2158273381294964,0.2231404958677686,0.1276595744680851,0.18691588785046728,0.13095238095238096,0.1568627450980392,0.12727272727272726
2,0.19148936170212766,0.1976284584980237,0.2463768115942029,0.1510791366906475,0.18181818181818182,0.09574468085106383,0.16822429906542055,0.19047619047619047,0.17647058823529413,0.21818181818181817
3,0.05053191489361702,0.07509881422924901,0.08695652173913043,0.12949640287769784,0.06611570247933884,0.0851063829787234,0.056074766355140186,0.03571428571428571,0.0392156862745098,0.06363636363636363
4,0.0398936170212766,0.03557312252964427,0.09420289855072464,0.04316546762589928,0.08264462809917356,0.02127659574468085,0.018691588785046728,0.023809523809523808,0.0784313725490196,0.09090909090909091
5,0.06382978723404255,0.043478260869565216,0.07971014492753623,0.07194244604316546,0.05785123966942149,0.14893617021276595,0.08411214953271028,0.03571428571428571,0.0,0.06363636363636363
6,0.13829787234042554,0.15019762845849802,0.18840579710144928,0.3381294964028777,0.2892561983471074,0.48936170212765956,0.4672897196261682,0.40476190476190477,0.5490196078431373,0.3181818181818182
7,0.015957446808510637,0.011857707509881422,0.014492753623188406,0.02158273381294964,0.01652892561983471,0.0,0.0,0.13095238095238096,0.0,0.02727272727272727
a2,0.0,0.0,0.0,0.0,0.0,0.0,0.009345794392523364,0.0,0.0,0.0
p,0.05053191489361702,0.011857707509881422,0.028985507246376812,0.014388489208633094,0.06611570247933884,0.031914893617021274,0.009345794392523364,0.047619047619047616,0.0,0.05454545454545454
