R:A::C:P,0,1,2,3,4,5,6,7,a2,p
0,0.03326544467073999,0.008825526137135099,0.0027155465037338763,0.0013577732518669382,0.0013577732518669382,0.0,0.0,0.0,0.0,0.0027155465037338763
1,0.0814663951120163,0.0726408689748812,0.02172437202987101,0.020366598778004074,0.018329938900203666,0.008146639511201629,0.013577732518669382,0.00746775288526816,0.005431093007467753,0.009504412763068567
2,0.048879837067209775,0.03394433129667346,0.02308214528173795,0.014256619144602852,0.01493550577053632,0.006109979633401222,0.012219959266802444,0.010862186014935505,0.006109979633401222,0.016293279022403257
3,0.012898845892735914,0.012898845892735914,0.008146639511201629,0.012219959266802444,0.005431093007467753,0.005431093007467753,0.004073319755600814,0.002036659877800407,0.0013577732518669382,0.0047522063815342835
4,0.010183299389002037,0.006109979633401222,0.008825526137135099,0.004073319755600814,0.006788866259334691,0.0013577732518669382,0.0013577732518669382,0.0013577732518669382,0.0027155465037338763,0.006788866259334691
5,0.016293279022403257,0.00746775288526816,0.00746775288526816,0.006788866259334691,0.0047522063815342835,0.009504412763068567,0.006109979633401222,0.002036659877800407,0.0,0.0047522063815342835
6,0.035302104548540394,0.025797691785471828,0.017651052274270197,0.031907671418873046,0.02376103190767142,0.031228784792939578,0.03394433129667346,0.02308214528173795,0.019008825526137134,0.02376103190767142
7,0.004073319755600814,0.002036659877800407,0.0013577732518669382,0.002036659877800407,0.0013577732518669382,0.0,0.0,0.00746775288526816,0.0,0.002036659877800407
a2,0.0,0.0,0.0,0.0,0.0,0.0,0.0006788866259334691,0.0,0.0,0.0
p,0.012898845892735914,0.002036659877800407,0.0027155465037338763,0.0013577732518669382,0.005431093007467753,0.002036659877800407,0.0006788866259334691,0.0027155465037338763,0.0,0.004073319755600814
