R:A::C:P,0,1,2,3,4,5,6,7,a2,p
0,0.43243243243243246,0.24324324324324326,0.08108108108108109,0.06756756756756757,0.04054054054054054,0.02702702702702703,0.02702702702702703,0.05405405405405406,0.0,0.02702702702702703
1,0.09448818897637795,0.3674540682414698,0.11811023622047244,0.031496062992125984,0.04199475065616798,0.031496062992125984,0.2388451443569554,0.03937007874015748,0.0,0.03674540682414698
2,0.05090909090909091,0.28363636363636363,0.15636363636363637,0.06181818181818182,0.08363636363636363,0.03636363636363636,0.2727272727272727,0.02909090909090909,0.0,0.025454545454545455
3,0.0,0.28431372549019607,0.10784313725490197,0.08823529411764706,0.049019607843137254,0.029411764705882353,0.4019607843137255,0.0392156862745098,0.0,0.0
4,0.0273972602739726,0.2054794520547945,0.0958904109589041,0.0821917808219178,0.0958904109589041,0.0547945205479452,0.3835616438356164,0.0273972602739726,0.0,0.0273972602739726
5,0.020833333333333332,0.1875,0.052083333333333336,0.0625,0.041666666666666664,0.2708333333333333,0.3333333333333333,0.03125,0.0,0.0
6,0.005115089514066497,0.2710997442455243,0.04603580562659847,0.023017902813299233,0.030690537084398978,0.023017902813299233,0.5575447570332481,0.03580562659846547,0.005115089514066497,0.0025575447570332483
7,0.0,0.36666666666666664,0.0,0.0,0.06666666666666667,0.0,0.23333333333333334,0.3,0.0,0.03333333333333333
a2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
p,0.06,0.24,0.12,0.08,0.02,0.08,0.2,0.1,0.0,0.1
