R:A::C:P,0,1,2,3,4,5,6,7,a2,p
0,0.3516483516483517,0.04215456674473068,0.0425531914893617,0.07352941176470588,0.0410958904109589,0.02857142857142857,0.0039603960396039604,0.0625,0.0,0.0625
1,0.3956043956043956,0.32786885245901637,0.3191489361702128,0.17647058823529413,0.2191780821917808,0.17142857142857143,0.1801980198019802,0.234375,0.0,0.4375
2,0.15384615384615385,0.18266978922716628,0.3049645390070922,0.25,0.3150684931506849,0.14285714285714285,0.1485148514851485,0.125,0.0,0.21875
3,0.0,0.06791569086651054,0.07801418439716312,0.1323529411764706,0.0684931506849315,0.04285714285714286,0.08118811881188119,0.0625,0.0,0.0
4,0.02197802197802198,0.0351288056206089,0.04964539007092199,0.08823529411764706,0.0958904109589041,0.05714285714285714,0.055445544554455446,0.03125,0.0,0.0625
5,0.02197802197802198,0.04215456674473068,0.03546099290780142,0.08823529411764706,0.0547945205479452,0.37142857142857144,0.06336633663366337,0.046875,0.0,0.0
6,0.02197802197802198,0.24824355971896955,0.1276595744680851,0.1323529411764706,0.1643835616438356,0.12857142857142856,0.4316831683168317,0.21875,1.0,0.03125
7,0.0,0.02576112412177986,0.0,0.0,0.0273972602739726,0.0,0.013861386138613862,0.140625,0.0,0.03125
a2,0.0,0.0,0.0,0.0,0.0,0.0,0.0019801980198019802,0.0,0.0,0.0
p,0.03296703296703297,0.02810304449648712,0.0425531914893617,0.058823529411764705,0.0136986301369863,0.05714285714285714,0.019801980198019802,0.078125,0.0,0.15625
