R:A::C:P,0,1,2,3,4,5,6,7,a2,p
0,0.02172437202987101,0.012219959266802444,0.004073319755600814,0.0033944331296673455,0.002036659877800407,0.0013577732518669382,0.0013577732518669382,0.0027155465037338763,0.0,0.0013577732518669382
1,0.024439918533604887,0.09504412763068568,0.03054989816700611,0.008146639511201629,0.010862186014935505,0.008146639511201629,0.06177868295994569,0.010183299389002037,0.0,0.009504412763068567
2,0.009504412763068567,0.05295315682281059,0.029192124915139173,0.011541072640868975,0.015614392396469789,0.006788866259334691,0.05091649694501019,0.005431093007467753,0.0,0.0047522063815342835
3,0.0,0.019687712152070606,0.00746775288526816,0.006109979633401222,0.0033944331296673455,0.002036659877800407,0.027834351663272233,0.0027155465037338763,0.0,0.0
4,0.0013577732518669382,0.010183299389002037,0.0047522063815342835,0.004073319755600814,0.0047522063815342835,0.0027155465037338763,0.019008825526137134,0.0013577732518669382,0.0,0.0013577732518669382
5,0.0013577732518669382,0.012219959266802444,0.0033944331296673455,0.004073319755600814,0.0027155465037338763,0.017651052274270197,0.02172437202987101,0.002036659877800407,0.0,0.0
6,0.0013577732518669382,0.07196198234894773,0.012219959266802444,0.006109979633401222,0.008146639511201629,0.006109979633401222,0.14799728445349628,0.009504412763068567,0.0013577732518669382,0.0006788866259334691
7,0.0,0.00746775288526816,0.0,0.0,0.0013577732518669382,0.0,0.0047522063815342835,0.006109979633401222,0.0,0.0006788866259334691
a2,0.0,0.0,0.0,0.0,0.0,0.0,0.0006788866259334691,0.0,0.0,0.0
p,0.002036659877800407,0.008146639511201629,0.004073319755600814,0.0027155465037338763,0.0006788866259334691,0.0027155465037338763,0.006788866259334691,0.0033944331296673455,0.0,0.0033944331296673455
