R:A::C:P,0,1,2,3,4,5,6,7,a2,p
0,0.7432432432432432,0.12162162162162163,0.06756756756756757,0.0,0.013513513513513514,0.0,0.013513513513513514,0.0,0.0,0.04054054054054054
1,0.3989501312335958,0.2388451443569554,0.07874015748031496,0.06036745406824147,0.047244094488188976,0.023622047244094488,0.07611548556430446,0.026246719160104987,0.01837270341207349,0.031496062992125984
2,0.3054545454545455,0.15636363636363637,0.13818181818181818,0.05090909090909091,0.08363636363636363,0.025454545454545455,0.07272727272727272,0.06181818181818182,0.03272727272727273,0.07272727272727272
3,0.24509803921568626,0.18627450980392157,0.10784313725490197,0.14705882352941177,0.049019607843137254,0.0392156862745098,0.12745098039215685,0.029411764705882353,0.00980392156862745,0.058823529411764705
4,0.2328767123287671,0.0821917808219178,0.1506849315068493,0.0684931506849315,0.1643835616438356,0.0410958904109589,0.1232876712328767,0.0273972602739726,0.0273972602739726,0.0821917808219178
5,0.2604166666666667,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.11458333333333333,0.13541666666666666,0.125,0.041666666666666664,0.0,0.07291666666666667
6,0.1432225063938619,0.11508951406649616,0.0741687979539642,0.1329923273657289,0.09974424552429667,0.0741687979539642,0.1534526854219949,0.05370843989769821,0.0639386189258312,0.08951406649616368
7,0.26666666666666666,0.13333333333333333,0.06666666666666667,0.03333333333333333,0.06666666666666667,0.0,0.0,0.3333333333333333,0.0,0.1
a2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
p,0.34,0.14,0.1,0.06,0.08,0.06,0.04,0.08,0.0,0.1
