R:A::C:P,0,1,2,3,4,5,6,7,a2,p
0,0.1252847380410023,0.03879310344827586,0.03597122302158273,0.0,0.008695652173913044,0.0,0.006802721088435374,0.0,0.0,0.030927835051546393
1,0.3462414578587699,0.3922413793103448,0.2158273381294964,0.19008264462809918,0.1565217391304348,0.1323529411764706,0.19727891156462585,0.14084507042253522,0.1590909090909091,0.12371134020618557
2,0.19134396355353075,0.1853448275862069,0.2733812949640288,0.11570247933884298,0.2,0.10294117647058823,0.1360544217687075,0.23943661971830985,0.20454545454545456,0.20618556701030927
3,0.05694760820045558,0.08189655172413793,0.07913669064748201,0.12396694214876033,0.043478260869565216,0.058823529411764705,0.08843537414965986,0.04225352112676056,0.022727272727272728,0.061855670103092786
4,0.0387243735763098,0.02586206896551724,0.07913669064748201,0.04132231404958678,0.10434782608695652,0.04411764705882353,0.061224489795918366,0.028169014084507043,0.045454545454545456,0.061855670103092786
5,0.05694760820045558,0.034482758620689655,0.05755395683453238,0.06611570247933884,0.09565217391304348,0.19117647058823528,0.08163265306122448,0.056338028169014086,0.0,0.07216494845360824
6,0.1275626423690205,0.1939655172413793,0.20863309352517986,0.4297520661157025,0.3391304347826087,0.4264705882352941,0.40816326530612246,0.29577464788732394,0.5681818181818182,0.36082474226804123
7,0.018223234624145785,0.017241379310344827,0.014388489208633094,0.008264462809917356,0.017391304347826087,0.0,0.0,0.14084507042253522,0.0,0.030927835051546393
a2,0.0,0.0,0.0,0.0,0.0,0.0,0.006802721088435374,0.0,0.0,0.0
p,0.0387243735763098,0.03017241379310345,0.03597122302158273,0.024793388429752067,0.034782608695652174,0.04411764705882353,0.013605442176870748,0.056338028169014086,0.0,0.05154639175257732
