R:A::C:P,0,1,2,3,4,5,6,7,a2,p
0,0.0373387644263408,0.006109979633401222,0.0033944331296673455,0.0,0.0006788866259334691,0.0,0.0006788866259334691,0.0,0.0,0.002036659877800407
1,0.10319076714188731,0.06177868295994569,0.020366598778004074,0.015614392396469789,0.012219959266802444,0.006109979633401222,0.019687712152070606,0.006788866259334691,0.0047522063815342835,0.008146639511201629
2,0.05702647657841141,0.029192124915139173,0.025797691785471828,0.009504412763068567,0.015614392396469789,0.0047522063815342835,0.013577732518669382,0.011541072640868975,0.006109979633401222,0.013577732518669382
3,0.01697216564833673,0.012898845892735914,0.00746775288526816,0.010183299389002037,0.0033944331296673455,0.0027155465037338763,0.008825526137135099,0.002036659877800407,0.0006788866259334691,0.004073319755600814
4,0.011541072640868975,0.004073319755600814,0.00746775288526816,0.0033944331296673455,0.008146639511201629,0.002036659877800407,0.006109979633401222,0.0013577732518669382,0.0013577732518669382,0.004073319755600814
5,0.01697216564833673,0.005431093007467753,0.005431093007467753,0.005431093007467753,0.00746775288526816,0.008825526137135099,0.008146639511201629,0.0027155465037338763,0.0,0.0047522063815342835
6,0.03801765105227427,0.03054989816700611,0.019687712152070606,0.035302104548540394,0.026476578411405296,0.019687712152070606,0.04073319755600815,0.014256619144602852,0.01697216564833673,0.02376103190767142
7,0.005431093007467753,0.0027155465037338763,0.0013577732518669382,0.0006788866259334691,0.0013577732518669382,0.0,0.0,0.006788866259334691,0.0,0.002036659877800407
a2,0.0,0.0,0.0,0.0,0.0,0.0,0.0006788866259334691,0.0,0.0,0.0
p,0.011541072640868975,0.0047522063815342835,0.0033944331296673455,0.002036659877800407,0.0027155465037338763,0.002036659877800407,0.0013577732518669382,0.0027155465037338763,0.0,0.0033944331296673455
