R:A::C:P,0,1,2,3,4,5,6,7,a2,p
0,0.4520547945205479,0.273972602739726,0.0547945205479452,0.0684931506849315,0.0547945205479452,0.0136986301369863,0.0,0.0547945205479452,0.0,0.0273972602739726
1,0.15714285714285714,0.4142857142857143,0.125,0.039285714285714285,0.06428571428571428,0.039285714285714285,0.07857142857142857,0.04642857142857143,0.0,0.03571428571428571
2,0.09883720930232558,0.3313953488372093,0.1744186046511628,0.06976744186046512,0.09302325581395349,0.06395348837209303,0.08139534883720931,0.046511627906976744,0.0,0.040697674418604654
3,0.02,0.3,0.14,0.16,0.08,0.06,0.18,0.04,0.0,0.02
4,0.07692307692307693,0.20512820512820512,0.07692307692307693,0.15384615384615385,0.15384615384615385,0.10256410256410256,0.1794871794871795,0.0,0.0,0.05128205128205128
5,0.03508771929824561,0.15789473684210525,0.08771929824561403,0.10526315789473684,0.05263157894736842,0.3684210526315789,0.15789473684210525,0.03508771929824561,0.0,0.0
6,0.02727272727272727,0.2545454545454545,0.06363636363636363,0.03636363636363636,0.11818181818181818,0.09090909090909091,0.3090909090909091,0.08181818181818182,0.0,0.01818181818181818
7,0.0,0.4166666666666667,0.0,0.0,0.08333333333333333,0.0,0.08333333333333333,0.3333333333333333,0.0,0.08333333333333333
a2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p,0.09090909090909091,0.21212121212121213,0.12121212121212122,0.12121212121212122,0.0,0.12121212121212122,0.06060606060606061,0.15151515151515152,0.0,0.12121212121212122
