R:A::C:P,0,1,2,3,4,5,6,7,a2,p
0,0.3113207547169811,0.07518796992481203,0.042105263157894736,0.08928571428571429,0.06153846153846154,0.015384615384615385,0.0,0.0851063829787234,0.0,0.06896551724137931
1,0.41509433962264153,0.43609022556390975,0.3684210526315789,0.19642857142857142,0.27692307692307694,0.16923076923076924,0.22448979591836735,0.2765957446808511,0.0,0.3448275862068966
2,0.16037735849056603,0.21428571428571427,0.3157894736842105,0.21428571428571427,0.24615384615384617,0.16923076923076924,0.14285714285714285,0.1702127659574468,0.0,0.2413793103448276
3,0.009433962264150943,0.05639097744360902,0.07368421052631578,0.14285714285714285,0.06153846153846154,0.046153846153846156,0.09183673469387756,0.0425531914893617,0.0,0.034482758620689655
4,0.02830188679245283,0.03007518796992481,0.031578947368421054,0.10714285714285714,0.09230769230769231,0.06153846153846154,0.07142857142857142,0.0,0.0,0.06896551724137931
5,0.018867924528301886,0.03383458646616541,0.05263157894736842,0.10714285714285714,0.046153846153846156,0.3230769230769231,0.09183673469387756,0.0425531914893617,0.0,0.0
6,0.02830188679245283,0.10526315789473684,0.07368421052631578,0.07142857142857142,0.2,0.15384615384615385,0.3469387755102041,0.19148936170212766,0.0,0.06896551724137931
7,0.0,0.018796992481203006,0.0,0.0,0.015384615384615385,0.0,0.01020408163265306,0.0851063829787234,0.0,0.034482758620689655
a2,0.0,0.0037593984962406013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p,0.02830188679245283,0.02631578947368421,0.042105263157894736,0.07142857142857142,0.0,0.06153846153846154,0.02040816326530612,0.10638297872340426,0.0,0.13793103448275862
