R:A::C:P,0,1,2,3,4,5,6,7,a2,p
0,0.03990326481257558,0.02418379685610641,0.0048367593712212815,0.006045949214026602,0.0048367593712212815,0.0012091898428053204,0.0,0.0048367593712212815,0.0,0.0024183796856106408
1,0.053204353083434096,0.14026602176541716,0.04232164449818621,0.013301088270858524,0.02176541717049577,0.013301088270858524,0.026602176541717048,0.015719467956469165,0.0,0.012091898428053204
2,0.020556227327690448,0.06892382103990327,0.036275695284159616,0.014510278113663845,0.019347037484885126,0.013301088270858524,0.016928657799274487,0.009673518742442563,0.0,0.008464328899637243
3,0.0012091898428053204,0.018137847642079808,0.008464328899637243,0.009673518742442563,0.0048367593712212815,0.0036275695284159614,0.010882708585247884,0.0024183796856106408,0.0,0.0012091898428053204
4,0.0036275695284159614,0.009673518742442563,0.0036275695284159614,0.007255139056831923,0.007255139056831923,0.0048367593712212815,0.008464328899637243,0.0,0.0,0.0024183796856106408
5,0.0024183796856106408,0.010882708585247884,0.006045949214026602,0.007255139056831923,0.0036275695284159614,0.02539298669891173,0.010882708585247884,0.0024183796856106408,0.0,0.0
6,0.0036275695284159614,0.03385731559854897,0.008464328899637243,0.0048367593712212815,0.015719467956469165,0.012091898428053204,0.041112454655380895,0.010882708585247884,0.0,0.0024183796856106408
7,0.0,0.006045949214026602,0.0,0.0,0.0012091898428053204,0.0,0.0012091898428053204,0.0048367593712212815,0.0,0.0012091898428053204
a2,0.0,0.0012091898428053204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p,0.0036275695284159614,0.008464328899637243,0.0048367593712212815,0.0048367593712212815,0.0,0.0048367593712212815,0.0024183796856106408,0.006045949214026602,0.0,0.0048367593712212815
