R:A::C:P,0,1,2,3,4,5,6,7,a2,p
0,0.4931506849315068,0.1643835616438356,0.0958904109589041,0.0684931506849315,0.0684931506849315,0.0273972602739726,0.0,0.0136986301369863,0.0,0.0684931506849315
1,0.18571428571428572,0.26071428571428573,0.15357142857142858,0.12857142857142856,0.05714285714285714,0.039285714285714285,0.09285714285714286,0.025,0.0,0.05714285714285714
2,0.1569767441860465,0.16279069767441862,0.16279069767441862,0.18604651162790697,0.06395348837209303,0.0872093023255814,0.06976744186046512,0.01744186046511628,0.0,0.09302325581395349
3,0.14,0.14,0.16,0.24,0.06,0.06,0.12,0.02,0.0,0.06
4,0.1282051282051282,0.07692307692307693,0.1282051282051282,0.1282051282051282,0.23076923076923078,0.1282051282051282,0.1282051282051282,0.02564102564102564,0.0,0.02564102564102564
5,0.07017543859649122,0.14035087719298245,0.017543859649122806,0.17543859649122806,0.10526315789473684,0.3333333333333333,0.14035087719298245,0.017543859649122806,0.0,0.0
6,0.02727272727272727,0.11818181818181818,0.1,0.12727272727272726,0.17272727272727273,0.15454545454545454,0.19090909090909092,0.06363636363636363,0.0,0.045454545454545456
7,0.25,0.3333333333333333,0.0,0.08333333333333333,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.0
a2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p,0.21212121212121213,0.030303030303030304,0.21212121212121213,0.18181818181818182,0.0,0.12121212121212122,0.06060606060606061,0.06060606060606061,0.0,0.12121212121212122
