R:A::C:P,0,1,2,3,4,5,6,7,a2,p
0,0.25,0.08,0.06363636363636363,0.04132231404958678,0.07042253521126761,0.02631578947368421,0.0,0.04,0.0,0.1
1,0.3611111111111111,0.4866666666666667,0.39090909090909093,0.2975206611570248,0.22535211267605634,0.14473684210526316,0.325,0.28,0.0,0.32
2,0.1875,0.18666666666666668,0.2545454545454545,0.2644628099173554,0.15492957746478872,0.19736842105263158,0.15,0.12,0.0,0.32
3,0.04861111111111111,0.04666666666666667,0.07272727272727272,0.09917355371900827,0.04225352112676056,0.039473684210526314,0.075,0.04,0.0,0.06
4,0.034722222222222224,0.02,0.045454545454545456,0.04132231404958678,0.1267605633802817,0.06578947368421052,0.0625,0.04,0.0,0.02
5,0.027777777777777776,0.05333333333333334,0.00909090909090909,0.08264462809917356,0.08450704225352113,0.25,0.1,0.04,0.0,0.0
6,0.020833333333333332,0.08666666666666667,0.1,0.11570247933884298,0.2676056338028169,0.2236842105263158,0.2625,0.28,0.0,0.1
7,0.020833333333333332,0.02666666666666667,0.0,0.008264462809917356,0.028169014084507043,0.0,0.0,0.08,0.0,0.0
a2,0.0,0.006666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p,0.04861111111111111,0.006666666666666667,0.06363636363636363,0.049586776859504134,0.0,0.05263157894736842,0.025,0.08,0.0,0.08
