R:A::C:P,0,1,2,3,4,5,6,7,a2,p
0,0.04353083434099154,0.014510278113663845,0.008464328899637243,0.006045949214026602,0.006045949214026602,0.0024183796856106408,0.0,0.0012091898428053204,0.0,0.006045949214026602
1,0.06287787182587666,0.08827085852478839,0.05199516324062878,0.04353083434099154,0.019347037484885126,0.013301088270858524,0.03143893591293833,0.008464328899637243,0.0,0.019347037484885126
2,0.032648125755743655,0.03385731559854897,0.03385731559854897,0.03869407496977025,0.013301088270858524,0.018137847642079808,0.014510278113663845,0.0036275695284159614,0.0,0.019347037484885126
3,0.008464328899637243,0.008464328899637243,0.009673518742442563,0.014510278113663845,0.0036275695284159614,0.0036275695284159614,0.007255139056831923,0.0012091898428053204,0.0,0.0036275695284159614
4,0.006045949214026602,0.0036275695284159614,0.006045949214026602,0.006045949214026602,0.010882708585247884,0.006045949214026602,0.006045949214026602,0.0012091898428053204,0.0,0.0012091898428053204
5,0.0048367593712212815,0.009673518742442563,0.0012091898428053204,0.012091898428053204,0.007255139056831923,0.022974607013301087,0.009673518742442563,0.0012091898428053204,0.0,0.0
6,0.0036275695284159614,0.015719467956469165,0.013301088270858524,0.016928657799274487,0.022974607013301087,0.020556227327690448,0.02539298669891173,0.008464328899637243,0.0,0.006045949214026602
7,0.0036275695284159614,0.0048367593712212815,0.0,0.0012091898428053204,0.0024183796856106408,0.0,0.0,0.0024183796856106408,0.0,0.0
a2,0.0,0.0012091898428053204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p,0.008464328899637243,0.0012091898428053204,0.008464328899637243,0.007255139056831923,0.0,0.0048367593712212815,0.0024183796856106408,0.0024183796856106408,0.0,0.0048367593712212815
