R:A::C:P,0,1,2,3,4,5,6,7,a2,p
0,0.25675675675675674,0.36486486486486486,0.0945945945945946,0.0,0.12162162162162163,0.04054054054054054,0.08108108108108109,0.04054054054054054,0.0,0.0
1,0.049868766404199474,0.44881889763779526,0.10761154855643044,0.02099737532808399,0.047244094488188976,0.03937007874015748,0.2388451443569554,0.01837270341207349,0.0,0.028871391076115485
2,0.03636363636363636,0.3563636363636364,0.12363636363636364,0.03272727272727273,0.05818181818181818,0.05454545454545454,0.3090909090909091,0.014545454545454545,0.0,0.014545454545454545
3,0.0196078431372549,0.3235294117647059,0.14705882352941177,0.029411764705882353,0.029411764705882353,0.0392156862745098,0.39215686274509803,0.00980392156862745,0.0,0.00980392156862745
4,0.0410958904109589,0.2328767123287671,0.1095890410958904,0.0547945205479452,0.0821917808219178,0.0273972602739726,0.4246575342465753,0.0,0.0,0.0273972602739726
5,0.03125,0.3229166666666667,0.0625,0.041666666666666664,0.020833333333333332,0.11458333333333333,0.375,0.03125,0.0,0.0
6,0.015345268542199489,0.340153452685422,0.03580562659846547,0.0025575447570332483,0.020460358056265986,0.010230179028132993,0.5575447570332481,0.01278772378516624,0.0,0.005115089514066497
7,0.03333333333333333,0.4666666666666667,0.03333333333333333,0.0,0.0,0.0,0.2,0.23333333333333334,0.0,0.03333333333333333
a2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p,0.02,0.38,0.12,0.02,0.06,0.0,0.36,0.04,0.0,0.0
