R:A::C:P,0,1,2,3,4,5,6,7,a2,p
0,0.296875,0.04963235294117647,0.05303030303030303,0.0,0.13846153846153847,0.05555555555555555,0.011299435028248588,0.09375,0.0,0.0
1,0.296875,0.31433823529411764,0.3106060606060606,0.26666666666666666,0.27692307692307694,0.2777777777777778,0.1713747645951036,0.21875,0.0,0.5238095238095238
2,0.15625,0.1801470588235294,0.25757575757575757,0.3,0.24615384615384617,0.2777777777777778,0.160075329566855,0.125,0.0,0.19047619047619047
3,0.03125,0.06066176470588235,0.11363636363636363,0.1,0.046153846153846156,0.07407407407407407,0.07532956685499058,0.03125,0.0,0.047619047619047616
4,0.046875,0.03125,0.06060606060606061,0.13333333333333333,0.09230769230769231,0.037037037037037035,0.0583804143126177,0.0,0.0,0.09523809523809523
5,0.046875,0.05698529411764706,0.045454545454545456,0.13333333333333333,0.03076923076923077,0.2037037037037037,0.06779661016949153,0.09375,0.0,0.0
6,0.09375,0.24448529411764705,0.10606060606060606,0.03333333333333333,0.12307692307692308,0.07407407407407407,0.4105461393596987,0.15625,0.0,0.09523809523809523
7,0.015625,0.025735294117647058,0.007575757575757576,0.0,0.0,0.0,0.011299435028248588,0.21875,0.0,0.047619047619047616
a2,0.0,0.001838235294117647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p,0.015625,0.034926470588235295,0.045454545454545456,0.03333333333333333,0.046153846153846156,0.0,0.03389830508474576,0.0625,0.0,0.0
