R:A::C:P,0,1,2,3,4,5,6,7,a2,p
0,0.012898845892735914,0.018329938900203666,0.0047522063815342835,0.0,0.006109979633401222,0.002036659877800407,0.004073319755600814,0.002036659877800407,0.0,0.0
1,0.012898845892735914,0.11608961303462322,0.027834351663272233,0.005431093007467753,0.012219959266802444,0.010183299389002037,0.06177868295994569,0.0047522063815342835,0.0,0.00746775288526816
2,0.006788866259334691,0.06653088934147998,0.02308214528173795,0.006109979633401222,0.010862186014935505,0.010183299389002037,0.05770536320434488,0.0027155465037338763,0.0,0.0027155465037338763
3,0.0013577732518669382,0.02240325865580448,0.010183299389002037,0.002036659877800407,0.002036659877800407,0.0027155465037338763,0.027155465037338764,0.0006788866259334691,0.0,0.0006788866259334691
4,0.002036659877800407,0.011541072640868975,0.005431093007467753,0.0027155465037338763,0.004073319755600814,0.0013577732518669382,0.021045485403937542,0.0,0.0,0.0013577732518669382
5,0.002036659877800407,0.021045485403937542,0.004073319755600814,0.0027155465037338763,0.0013577732518669382,0.00746775288526816,0.024439918533604887,0.002036659877800407,0.0,0.0
6,0.004073319755600814,0.09029192124915139,0.009504412763068567,0.0006788866259334691,0.005431093007467753,0.0027155465037338763,0.14799728445349628,0.0033944331296673455,0.0,0.0013577732518669382
7,0.0006788866259334691,0.009504412763068567,0.0006788866259334691,0.0,0.0,0.0,0.004073319755600814,0.0047522063815342835,0.0,0.0006788866259334691
a2,0.0,0.0006788866259334691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p,0.0006788866259334691,0.012898845892735914,0.004073319755600814,0.0006788866259334691,0.002036659877800407,0.0,0.012219959266802444,0.0013577732518669382,0.0,0.0
