character,actual,predicted
1H4_Archbishop,1,p
1H4_Bardolph,5,6
1H4_Bedford,1,6
1H4_Blunt,2,1
1H4_Chamberlain,6,6
1H4_DRAWERS.Francis,6,6
1H4_Douglas,1,1
1H4_Falstaff,2,1
1H4_Gadshill,6,6
1H4_Glendower,0,2
1H4_HenryIV,0,0
1H4_HenryV,1,0
1H4_Hotspur,1,1
1H4_LadyPercy,1,1
1H4_MESSENGERS.1,6,6
1H4_MESSENGERS.2,6,1
1H4_MESSENGERS.X,6,1
1H4_MistressQuickly,4,6
1H4_Mortimer,1,1
1H4_Northumberland,1,1
1H4_Ostler,6,6
1H4_Peto,6,2
1H4_Poins,2,1
1H4_SERVANTS.HOTSPUR.1,6,6
1H4_Sheriff,4,6
1H4_SirMichael,2,1
1H4_TRAVELERS.CARRIERS,3,1
1H4_TRAVELERS.CARRIERS.1,6,6
1H4_TRAVELERS.CARRIERS.2,6,6
1H4_TRAVELERS.CARRIERS.X,6,6
1H4_TRAVELERS.GENTLEMEN,3,1
1H4_TRAVELERS.GENTLEMEN.0.1,4,1
1H4_Vernon,1,p
1H4_Vintner,6,1
1H4_Westmoreland,1,p
1H4_Worcester,1,0
1H6_Alanson,1,6
1H6_Basset,2,1
1H6_Bastard,1,6
1H6_Bedford,1,0
1H6_Boy,6,6
1H6_Burgundy,1,1
1H6_CardinalBeaufort,1,0
1H6_Charles,0,7
1H6_Countess,1,5
1H6_Exeter,1,7
1H6_Fastolf,2,6
1H6_Gargrave,2,6
1H6_General,2,7
1H6_Glansdale,2,1
1H6_Gloucester,1,1
1H6_HenryVI,0,4
1H6_JAILERS.0.1,6,1
1H6_JohnTalbot,2,6
1H6_Lawyer,3,1
1H6_Legate,2,1
1H6_Lucy,2,4
1H6_MESSENGERS.ENGLISH.1,6,1
1H6_MESSENGERS.ENGLISH.2,6,1
1H6_MESSENGERS.ENGLISH.3,6,p
1H6_MESSENGERS.ENGLISH.X.1,6,1
1H6_MESSENGERS.ENGLISH.X.2,6,6
1H6_MESSENGERS.FRENCH.1,6,6
1H6_MasterGunner,6,0
1H6_Mayor,3,1
1H6_Mortimer,1,7
1H6_OFFICERS.0.1,4,1
1H6_Porter,6,6
1H6_Pucelle,p,1
1H6_QueenMargaret,1,2
1H6_Reignier,1,7
1H6_SERVANTS.1,6,1
1H6_SERVANTS.2,6,6
1H6_SERVANTS.3,6,6
1H6_SERVANTS.GLOUCESTER,6,6
1H6_SERVANTS.GLOUCESTER.0.1,6,1
1H6_SERVANTS.GLOUCESTER.0.2,6,6
1H6_SERVANTS.TALBOT.1,6,6
1H6_SERVANTS.WINCHESTER.0.1,6,6
1H6_SOLDIERS.ENGLISH.0.1,4,1
1H6_SOLDIERS.ENGLISH.1,6,6
1H6_SOLDIERS.ENGLISH.Captain,4,6
1H6_SOLDIERS.ENGLISH.SOMERSET.0.1,4,6
1H6_SOLDIERS.FRENCH.PUCELLE.0.1,6,6
1H6_SOLDIERS.FRENCH.Scout,6,1
1H6_SOLDIERS.FRENCH.Sergeant,3,6
1H6_Salisbury,1,1
1H6_Shepherd,5,1
1H6_Somerset,1,1
1H6_Suffolk,1,2
1H6_Talbot,2,1
1H6_Vernon,2,6
1H6_WARDERS.1,6,1
1H6_WARDERS.2,6,6
1H6_WATCHMEN.1,6,1
1H6_Warwick,1,1
1H6_Watchman,6,1
1H6_Woodville,2,1
1H6_York,1,1
2H4_Archbishop,1,0
2H4_BEADLES.0.1,5,1
2H4_Bardolph,5,6
2H4_Bedford,1,1
2H4_Bullcalf,6,6
2H4_ChiefJustice,1,4
2H4_Chorus,p,1
2H4_Clarence,1,1
2H4_Colevile,2,6
2H4_DRAWERS.1,6,6
2H4_DRAWERS.Francis,6,1
2H4_DRAWERS.Will,6,6
2H4_DRAWERS.X,6,6
2H4_Davy,6,6
2H4_DollTearsheet,6,5
2H4_Epilogue,p,2
2H4_Falstaff,2,2
2H4_Feeble,6,6
2H4_GROOMS.1,6,6
2H4_GROOMS.2,6,1
2H4_Gloucester,1,6
2H4_Harcourt,6,6
2H4_Hastings,1,1
2H4_HenryIV,0,7
2H4_HenryV,1,1
2H4_LadyNorthumberland,1,6
2H4_LadyPercy,1,1
2H4_LordBardolph,1,4
2H4_MESSENGERS.1,6,1
2H4_MESSENGERS.Gower,6,1
2H4_MistressQuickly,4,5
2H4_Morton,2,1
2H4_Mouldy,6,6
2H4_Mowbray,1,0
2H4_Northumberland,1,1
2H4_OFFICERS.Fang,5,2
2H4_OFFICERS.Snare,6,1
2H4_Peto,6,1
2H4_Pistol,6,6
2H4_Poins,2,3
2H4_Porter,6,6
2H4_SERVANTS.CHIEFJUSTICE.1,6,3
2H4_SERVANTS.FALSTAFF.1,6,6
2H4_Shadow,6,6
2H4_Shallow,2,5
2H4_Silence,2,2
2H4_Travers,6,6
2H4_Wart,6,6
2H4_Warwick,1,2
2H4_Westmoreland,1,1
2H6_Beadle,5,1
2H6_Bevis,6,6
2H6_Bolingbroke,6,6
