R:A::C:P,0,1,2,3,4,5,6,7,a2,p
0,0.6486486486486487,0.0945945945945946,0.12162162162162163,0.013513513513513514,0.013513513513513514,0.02702702702702703,0.013513513513513514,0.0,0.0,0.06756756756756757
1,0.3569553805774278,0.2099737532808399,0.11023622047244094,0.04199475065616798,0.05511811023622047,0.013123359580052493,0.09186351706036745,0.028871391076115485,0.031496062992125984,0.06036745406824147
2,0.2509090909090909,0.15272727272727274,0.13090909090909092,0.10181818181818182,0.11272727272727273,0.025454545454545455,0.09090909090909091,0.04,0.03272727272727273,0.06181818181818182
3,0.21568627450980393,0.09803921568627451,0.12745098039215685,0.08823529411764706,0.049019607843137254,0.06862745098039216,0.14705882352941177,0.08823529411764706,0.0196078431372549,0.09803921568627451
4,0.2191780821917808,0.0821917808219178,0.1643835616438356,0.0958904109589041,0.1643835616438356,0.0273972602739726,0.1095890410958904,0.0410958904109589,0.0821917808219178,0.0136986301369863
5,0.16666666666666666,0.09375,0.09375,0.15625,0.15625,0.09375,0.07291666666666667,0.07291666666666667,0.020833333333333332,0.07291666666666667
6,0.1278772378516624,0.07672634271099744,0.0792838874680307,0.1534526854219949,0.09974424552429667,0.061381074168797956,0.18414322250639387,0.0639386189258312,0.08951406649616368,0.0639386189258312
7,0.43333333333333335,0.1,0.03333333333333333,0.06666666666666667,0.0,0.03333333333333333,0.0,0.3,0.0,0.03333333333333333
a2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
p,0.24,0.12,0.12,0.08,0.12,0.02,0.12,0.14,0.02,0.02
