R:A::C:P,0,1,2,3,4,5,6,7,a2,p
0,0.1256544502617801,0.03626943005181347,0.05660377358490566,0.007042253521126761,0.007692307692307693,0.034482758620689655,0.0058823529411764705,0.0,0.0,0.05555555555555555
1,0.35602094240837695,0.41450777202072536,0.2641509433962264,0.11267605633802817,0.16153846153846155,0.08620689655172414,0.20588235294117646,0.13414634146341464,0.1791044776119403,0.25555555555555554
2,0.1806282722513089,0.21761658031088082,0.22641509433962265,0.19718309859154928,0.23846153846153847,0.1206896551724138,0.14705882352941177,0.13414634146341464,0.13432835820895522,0.18888888888888888
3,0.05759162303664921,0.05181347150259067,0.08176100628930817,0.06338028169014084,0.038461538461538464,0.1206896551724138,0.08823529411764706,0.10975609756097561,0.029850746268656716,0.1111111111111111
4,0.041884816753926704,0.031088082901554404,0.07547169811320754,0.04929577464788732,0.09230769230769231,0.034482758620689655,0.047058823529411764,0.036585365853658534,0.08955223880597014,0.011111111111111112
5,0.041884816753926704,0.046632124352331605,0.05660377358490566,0.1056338028169014,0.11538461538461539,0.15517241379310345,0.041176470588235294,0.08536585365853659,0.029850746268656716,0.07777777777777778
6,0.13089005235602094,0.15544041450777202,0.1949685534591195,0.4225352112676056,0.3,0.41379310344827586,0.4235294117647059,0.3048780487804878,0.5223880597014925,0.2777777777777778
7,0.034031413612565446,0.015544041450777202,0.006289308176100629,0.014084507042253521,0.0,0.017241379310344827,0.0,0.10975609756097561,0.0,0.011111111111111112
a2,0.0,0.0,0.0,0.0,0.0,0.0,0.0058823529411764705,0.0,0.0,0.0
p,0.031413612565445025,0.031088082901554404,0.03773584905660377,0.028169014084507043,0.046153846153846156,0.017241379310344827,0.03529411764705882,0.08536585365853659,0.014925373134328358,0.011111111111111112
