R:A::C:P,0,1,2,3,4,5,6,7,a2,p
0,0.032586558044806514,0.0047522063815342835,0.006109979633401222,0.0006788866259334691,0.0006788866259334691,0.0013577732518669382,0.0006788866259334691,0.0,0.0,0.0033944331296673455
1,0.0923285811269518,0.05431093007467753,0.028513238289205704,0.010862186014935505,0.014256619144602852,0.0033944331296673455,0.02376103190767142,0.00746775288526816,0.008146639511201629,0.015614392396469789
2,0.04684317718940937,0.028513238289205704,0.024439918533604887,0.019008825526137134,0.021045485403937542,0.0047522063815342835,0.01697216564833673,0.00746775288526816,0.006109979633401222,0.011541072640868975
3,0.01493550577053632,0.006788866259334691,0.008825526137135099,0.006109979633401222,0.0033944331296673455,0.0047522063815342835,0.010183299389002037,0.006109979633401222,0.0013577732518669382,0.006788866259334691
4,0.010862186014935505,0.004073319755600814,0.008146639511201629,0.0047522063815342835,0.008146639511201629,0.0013577732518669382,0.005431093007467753,0.002036659877800407,0.004073319755600814,0.0006788866259334691
5,0.010862186014935505,0.006109979633401222,0.006109979633401222,0.010183299389002037,0.010183299389002037,0.006109979633401222,0.0047522063815342835,0.0047522063815342835,0.0013577732518669382,0.0047522063815342835
6,0.03394433129667346,0.020366598778004074,0.021045485403937542,0.04073319755600815,0.026476578411405296,0.016293279022403257,0.048879837067209775,0.01697216564833673,0.02376103190767142,0.01697216564833673
7,0.008825526137135099,0.002036659877800407,0.0006788866259334691,0.0013577732518669382,0.0,0.0006788866259334691,0.0,0.006109979633401222,0.0,0.0006788866259334691
a2,0.0,0.0,0.0,0.0,0.0,0.0,0.0006788866259334691,0.0,0.0,0.0
p,0.008146639511201629,0.004073319755600814,0.004073319755600814,0.0027155465037338763,0.004073319755600814,0.0006788866259334691,0.004073319755600814,0.0047522063815342835,0.0006788866259334691,0.0006788866259334691
