R:A::C:P,0,1,2,3,4,5,6,7,a2,p
0,0.3287671232876712,0.3424657534246575,0.0684931506849315,0.0273972602739726,0.0958904109589041,0.0410958904109589,0.0410958904109589,0.0410958904109589,0.0,0.0136986301369863
1,0.13214285714285715,0.4642857142857143,0.12857142857142856,0.014285714285714285,0.06428571428571428,0.05,0.1,0.010714285714285714,0.0,0.03571428571428571
2,0.0755813953488372,0.4186046511627907,0.16279069767441862,0.05232558139534884,0.06395348837209303,0.0755813953488372,0.0872093023255814,0.03488372093023256,0.0,0.029069767441860465
3,0.04,0.44,0.16,0.04,0.08,0.08,0.14,0.0,0.0,0.02
4,0.07692307692307693,0.3076923076923077,0.10256410256410256,0.07692307692307693,0.1282051282051282,0.07692307692307693,0.15384615384615385,0.0,0.0,0.07692307692307693
5,0.05263157894736842,0.2807017543859649,0.10526315789473684,0.03508771929824561,0.03508771929824561,0.15789473684210525,0.2982456140350877,0.03508771929824561,0.0,0.0
6,0.045454545454545456,0.4,0.07272727272727272,0.00909090909090909,0.1,0.05454545454545454,0.2636363636363636,0.01818181818181818,0.0,0.03636363636363636
7,0.16666666666666666,0.3333333333333333,0.08333333333333333,0.0,0.0,0.0,0.08333333333333333,0.16666666666666666,0.0,0.16666666666666666
a2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p,0.030303030303030304,0.36363636363636365,0.21212121212121213,0.0,0.06060606060606061,0.030303030303030304,0.18181818181818182,0.06060606060606061,0.0,0.06060606060606061
