R:A::C:P,0,1,2,3,4,5,6,7,a2,p
0,0.26666666666666666,0.07396449704142012,0.04854368932038835,0.08695652173913043,0.11666666666666667,0.05660377358490566,0.026785714285714284,0.15,0.0,0.03571428571428571
1,0.4111111111111111,0.38461538461538464,0.34951456310679613,0.17391304347826086,0.3,0.2641509433962264,0.25,0.15,0.0,0.35714285714285715
2,0.14444444444444443,0.21301775147928995,0.27184466019417475,0.391304347826087,0.18333333333333332,0.24528301886792453,0.13392857142857142,0.3,0.0,0.17857142857142858
3,0.022222222222222223,0.0650887573964497,0.07766990291262135,0.08695652173913043,0.06666666666666667,0.07547169811320754,0.0625,0.0,0.0,0.03571428571428571
4,0.03333333333333333,0.03550295857988166,0.038834951456310676,0.13043478260869565,0.08333333333333333,0.05660377358490566,0.05357142857142857,0.0,0.0,0.10714285714285714
5,0.03333333333333333,0.047337278106508875,0.05825242718446602,0.08695652173913043,0.03333333333333333,0.16981132075471697,0.15178571428571427,0.1,0.0,0.0
6,0.05555555555555555,0.1301775147928994,0.07766990291262135,0.043478260869565216,0.18333333333333332,0.11320754716981132,0.25892857142857145,0.1,0.0,0.14285714285714285
7,0.022222222222222223,0.011834319526627219,0.009708737864077669,0.0,0.0,0.0,0.008928571428571428,0.1,0.0,0.07142857142857142
a2,0.0,0.0029585798816568047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p,0.011111111111111112,0.03550295857988166,0.06796116504854369,0.0,0.03333333333333333,0.018867924528301886,0.05357142857142857,0.1,0.0,0.07142857142857142
