R:A::C:P,0,1,2,3,4,5,6,7,a2,p
0,0.02902055622732769,0.030229746070133012,0.006045949214026602,0.0024183796856106408,0.008464328899637243,0.0036275695284159614,0.0036275695284159614,0.0036275695284159614,0.0,0.0012091898428053204
1,0.044740024183796856,0.15719467956469166,0.04353083434099154,0.0048367593712212815,0.02176541717049577,0.016928657799274487,0.03385731559854897,0.0036275695284159614,0.0,0.012091898428053204
2,0.015719467956469165,0.08706166868198308,0.03385731559854897,0.010882708585247884,0.013301088270858524,0.015719467956469165,0.018137847642079808,0.007255139056831923,0.0,0.006045949214026602
3,0.0024183796856106408,0.026602176541717048,0.009673518742442563,0.0024183796856106408,0.0048367593712212815,0.0048367593712212815,0.008464328899637243,0.0,0.0,0.0012091898428053204
4,0.0036275695284159614,0.014510278113663845,0.0048367593712212815,0.0036275695284159614,0.006045949214026602,0.0036275695284159614,0.007255139056831923,0.0,0.0,0.0036275695284159614
5,0.0036275695284159614,0.019347037484885126,0.007255139056831923,0.0024183796856106408,0.0024183796856106408,0.010882708585247884,0.020556227327690448,0.0024183796856106408,0.0,0.0
6,0.006045949214026602,0.053204353083434096,0.009673518742442563,0.0012091898428053204,0.013301088270858524,0.007255139056831923,0.03506650544135429,0.0024183796856106408,0.0,0.0048367593712212815
7,0.0024183796856106408,0.0048367593712212815,0.0012091898428053204,0.0,0.0,0.0,0.0012091898428053204,0.0024183796856106408,0.0,0.0024183796856106408
a2,0.0,0.0012091898428053204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p,0.0012091898428053204,0.014510278113663845,0.008464328899637243,0.0,0.0024183796856106408,0.0012091898428053204,0.007255139056831923,0.0024183796856106408,0.0,0.0024183796856106408
