R:A::C:P,0,1,2,3,4,5,6,7,a2,p
0,0.3424657534246575,0.2191780821917808,0.0684931506849315,0.0684931506849315,0.1095890410958904,0.0547945205479452,0.0547945205479452,0.0,0.0,0.0821917808219178
1,0.2,0.23214285714285715,0.125,0.09642857142857143,0.08214285714285714,0.060714285714285714,0.09285714285714286,0.017857142857142856,0.0,0.09285714285714286
2,0.0872093023255814,0.19767441860465115,0.18023255813953487,0.0872093023255814,0.046511627906976744,0.13372093023255813,0.0872093023255814,0.03488372093023256,0.0,0.14534883720930233
3,0.12,0.16,0.16,0.14,0.0,0.14,0.04,0.06,0.0,0.18
4,0.07692307692307693,0.07692307692307693,0.20512820512820512,0.1282051282051282,0.2564102564102564,0.1282051282051282,0.10256410256410256,0.0,0.0,0.02564102564102564
5,0.05263157894736842,0.12280701754385964,0.08771929824561403,0.10526315789473684,0.08771929824561403,0.21052631578947367,0.2631578947368421,0.017543859649122806,0.0,0.05263157894736842
6,0.07272727272727272,0.07272727272727272,0.08181818181818182,0.09090909090909091,0.14545454545454545,0.11818181818181818,0.2909090909090909,0.01818181818181818,0.0,0.10909090909090909
7,0.25,0.25,0.0,0.16666666666666666,0.08333333333333333,0.0,0.0,0.16666666666666666,0.0,0.08333333333333333
a2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p,0.15151515151515152,0.09090909090909091,0.12121212121212122,0.12121212121212122,0.06060606060606061,0.09090909090909091,0.18181818181818182,0.030303030303030304,0.0,0.15151515151515152
