R:A::C:P,0,1,2,3,4,5,6,7,a2,p
0,0.20161290322580644,0.10810810810810811,0.047619047619047616,0.06172839506172839,0.1095890410958904,0.047619047619047616,0.038461538461538464,0.0,0.0,0.06818181818181818
1,0.45161290322580644,0.4391891891891892,0.3333333333333333,0.3333333333333333,0.3150684931506849,0.20238095238095238,0.25,0.25,0.0,0.29545454545454547
2,0.12096774193548387,0.22972972972972974,0.29523809523809524,0.18518518518518517,0.1095890410958904,0.27380952380952384,0.14423076923076922,0.3,0.0,0.2840909090909091
3,0.04838709677419355,0.05405405405405406,0.0761904761904762,0.08641975308641975,0.0,0.08333333333333333,0.019230769230769232,0.15,0.0,0.10227272727272728
4,0.024193548387096774,0.02027027027027027,0.0761904761904762,0.06172839506172839,0.136986301369863,0.05952380952380952,0.038461538461538464,0.0,0.0,0.011363636363636364
5,0.024193548387096774,0.0472972972972973,0.047619047619047616,0.07407407407407407,0.0684931506849315,0.14285714285714285,0.14423076923076922,0.05,0.0,0.03409090909090909
6,0.06451612903225806,0.05405405405405406,0.08571428571428572,0.12345679012345678,0.2191780821917808,0.15476190476190477,0.3076923076923077,0.1,0.0,0.13636363636363635
7,0.024193548387096774,0.02027027027027027,0.0,0.024691358024691357,0.0136986301369863,0.0,0.0,0.1,0.0,0.011363636363636364
a2,0.0,0.006756756756756757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p,0.04032258064516129,0.02027027027027027,0.0380952380952381,0.04938271604938271,0.0273972602739726,0.03571428571428571,0.057692307692307696,0.05,0.0,0.056818181818181816
