R:A::C:P,0,1,2,3,4,5,6,7,a2,p
0,0.030229746070133012,0.019347037484885126,0.006045949214026602,0.006045949214026602,0.009673518742442563,0.0048367593712212815,0.0048367593712212815,0.0,0.0,0.007255139056831923
1,0.06771463119709795,0.07859733978234583,0.04232164449818621,0.032648125755743655,0.02781136638452237,0.020556227327690448,0.03143893591293833,0.006045949214026602,0.0,0.03143893591293833
2,0.018137847642079808,0.041112454655380895,0.037484885126964934,0.018137847642079808,0.009673518742442563,0.02781136638452237,0.018137847642079808,0.007255139056831923,0.0,0.030229746070133012
3,0.007255139056831923,0.009673518742442563,0.009673518742442563,0.008464328899637243,0.0,0.008464328899637243,0.0024183796856106408,0.0036275695284159614,0.0,0.010882708585247884
4,0.0036275695284159614,0.0036275695284159614,0.009673518742442563,0.006045949214026602,0.012091898428053204,0.006045949214026602,0.0048367593712212815,0.0,0.0,0.0012091898428053204
5,0.0036275695284159614,0.008464328899637243,0.006045949214026602,0.007255139056831923,0.006045949214026602,0.014510278113663845,0.018137847642079808,0.0012091898428053204,0.0,0.0036275695284159614
6,0.009673518742442563,0.009673518742442563,0.010882708585247884,0.012091898428053204,0.019347037484885126,0.015719467956469165,0.03869407496977025,0.0024183796856106408,0.0,0.014510278113663845
7,0.0036275695284159614,0.0036275695284159614,0.0,0.0024183796856106408,0.0012091898428053204,0.0,0.0,0.0024183796856106408,0.0,0.0012091898428053204
a2,0.0,0.0012091898428053204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p,0.006045949214026602,0.0036275695284159614,0.0048367593712212815,0.0048367593712212815,0.0024183796856106408,0.0036275695284159614,0.007255139056831923,0.0012091898428053204,0.0,0.006045949214026602
