R:A::C:P,0,1,2,3,4,5,6,7,a2,p
0,0.3150684931506849,0.273972602739726,0.0821917808219178,0.0684931506849315,0.0684931506849315,0.0410958904109589,0.0,0.1095890410958904,0.0,0.0410958904109589
1,0.10714285714285714,0.3821428571428571,0.10714285714285714,0.07142857142857142,0.08214285714285714,0.039285714285714285,0.060714285714285714,0.11428571428571428,0.0,0.03571428571428571
2,0.09883720930232558,0.3372093023255814,0.1744186046511628,0.09883720930232558,0.11046511627906977,0.05813953488372093,0.046511627906976744,0.046511627906976744,0.0,0.029069767441860465
3,0.0,0.3,0.12,0.24,0.12,0.04,0.1,0.06,0.0,0.02
4,0.02564102564102564,0.2564102564102564,0.05128205128205128,0.1794871794871795,0.1794871794871795,0.10256410256410256,0.1282051282051282,0.07692307692307693,0.0,0.0
5,0.08771929824561403,0.19298245614035087,0.10526315789473684,0.10526315789473684,0.08771929824561403,0.24561403508771928,0.14035087719298245,0.017543859649122806,0.0,0.017543859649122806
6,0.02727272727272727,0.39090909090909093,0.09090909090909091,0.11818181818181818,0.1,0.06363636363636363,0.12727272727272726,0.07272727272727272,0.0,0.00909090909090909
7,0.08333333333333333,0.4166666666666667,0.0,0.0,0.08333333333333333,0.0,0.08333333333333333,0.25,0.0,0.08333333333333333
a2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p,0.15151515151515152,0.15151515151515152,0.18181818181818182,0.12121212121212122,0.0,0.12121212121212122,0.06060606060606061,0.21212121212121213,0.0,0.0
