R:A::C:P,0,1,2,3,4,5,6,7,a2,p
0,0.27058823529411763,0.07272727272727272,0.0625,0.05952380952380952,0.06493506493506493,0.05454545454545454,0.0,0.1095890410958904,0.0,0.13636363636363635
1,0.35294117647058826,0.3890909090909091,0.3125,0.23809523809523808,0.2987012987012987,0.2,0.2833333333333333,0.4383561643835616,0.0,0.45454545454545453
2,0.2,0.2109090909090909,0.3125,0.20238095238095238,0.24675324675324675,0.18181818181818182,0.13333333333333333,0.1095890410958904,0.0,0.22727272727272727
3,0.0,0.05454545454545454,0.0625,0.14285714285714285,0.07792207792207792,0.03636363636363636,0.08333333333333333,0.0410958904109589,0.0,0.045454545454545456
4,0.011764705882352941,0.03636363636363636,0.020833333333333332,0.08333333333333333,0.09090909090909091,0.07272727272727272,0.08333333333333333,0.0410958904109589,0.0,0.0
5,0.058823529411764705,0.04,0.0625,0.07142857142857142,0.06493506493506493,0.2545454545454545,0.13333333333333333,0.0136986301369863,0.0,0.045454545454545456
6,0.03529411764705882,0.15636363636363637,0.10416666666666667,0.15476190476190477,0.14285714285714285,0.12727272727272726,0.23333333333333334,0.1095890410958904,0.0,0.045454545454545456
7,0.011764705882352941,0.01818181818181818,0.0,0.0,0.012987012987012988,0.0,0.016666666666666666,0.0410958904109589,0.0,0.045454545454545456
a2,0.0,0.0036363636363636364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p,0.058823529411764705,0.01818181818181818,0.0625,0.047619047619047616,0.0,0.07272727272727272,0.03333333333333333,0.0958904109589041,0.0,0.0
