R:A::C:P,0,1,2,3,4,5,6,7,a2,p
0,0.02781136638452237,0.02418379685610641,0.007255139056831923,0.006045949214026602,0.006045949214026602,0.0036275695284159614,0.0,0.009673518742442563,0.0,0.0036275695284159614
1,0.036275695284159616,0.1293833131801693,0.036275695284159616,0.02418379685610641,0.02781136638452237,0.013301088270858524,0.020556227327690448,0.03869407496977025,0.0,0.012091898428053204
2,0.020556227327690448,0.07013301088270858,0.036275695284159616,0.020556227327690448,0.022974607013301087,0.012091898428053204,0.009673518742442563,0.009673518742442563,0.0,0.006045949214026602
3,0.0,0.018137847642079808,0.007255139056831923,0.014510278113663845,0.007255139056831923,0.0024183796856106408,0.006045949214026602,0.0036275695284159614,0.0,0.0012091898428053204
4,0.0012091898428053204,0.012091898428053204,0.0024183796856106408,0.008464328899637243,0.008464328899637243,0.0048367593712212815,0.006045949214026602,0.0036275695284159614,0.0,0.0
5,0.006045949214026602,0.013301088270858524,0.007255139056831923,0.007255139056831923,0.006045949214026602,0.016928657799274487,0.009673518742442563,0.0012091898428053204,0.0,0.0012091898428053204
6,0.0036275695284159614,0.05199516324062878,0.012091898428053204,0.015719467956469165,0.013301088270858524,0.008464328899637243,0.016928657799274487,0.009673518742442563,0.0,0.0012091898428053204
7,0.0012091898428053204,0.006045949214026602,0.0,0.0,0.0012091898428053204,0.0,0.0012091898428053204,0.0036275695284159614,0.0,0.0012091898428053204
a2,0.0,0.0012091898428053204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p,0.006045949214026602,0.006045949214026602,0.007255139056831923,0.0048367593712212815,0.0,0.0048367593712212815,0.0024183796856106408,0.008464328899637243,0.0,0.0
