R:A::C:P,0,1,2,3,4,5,6,7,a2,p
0,0.4246575342465753,0.1780821917808219,0.0684931506849315,0.1095890410958904,0.0684931506849315,0.0547945205479452,0.0,0.0273972602739726,0.0,0.0684931506849315
1,0.16428571428571428,0.21428571428571427,0.08928571428571429,0.16071428571428573,0.07857142857142857,0.05714285714285714,0.10357142857142858,0.07142857142857142,0.0,0.060714285714285714
2,0.1569767441860465,0.1569767441860465,0.13372093023255813,0.1569767441860465,0.09883720930232558,0.11627906976744186,0.0755813953488372,0.005813953488372093,0.0,0.09883720930232558
3,0.12,0.08,0.16,0.22,0.06,0.1,0.14,0.06,0.0,0.06
4,0.07692307692307693,0.05128205128205128,0.1282051282051282,0.1282051282051282,0.28205128205128205,0.1282051282051282,0.10256410256410256,0.02564102564102564,0.0,0.07692307692307693
5,0.10526315789473684,0.07017543859649122,0.05263157894736842,0.08771929824561403,0.19298245614035087,0.2982456140350877,0.12280701754385964,0.03508771929824561,0.0,0.03508771929824561
6,0.05454545454545454,0.11818181818181818,0.02727272727272727,0.16363636363636364,0.19090909090909092,0.12727272727272726,0.14545454545454545,0.10909090909090909,0.0,0.06363636363636363
7,0.16666666666666666,0.3333333333333333,0.0,0.0,0.08333333333333333,0.0,0.08333333333333333,0.25,0.0,0.08333333333333333
a2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p,0.18181818181818182,0.030303030303030304,0.15151515151515152,0.12121212121212122,0.06060606060606061,0.12121212121212122,0.06060606060606061,0.09090909090909091,0.0,0.18181818181818182
