R:A::C:P,0,1,2,3,4,5,6,7,a2,p
0,0.23308270676691728,0.10077519379844961,0.06493506493506493,0.06504065040650407,0.053763440860215055,0.047058823529411764,0.0,0.0425531914893617,0.0,0.08196721311475409
1,0.3458646616541353,0.46511627906976744,0.3246753246753247,0.36585365853658536,0.23655913978494625,0.18823529411764706,0.3670886075949367,0.425531914893617,0.0,0.2786885245901639
2,0.20300751879699247,0.20930232558139536,0.2987012987012987,0.21951219512195122,0.1827956989247312,0.23529411764705882,0.16455696202531644,0.02127659574468085,0.0,0.2786885245901639
3,0.045112781954887216,0.031007751937984496,0.1038961038961039,0.08943089430894309,0.03225806451612903,0.058823529411764705,0.08860759493670886,0.06382978723404255,0.0,0.04918032786885246
4,0.022556390977443608,0.015503875968992248,0.06493506493506493,0.04065040650406504,0.11827956989247312,0.058823529411764705,0.05063291139240506,0.02127659574468085,0.0,0.04918032786885246
5,0.045112781954887216,0.031007751937984496,0.03896103896103896,0.04065040650406504,0.11827956989247312,0.2,0.08860759493670886,0.0425531914893617,0.0,0.03278688524590164
6,0.045112781954887216,0.10077519379844961,0.03896103896103896,0.14634146341463414,0.22580645161290322,0.16470588235294117,0.20253164556962025,0.2553191489361702,0.0,0.11475409836065574
7,0.015037593984962405,0.031007751937984496,0.0,0.0,0.010752688172043012,0.0,0.012658227848101266,0.06382978723404255,0.0,0.01639344262295082
a2,0.0,0.007751937984496124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p,0.045112781954887216,0.007751937984496124,0.06493506493506493,0.032520325203252036,0.021505376344086023,0.047058823529411764,0.02531645569620253,0.06382978723404255,0.0,0.09836065573770492
