R:A::C:P,0,1,2,3,4,5,6,7,a2,p
0,0.037484885126964934,0.015719467956469165,0.006045949214026602,0.009673518742442563,0.006045949214026602,0.0048367593712212815,0.0,0.0024183796856106408,0.0,0.006045949214026602
1,0.05562273276904474,0.07255139056831923,0.030229746070133012,0.05441354292623942,0.026602176541717048,0.019347037484885126,0.03506650544135429,0.02418379685610641,0.0,0.020556227327690448
2,0.032648125755743655,0.032648125755743655,0.02781136638452237,0.032648125755743655,0.020556227327690448,0.02418379685610641,0.015719467956469165,0.0012091898428053204,0.0,0.020556227327690448
3,0.007255139056831923,0.0048367593712212815,0.009673518742442563,0.013301088270858524,0.0036275695284159614,0.006045949214026602,0.008464328899637243,0.0036275695284159614,0.0,0.0036275695284159614
4,0.0036275695284159614,0.0024183796856106408,0.006045949214026602,0.006045949214026602,0.013301088270858524,0.006045949214026602,0.0048367593712212815,0.0012091898428053204,0.0,0.0036275695284159614
5,0.007255139056831923,0.0048367593712212815,0.0036275695284159614,0.006045949214026602,0.013301088270858524,0.020556227327690448,0.008464328899637243,0.0024183796856106408,0.0,0.0024183796856106408
6,0.007255139056831923,0.015719467956469165,0.0036275695284159614,0.02176541717049577,0.02539298669891173,0.016928657799274487,0.019347037484885126,0.014510278113663845,0.0,0.008464328899637243
7,0.0024183796856106408,0.0048367593712212815,0.0,0.0,0.0012091898428053204,0.0,0.0012091898428053204,0.0036275695284159614,0.0,0.0012091898428053204
a2,0.0,0.0012091898428053204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p,0.007255139056831923,0.0012091898428053204,0.006045949214026602,0.0048367593712212815,0.0024183796856106408,0.0048367593712212815,0.0024183796856106408,0.0036275695284159614,0.0,0.007255139056831923
