character,actual,predicted
1H4_Archbishop,1,7
1H4_Blunt,2,0
1H4_Douglas,1,7
1H4_Falstaff,2,1
1H4_Gadshill,6,6
1H4_Glendower,0,4
1H4_HenryIV,0,7
1H4_HenryV,1,0
1H4_Hotspur,1,1
1H4_LadyPercy,1,2
1H4_MistressQuickly,4,6
1H4_Mortimer,1,0
1H4_Poins,2,0
1H4_Vernon,1,7
1H4_Westmoreland,1,0
1H4_Worcester,1,0
1H6_Alanson,1,7
1H6_Bedford,1,7
1H6_Burgundy,1,0
1H6_CardinalBeaufort,1,0
1H6_Charles,0,7
1H6_Countess,1,0
1H6_Exeter,1,0
1H6_Gloucester,1,0
1H6_HenryVI,0,0
1H6_JohnTalbot,2,2
1H6_Lucy,2,1
1H6_MESSENGERS.ENGLISH.3,6,7
1H6_Mortimer,1,7
1H6_Pucelle,p,7
1H6_QueenMargaret,1,3
1H6_Reignier,1,7
1H6_Somerset,1,1
1H6_Suffolk,1,0
1H6_Talbot,2,7
1H6_Warwick,1,0
1H6_York,1,1
2H4_Archbishop,1,7
2H4_Bardolph,5,6
2H4_Bedford,1,4
2H4_ChiefJustice,1,4
2H4_Chorus,p,7
2H4_Davy,6,6
2H4_DollTearsheet,6,4
2H4_Epilogue,p,2
2H4_Falstaff,2,2
2H4_Hastings,1,7
2H4_HenryIV,0,7
2H4_HenryV,1,1
2H4_LadyPercy,1,4
2H4_LordBardolph,1,p
2H4_MistressQuickly,4,5
2H4_Morton,2,p
2H4_Mowbray,1,7
2H4_Northumberland,1,7
2H4_Pistol,6,7
2H4_Poins,2,5
2H4_Shallow,2,4
2H4_Silence,2,2
2H4_Warwick,1,0
2H4_Westmoreland,1,2
2H6_Buckingham,1,0
2H6_Cade,4,7
2H6_CardinalBeaufort,1,0
2H6_Clifford,1,6
2H6_Dick,4,6
2H6_DuchessOfGloucester,1,1
2H6_Gloucester,1,1
2H6_HenryVI,0,1
2H6_Iden,3,1
2H6_Lieutenant,6,7
2H6_QueenMargaret,0,1
2H6_Salisbury,1,1
2H6_Saye,1,2
2H6_Suffolk,1,1
2H6_Warwick,1,7
2H6_York,1,1
2H6_YoungClifford,1,7
3H6_Clarence,1,0
3H6_Clifford,1,1
3H6_EdwardIV,1,0
3H6_HenryVI,0,1
3H6_KingLewis,0,0
3H6_Oxford,1,7
3H6_PrinceEdward,1,1
3H6_QueenElizabeth,2,2
3H6_QueenMargaret,0,0
3H6_RichardIII,1,0
3H6_Somerset,1,0
3H6_Warwick,1,7
3H6_York,1,0
AWW_Bertram,1,3
AWW_Countess,1,3
AWW_Diana,4,3
AWW_Fool,p,2
AWW_Helen,p,2
AWW_King,0,0
AWW_LORDS.DUMAINE.1,1,4
AWW_LORDS.DUMAINE.2,1,3
AWW_Lafew,1,6
AWW_Parolles,4,2
AWW_SOLDIERS.Interpreter,6,4
AWW_Steward,4,3
AWW_Widow,4,6
AYL_Adam,6,4
AYL_Celia,1,4
AYL_Charles,5,4
AYL_Corin,5,4
AYL_DukeFrederick,0,0
AYL_DukeSenior,0,0
AYL_Jaques,1,2
AYL_LORDS.FREDERICK.LeBeau,2,4
AYL_LORDS.SENIOR.0.1,1,p
AYL_LORDS.SENIOR.Amiens,1,5
AYL_Oliver,2,1
AYL_Orlando,2,2
AYL_Phoebe,5,3
AYL_Rosalind,1,4
AYL_Silvius,5,2
AYL_Touchstone,p,1
Ado_Beatrice,1,4
Ado_Benedick,1,2
Ado_Borachio,2,4
Ado_Claudio,1,2
Ado_Dogberry,4,6
Ado_DonJohn,1,2
Ado_DonPedro,0,5
Ado_FriarFrancis,2,2
