R:A::C:P,0,1,2,3,4,5,6,7,a2,p
0,0.14864864864864866,0.2702702702702703,0.06756756756756757,0.02702702702702703,0.14864864864864866,0.05405405405405406,0.14864864864864866,0.12162162162162163,0.0,0.013513513513513514
1,0.03937007874015748,0.3700787401574803,0.09711286089238845,0.03937007874015748,0.06299212598425197,0.023622047244094488,0.30708661417322836,0.03937007874015748,0.0,0.02099737532808399
2,0.01818181818181818,0.28363636363636363,0.16363636363636364,0.01818181818181818,0.06909090909090909,0.014545454545454545,0.4072727272727273,0.01818181818181818,0.0036363636363636364,0.0036363636363636364
3,0.00980392156862745,0.28431372549019607,0.11764705882352941,0.0196078431372549,0.0392156862745098,0.029411764705882353,0.47058823529411764,0.00980392156862745,0.0,0.0196078431372549
4,0.0273972602739726,0.2191780821917808,0.1095890410958904,0.0410958904109589,0.0684931506849315,0.0136986301369863,0.5205479452054794,0.0,0.0,0.0
5,0.03125,0.3229166666666667,0.11458333333333333,0.03125,0.041666666666666664,0.0625,0.375,0.020833333333333332,0.0,0.0
6,0.010230179028132993,0.34271099744245526,0.03836317135549872,0.0025575447570332483,0.03580562659846547,0.0025575447570332483,0.5549872122762148,0.0076726342710997444,0.005115089514066497,0.0
7,0.03333333333333333,0.7,0.0,0.0,0.0,0.0,0.2,0.06666666666666667,0.0,0.0
a2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p,0.06,0.32,0.18,0.02,0.04,0.0,0.34,0.02,0.0,0.02
