R:A::C:P,0,1,2,3,4,5,6,7,a2,p
0,0.24444444444444444,0.04106776180698152,0.035211267605633804,0.0625,0.13253012048192772,0.14285714285714285,0.018272425249169437,0.23684210526315788,0.0,0.07692307692307693
1,0.3333333333333333,0.28952772073921973,0.2605633802816901,0.46875,0.2891566265060241,0.32142857142857145,0.19435215946843853,0.39473684210526316,0.0,0.6153846153846154
2,0.1111111111111111,0.1601642710472279,0.31690140845070425,0.15625,0.2289156626506024,0.14285714285714285,0.18604651162790697,0.13157894736842105,0.3333333333333333,0.07692307692307693
3,0.022222222222222223,0.059548254620123205,0.08450704225352113,0.0625,0.04819277108433735,0.10714285714285714,0.07973421926910298,0.02631578947368421,0.0,0.15384615384615385
4,0.044444444444444446,0.03285420944558522,0.056338028169014086,0.09375,0.060240963855421686,0.03571428571428571,0.06312292358803986,0.0,0.0,0.0
5,0.06666666666666667,0.06365503080082136,0.07746478873239436,0.09375,0.04819277108433735,0.21428571428571427,0.059800664451827246,0.05263157894736842,0.0,0.0
6,0.08888888888888889,0.2751540041067762,0.1056338028169014,0.03125,0.1686746987951807,0.03571428571428571,0.36046511627906974,0.07894736842105263,0.6666666666666666,0.0
7,0.022222222222222223,0.043121149897330596,0.0,0.0,0.0,0.0,0.009966777408637873,0.05263157894736842,0.0,0.0
a2,0.0,0.002053388090349076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p,0.06666666666666667,0.03285420944558522,0.06338028169014084,0.03125,0.024096385542168676,0.0,0.02823920265780731,0.02631578947368421,0.0,0.07692307692307693
