R:A::C:P,0,1,2,3,4,5,6,7,a2,p
0,0.00746775288526816,0.013577732518669382,0.0033944331296673455,0.0013577732518669382,0.00746775288526816,0.0027155465037338763,0.00746775288526816,0.006109979633401222,0.0,0.0006788866259334691
1,0.010183299389002037,0.09572301425661914,0.025118805159538356,0.010183299389002037,0.016293279022403257,0.006109979633401222,0.07942973523421588,0.010183299389002037,0.0,0.005431093007467753
2,0.0033944331296673455,0.05295315682281059,0.03054989816700611,0.0033944331296673455,0.012898845892735914,0.0027155465037338763,0.07603530210454854,0.0033944331296673455,0.0006788866259334691,0.0006788866259334691
3,0.0006788866259334691,0.019687712152070606,0.008146639511201629,0.0013577732518669382,0.0027155465037338763,0.002036659877800407,0.032586558044806514,0.0006788866259334691,0.0,0.0013577732518669382
4,0.0013577732518669382,0.010862186014935505,0.005431093007467753,0.002036659877800407,0.0033944331296673455,0.0006788866259334691,0.025797691785471828,0.0,0.0,0.0
5,0.002036659877800407,0.021045485403937542,0.00746775288526816,0.002036659877800407,0.0027155465037338763,0.004073319755600814,0.024439918533604887,0.0013577732518669382,0.0,0.0
6,0.0027155465037338763,0.09097080787508487,0.010183299389002037,0.0006788866259334691,0.009504412763068567,0.0006788866259334691,0.14731839782756279,0.002036659877800407,0.0013577732518669382,0.0
7,0.0006788866259334691,0.014256619144602852,0.0,0.0,0.0,0.0,0.004073319755600814,0.0013577732518669382,0.0,0.0
a2,0.0,0.0006788866259334691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p,0.002036659877800407,0.010862186014935505,0.006109979633401222,0.0006788866259334691,0.0013577732518669382,0.0,0.011541072640868975,0.0006788866259334691,0.0,0.0006788866259334691
