R:A::C:P,0,1,2,3,4,5,6,7,a2,p
0,0.40540540540540543,0.24324324324324326,0.0945945945945946,0.04054054054054054,0.06756756756756757,0.05405405405405406,0.02702702702702703,0.0,0.0,0.06756756756756757
1,0.2204724409448819,0.2335958005249344,0.09711286089238845,0.07349081364829396,0.11286089238845144,0.05249343832020997,0.08398950131233596,0.05511811023622047,0.03937007874015748,0.031496062992125984
2,0.12,0.16727272727272727,0.14909090909090908,0.12727272727272726,0.10181818181818182,0.09818181818181818,0.10545454545454545,0.05454545454545454,0.03636363636363636,0.04
3,0.1568627450980392,0.09803921568627451,0.14705882352941177,0.12745098039215685,0.10784313725490197,0.12745098039215685,0.10784313725490197,0.0392156862745098,0.0392156862745098,0.049019607843137254
4,0.0821917808219178,0.0547945205479452,0.1780821917808219,0.136986301369863,0.1780821917808219,0.1095890410958904,0.0410958904109589,0.0684931506849315,0.0547945205479452,0.0958904109589041
5,0.14583333333333334,0.09375,0.10416666666666667,0.17708333333333334,0.13541666666666666,0.08333333333333333,0.10416666666666667,0.10416666666666667,0.020833333333333332,0.03125
6,0.10230179028132992,0.0639386189258312,0.08184143222506395,0.11508951406649616,0.09718670076726342,0.13810741687979539,0.16112531969309463,0.09462915601023018,0.10485933503836317,0.04092071611253197
7,0.26666666666666666,0.1,0.0,0.13333333333333333,0.06666666666666667,0.13333333333333333,0.03333333333333333,0.26666666666666666,0.0,0.0
a2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
p,0.18,0.1,0.12,0.08,0.14,0.14,0.08,0.14,0.02,0.0
